Ayssi comensan las paraulas de Albucasim .	And the book begins.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And so, if the intestine is in distress, it will be relieved by cautery.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	E yeu es que you have made an incision, and another cushion will be placed on their legs.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Mays, however, the pain in the joints was confirmed to be gout, so that the patient would not suffer further.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	and he who is skilled in surgery will be able to treat them.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the cause of illness comes from a melancholic humor, the patient needs to be treated for gout.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so it is necessary for you, sons, to know that it is also necessary to use a cushion on their feet.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Then I have put cushions in the places where the pain is present on which the patient was experiencing discomfort, so that the pain would be relieved.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so you should apply your cauterizing tools with faith and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And may your weapons be used on their thighs to reduce the fear of terrible diseases that prevent them from being healed, for in those diseases it is difficult to find a cure, but by using the best methods, you can alleviate these diseases through the grace of God.
Gualia ja diyssec en alcunas sieuas monicios:	When pain in the legs is caused by cold humors, it is customary to call it gout.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not be a doctor who only treats cushions, but rather treat the whole body.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This is the first chapter on treating ailments in the body through the use of purging and cauterization.
La divisio de la segonda partida.	This is the second part of the book.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter describes how to treat wounds caused by inflammation, such as those found in gouty feet.
Divisio de la tersa partida.	"E' terts a partida o their body cavity, et autre."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoring the dislocation of the foot, is called gout.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The doctor will treat the patient with this ancient remedy for gout, known as the cauterization technique.
Am aquel comensa le tractat de tot le libre.	When pain arises in the cavity between the legs (from the Latin: "junct") or elsewhere on the body, they are to be treated by applying a cushion on the area where the pain is located.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient must be treated by a physician, who will determine the proper course of treatment based on their condition.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And by the way, I believe that you have already spoken about the long and subtle nature of this illness, called gout by the doctors, which is why a lot of people are so familiar with the pain of gout.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you want to cauterize as a treatment method, it is important for doctors that they use it as a last resort.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	This text suggests that the practice of using cauterization for gout treatment was common in medieval times.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Guessed Translation: And if the patient is suffering from a condition that causes pain in the feet, it is considered a good practice to apply cauterization to the affected area.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Then he's already experienced the need to use cushions for support.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then apply to the body and another on their legs, but don't let the intestine come out.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Let the other doctors be consulted in the case of others.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so on the patient's intestine, which you cauterize only in the case of simple wounds.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"And if it is necessary to cauterize the foot, one must apply the hot cautery to the legs.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to open the surface of the foot, it is customary to use a cushion during the operation.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	They will know that gout is best treated in the spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And if the cautery be used for pain, it is important to know where the evil lies.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if he has a burning pain in his bowels, and you put a cushion on him, he will need no further treatment.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When the physician sees that the patient's body has been infiltrated by the pain but they are unable to find the cause of the pain, they are said to have a condition called cuyler.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays is the Latin word for "but" or "however", so the translation might be:
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	A common practice for treating gout was to apply cautery to the affected area to relieve pain.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E la mays es that which is used to treat pain in the legs,  and the last resort for those who suffer from gout.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	This practice is a remedy for those who are suffering from illness; it's a cure-all that doctors use when they don't know what to call it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And when there is a cushion placed upon their legs, they say it is a proper cure for gout.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients say that cauterization with gold is better than with iron, except for the use of a golden cautery on the legs.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so you will apply a cushion to the affected area, the size of which depends on the severity of the illness, and place your hand on the body where the disease is located.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply cautery gently on the leg.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to open the chapter again and again, I would be happy.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion for the head, they use a cushion to apply pressure on the pain of the head caused by the cold humors.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And when the patient has a pain in their limbs, you should know that the cause of such pain is often attributed to trauma.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And the treatment for this condition is by purging, as needed based on the person's constitution and age.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop places the patient's feet on a cushion.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your hand on their legs to prevent it from being affected by other things.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you should also know that there are other ways to describe the application of a cushion on the body.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, you have seen to the patient's legs, and now you must treat them carefully.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E aprop leva la cushion under their and keep its position.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then apply a small poultice to the patient's legs and let it rest there.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then you place your hand on their leg to prevent the body from suffering further harm.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And apply the four-part medicine to their location.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Then they say that the plague is a disease which is truly a terrible thing, then you should consider applying honey to the patient's arm, and if it's necessary to use other remedies on their arms, they will need another remedy.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And if it is necessary to make points on the surface of the foot.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And a cushion should be placed under the bone to prevent pain.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And other things that are in the bones of the body,
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain is caused by bad humors in the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then your hand should be placed on the affected area to ensure proper treatment.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays, E se curable with a hot cautery; the pain in the foot can be cured by applying a cushion under their feet, or by placing a cold cautery on the foot itself and another one on the chest.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And a cushion must be placed on their legs for that pain.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply your hand to the affected area.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the body you have already opened with a pointed tool, apply a poultice to the affected area.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply heat to the head of the patient, where the veins are.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The foot was opened by gout and a cushion is placed on it to treat the swelling caused by a medical procedure.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's legs are in pain, they should be treated by the physician to prevent them from being affected by other diseases.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	When the hot iron is applied to the body, you must carefully consider the location of the application.
Capitol ters.	This is the title of a chapter, likely indicating Chapter 3.
De cauterisacio de emigranea no-antiqua.	And on the hot irons.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then you should apply two types of remedies to the affected area: one for when there is pain from the sharp inflammation and another for when the inflammation spreads.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	When a surgeon makes an incision to remove the excess blood from the body, they must take care to avoid the vein, arteries, and capillaries.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply a cautery to the affected area of the patient's temple.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then leave the patient's stomach to be left in its proper place for three days.
E aprop cura aquel am enguent entro que sia sanat.	And apply an ointment to their feet so that they are healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	E se tu are in good health, you will have to be very careful about which medicines to use.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	And may this be done with fire in the manner of a cushion under the skin.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	This medical text describes how to treat gout in the feet.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then carefully apply cautery to the area of pain.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of the quantity is less than that of the other, then the patient has a cold in the foot.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then you have already placed a cushion on their legs.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, apply a cushion to the patient's feet.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Then apply the treatment for gout.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you are treating someone for a disease related to blood or heat, if the patient has gout, apply the knife to the area near the joints and prevent them from opening up again.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Therefore, hold the jaw steady to prevent injury while treating it.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E layessa the operation on the patient's legs.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then, the patient's legs should be treated according to their condition as described in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see that the pain in the foot is tolerable, cauterize it then.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already decided to treat one ailment, use two cauteries for better effect.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the treatment of burns on the foot.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When there is pain in the lower leg, they are treating their lower leg with a poultice and should be treated with a poultice for the other leg, if necessary.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there's pain in the joints, doctors may apply it to the legs, but this doesn't mean it's truly gout.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	E si you are experiencing pain in your foot, you should apply cautery to the area.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then use a hot cautery on the area to treat the affected part.
Capitol .vi.	In this case, the correct translation for "Capitol .vi." would be **"Chapter six"**.
De cauterizacio de turtura.	A cushion should be placed under the patient's foot.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And if the patient's legs are stiff and cold, it is treated with hot irons.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	The patient's legs are swollen from a blockage or something similar.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you care for someone, use three cauteries.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if there's a pain in your body that is only in your legs, you should know that it is commonly called sciatica.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	And if there's an opening in the right side of the groin, you should cauterize it with a small cautery, and another for the left (side) as well as the other on their (left) (foot) use another cautery to apply heat to the patient’s body.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the instrument is as follows, etc. (it refers to the rest of the text).
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But the pain that is felt in the joints is often called gout.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And apply a bandage to hold the wound open so that it heals properly.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to cauterization, a treatment for old, established gout using a cautery tool.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And when the body is affected by the infiltration of bad humors, it is called gout.
E la manieyra del cauteri es fayta segon que es desus dit.	And the way to apply it is by using the method described above.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	Then apply the cauterization to the area of the patient's stomach; then treat them with a hot cautery.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	The pain of forgetting is treated with fire by placing a cautery on the patient's legs, among other methods.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's body was covered in pain from head to toe.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if it's necessary to apply cauterization to the head or make incisions in the legs, they will be described in the following sentences.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then put your hand on the part of the body where the pain is located, and apply a cautery to the foot.
E fay aquo segon aquel meteys orde le qual ja he dit.	And according to the method described previously, it should be applied to the leg or foot.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply three hot cauteries to the affected areas on the body.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	And if you don't have a cushion, use a bandage to hold the joint.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le malaute es un French phrase for a type of pain in the body, especially in the joints, which doctors might incorrectly diagnose as something else.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if it is already healed, it should be treated as described by the doctors.
Capitol .ix.	This passage refers to a surgical procedure where the doctor would identify and treat issues related to the foot and also be careful to avoid complications during the procedure.
De cauterisacio de parazili e de mollificacio de tot le cors.	And thus he/she was burned and softened by cauterization.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	and the patient's pain is located on the head, in the area that needs to be treated.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	And if it is necessary to treat a patient's body with humors in their illness, they will be given cushions on their limbs, and treated with a hot iron.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And so then you should apply the hot oil cautery to that area.
Capitol .x.	Chapter 10.
De cauterisacio de epilemcia.	This refers to the treatment of seizures using cautery.
