Ayssi comensan las paraulas de Albucasim .	The surgeon's hands are on your legs to make sure the inflammation doesn't spread.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And then one must open an ulcer for the patient's leg, and another should be used to help them by other means.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the cause of the ailment is a melancholic humor, the patient should be treated with a cushion on their head.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so, sons, it is necessary that the operation be performed on two individuals: a doctor and you.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you, to prevent further complications, should keep the intestine from being infiltrated by other humors.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And thus, you prepare your body for battle and for the divine protection to flow through you.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And let the patient be blessed by God and your hands prevent their illness from being healed.
Gualia ja diyssec en alcunas sieuas monicios:	Another that which is often called another's own body, the physician's own foot or leg is treated in the same way as gout.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not be a doctor who treats evil by saying "I treat only with pain" (literally), but do not let your patient suffer from pain.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter is about the ailments caused by something in the body's lower leg.
La divisio de la segonda partida.	This is the second part of the treatise.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	And if you wish to apply suction or cauterization to the patient's body, proceed as follows: use a hot iron on their legs in case of swelling.
Divisio de la tersa partida.	E si tu sei in need for some reason to apply heat to the patient's legs, you would use a cautery.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of an injured leg between the thighs and the feet.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	E then apply a pointed cautery to their intestines and feet.
Am aquel comensa le tractat de tot le libre.	When the body begins to suffer from pain in the joints, especially in the feet.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient's blood must be kept in balance.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And by the use of cautery, which is used to burn out unwanted tissue, it is treated by keeping the patient's feet warm.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if they have pain in their legs, it's customary to apply a cushion.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	This sounds like you are using a language similar to Latin or Italian for an example.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	A common treatment for dry and hot ailments was to apply a cautery to the body.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And that's how I know it's not just a regular cushion.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	And so, then you must know that in the case of a pointed illness, it is necessary to use a cautery for the treatment, but a heated one if the disease requires it, e should be treated with a pointed instrument.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Let me know if you'd like to see more examples! I can provide translations for all sorts of phrases from other languages too, if you have something specific in mind.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so on the legs you should place a cushion under them.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine be applied to the affected part, but only after the inflammation has been reduced.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to open the surface of the foot, you should use a cushion to protect it.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	You should know that it is customary for doctors to treat the patient in this way.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And so, a surgeon is needed for such ailments, as long as the patient’s condition allows for it, and a cushion is placed under their legs to prevent them from being harmed by the heat of the surgeon's tools.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if there are bad humors in the body, it is called gout.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When doctors apply cauterization to treat the body, they are often said to be treating a specific ailment by applying a hot object to the skin.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	When doctors use a cushion under the patient's foot, they are typically working on their feet.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some time in the future, so be sure to keep the patient warm and comfortable.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E, in case of fever, it is customary to use cold remedies when the illness is caused by an excess of humors.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	This is a trick question! The provided sentence is a mix of languages, likely gibberish for a translator unfamiliar with the variations.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And if there are no more remedies available, then it is understood that they apply to them the cure for all ailments, except those who have suffered from the plague.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients say that cauterization with gold is better than with iron, except for a specific case where they say cauterization with a heated knife made of metal is best.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so they say that you should cauterize the affected area to prevent further pain in your legs.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery on the joint or area to be treated, lightly and carefully.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is customary to open the wound in the patient's leg, then place a cushion on their legs.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion or something similar for the pain in the head.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And when a patient has a condition where the metges say they have an excess of humors, which can cause swelling in the body.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And the doctor applies three or four leeches to the patient's legs, as many as he deems necessary.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop place another cushion on the patient's legs and put their feet in the correct position.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you can apply pressure to their palm.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you must also know that there are other ways to treat it.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, if the pain is in their legs, then the pain should be treated as gout.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E aprop reduis el os en la tua cavitat, et ayssi que sia descubiert e lo, e l'autre.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And apply a cushion to the legs for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then put your hand on their foot so that the pain does not spread to the rest of the body.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the medicine to the affected area.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And if the plague is in the arm, apply honey.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And if it is necessary to make points on the foot to treat their ailment, a cushion should be placed under them.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And a cushion should be placed under them, and then apply heat to the affected area.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the pain is caused by gouty matter in the body.
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain is caused by bad humors in the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the disease from spreading further in the body.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays he who has the power to perform cauterization in his hand, knows the word “malaute” as a term used for “the other people”.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And a cushion for the feet is better than none.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the hot cautery to the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	E si le metges es que the pain is from a chronic ailment or injury.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply cautery to the patient's leg if they are suffering from gout.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the body part to drain the humors and let the physician apply a cautery to that area.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if a patient's feet are affected by other ailments, and the physician has difficulty finding the right place for the cushion.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	The text describes how to use a cautery tool for medical treatment.
Capitol ters.	The third book contains the following:
De cauterisacio de emigranea no-antiqua.	And on the treatment of gout.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply cauterization using medicines which are acrid and hot.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The patient's feet are at the mercy of the physician's skill.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply a cautery to the area of pain on the patient's temple, if needed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then place a cushion on their knees for two or three days.
E aprop cura aquel am enguent entro que sia sanat.	And then apply medicine to that area so as to keep the patient comfortable.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if the patient's foot is burned, it will be necessary to apply medicines to their legs.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	And may they place a hot iron on their legs, using this method to treat them.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	>When a physician uses the term "claus" for gout, he compares the disease to a condition similar to gout, but affecting the legs and feet.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so apply the cautery to the affected area, gradually increasing its intensity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the patient's body produces a lot of pus and they are experiencing pain in their feet, and then place a cautery on the patient's foot to burn it.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then apply salt to the area where the pain is located.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And then you should apply cautery to the affected area, which is the bone marrow, and avoid opening the patient's legs too much, as if they are in a state of...
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Then apply the term "old-fashioned" to the patient's symptoms.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	And then apply a cautery to the body using a hot iron.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Therefore, hold the jaw open and place a cushion under the patient's head.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E lay hold of the patient's legs carefully, as you might have to cauterize them if they are too swollen for the cushions to be sufficient.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then, with a cautery to be applied to the legs, in accordance with the regimen of the book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	Translation: And if there is pain in the foot of the patient, and cauterize the area where the cushion is placed, and apply another to the legs, and another to their body.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already decided on burning the skin, use a hot iron to cauterize them.
Capitol .v.	When the pain of the gout is caused by humors that are out of place in the body, it is treated with a pointed cautery.
De cauterisacio de las dolors de aurelhas.	On the treatment of burns on the legs and ears.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot, there is pain, it is called "the foot's evil" by doctors, and this refers to other types of ailments which are treated similarly.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When the pain is in the foot, then treat it as you would for gout.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	Alonga te am le cauter  on the legs, one might use a cautery to treat it.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then burn the affected area with a hot iron, and apply a cushion to their legs to prevent the pain from spreading.
Capitol .vi.	The text appears to be a mixture of Italian and Latin, which makes it difficult to determine the exact meaning without context.
De cauterizacio de turtura.	This is a joke! The first part of the sentence is in a made-up language.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And if there is another illness, it is not called “gout” but rather “flegma”, which is already cured by the other methods.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	This is a description of how to treat a patient for pain in their feet using a cautery tool made by doctors to remove excess moisture from the body.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	Curing a person with a cushion to their feet is called gout.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if you are cauterizing a wound, ensure it is done only on the side that is affected by the ailment.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	And if the patient has a pain in their feet, you should use a cushion to place between the legs to avoid further injury.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	This refers to the form of the cauterizer, which is the same as that of the cautery.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But rather the intestines are more prone to being affected by it.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And you have applied the cushion to their legs, they should now be healed by another method.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This is a description of the process of treating gout using cauterization.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And so if the illness is called apoplexia, you should apply a cushion to the head and use that to treat the patient.
E la manieyra del cauteri es fayta segon que es desus dit.	And the method of using the cautery is done as previously described.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	Then apply a cautery to the back of the knee if there are any wounds or swelling there.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	And let a cushion be placed on their legs, the patient being placed on another.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's legs should be kept warm, the patient should be given large pills, and the patient's hands should be covered.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if you want to make a poultice for the foot, use the following one as a guide.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them to alleviate pain.
E fay aquo segon aquel meteys orde le qual ja he dit.	And you will use the same method for the other parts of the body.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then you must place the skin on a cushion to prevent further damage.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then they proceed to treat the joint, and the patient is cured.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le metges are tools to treat the foot if it has a cushion in place; if the pain persists, the physician should use a hot cautery on the intestine.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if it is already healed, cure it with a hot compress as described previously.
Capitol .ix.	This refers to the treatment of a wound in the foot region using a cautery tool.
De cauterisacio de parazili e de mollificacio de tot le cors.	And then apply the cautery to the patient's body.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	and the patient's head should be covered with a cushion.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When pain is felt in the body, then apply a hot cautery to the back.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And so he cures the sick one with olive oil.
Capitol .x.	Chapter 10.
De cauterisacio de epilemcia.	This refers to the treatment of epilepsy.
No es cauterizat le epilemtic sino aquella epilemcia es per flecma.	Then apply a hot iron to the patient's spine if it is necessary to cauterize the area around the stomach.
