Ayssi comensan las paraulas de Albucasim .	Then apply the words of Albucasim.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	The other is to be praised for their skill in medicine.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	And if the patient suffers from melancholic humor, they will be cured by being treated for all of them.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And so it is necessary for you to put your hand on their legs and hold them while the physician works on the patient.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Then I have placed my hand on his legs; prevent it from being done by placing a cushion beneath the part of the body where the pain occurs.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then apply your cushion to their chest with care and prayer.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And let the patient be blessed by God and free from the pain of his illness, and let the diseases be terrible to your fear, and let them be kept from the name of God, which is a great honor for you.
Gualia ja diyssec en alcunas sieuas monicios:	Another way to say it is that they are called "le Gualia" by doctors, who treat the intestine as if it were one's own body.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Let no doctor be without knowledge when it comes to treating the sick.
E yeu ja he devesit aquest libre segontz tres capitols.	This book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter is about the nature of illness in the body.
La divisio de la segonda partida.	This is the second part of the division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter describes the use of tools for treating gout, as well as the methods used to address other ailments using cauterization.
Divisio de la tersa partida.	E si le metges are already making points on their legs, they will be in great pain.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of the leg and foot in its natural position.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The surgeon cauterizes the gout with an instrument to stop the pain.
Am aquel comensa le tractat de tot le libre.	When the pain commences, you must apply the treatment to the affected area directly.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient must be treated for their condition, but the use of leeches on them is forbidden.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And by the use of the heat of cautery, the patient's body will be healed, and it is said that it is a kind of burning or cauterizing, as the pain is caused by cold humors.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if you apply cautery to the whole body, which is universal in nature.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	And if it is necessary to use a hot cautery on something cold and dry, you will be able to see how it is good for that condition.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And if there's a cushion to be placed on their legs, use the hot cautery in the presence of others.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I have found that already happened some times to their body.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then apply to the body and its parts as necessary cautery and other remedies.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	When there is no other cause, the doctors say that it is a cold or dampness that causes pain in the legs.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know that the heat from cauterization does not reach the intestine or the other parts to be treated.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine be applied to the affected area in the legs, which requires cauterization.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to cauterize the patient's foot, then do so carefully and gently.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you should know, children, that cauterization is used when other remedies are not appropriate for the time being, and it's best to do it in the spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And if you have revealed the bone, e.g., by using the hot cautery, then apply a hot cautery to the exposed area.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if it is necessary to cauterize the affected part of the body, the doctors are usually called upon to use this method.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When the physician finds it necessary to cauterize a part of the body, he should use a heated cushion.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays the physician be able to use its power over the patient's pain.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	A person's body can be treated with cauterization to stop pain in the limbs from becoming inflamed and painful.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E **And if you have pain in your feet, apply a hot compress to them.**
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	It is said that it is in the case of diseases that are caused by something opposite to the other three (humors) that cause it to come out, which is why they were called a "cushion" for the patient's health.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And another medicine to be used here is necessary for the body.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients say that cautery with gold is better than with fire.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so say the words of the physician that this is gout.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery on the joint, and use it on the legs of the patient.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to open the intestines or hernia, the physician should be consulted.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion is used for treatment if it is a cold humor that is causing pain in the lower body.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And when the patient has an injury to the legs that causes pain, he should be treated with a hot poultice.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And you are to be treated by a doctor who will prescribe leeches for three or four nights, depending on your condition.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And place the cushion on their legs and another on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you should apply your hand to their head.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you must also know that it is from this place on the body that the patient's suffering is known as gout, which is a common ailment in the legs.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so, to apply to the legs of the patient, slowly turn the body over on its side, and place the cushion on their back.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And if you are using a cautery, and if you are treating the feet, I will make sure that the foot-cushio
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then apply hot water to the area for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place a cushion on their chest to protect the patient from the pain caused by the burning.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the medicine, which is called tetrapharmacon.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they also say that the same remedy applies to all those who have suffered from the plague.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they should apply cushions to the bones on which they will perform cautery.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And a cushion should be placed under the bone to help with the pain in their feet.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And other doctors say that they have the power to cure gout.
E estiman de aquel loc expiran la vapors del cap.	And they say that the other way to say it is when the ailment affects the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the plague from spreading in the body, especially if it's been around for a while.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May’s a mi, he has seen his legs are affected by an ailment; that is, the patient has pain in their legs.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And it's more safe to use a cushion on the legs of the patient.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply a cautery to the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	And if the pain is in the whole body due to one of these conditions, the patient should be given a poultice for that specific pain;
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply the cautery to the patient's foot to prevent the pain from spreading.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the intestine and apply cautery to the affected area — the amount of flesh that needs to be cut from the foot, and the rest of the translation should be re-evaluated.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's legs are other than the others.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Then, if you want to treat an ailment on the head, you should use a cautery in that location.
Capitol ters.	This is the beginning of the third chapter.
De cauterisacio de emigranea no-antiqua.	This refers to the treatment of migraines that are not caused by imbalances in the body's humors.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the foot, the treatment should be applied in two ways: by applying cauterization to the acute pain, and by placing a cushion under their legs, while also using other medications for treating illnesses related to the use of the body.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	When you have pain in your legs, another cushion will be applied.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then use a sharp instrument to cut open the area where there is pain, allowing the pus to drain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then lay a pillow under the patient's armpit for three hours.
E aprop cura aquel am enguent entro que sia sanat.	And prepare an ointment for that part of the body where the pain is located, to treat it.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if the patient's leg has been opened by a skilled surgeon's hand for treatment, apply the appropriate medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	And apply heat to the affected area using hot stones or other means.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The intestine or cushion under it placed on the legs is used to support the body and maintain its humors.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so you will cauterize the area of pain in the foot, gradually applying the heat.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of the other's humors are in balance, they will be healthy.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then place a cushion under their feet and apply cold compresses to the areas affected by the ailment.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, apply a cushion to the wound to prevent further damage.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Then apply another patch for pain and use your hand to hold back the rising heat.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When the patient's condition requires it, treat them with a pointed cautery.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Therefore, make sure to keep the patient's jaw open, and put a cushion under their chest.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E lay the cushion down carefully so as to avoid pain from the fear of the condition's effects on the body's joints, e lay in a safe place.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the treatment for blood flow according to the book's instructions.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that the patient's body is in such a state that it can be treated with a cushion on their belly.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already ordered the cautery, then it must be applied to the legs, so that it doesn't affect the intestines.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the treatment of swollen ears.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot, there is pain. It is treated with lancets by making incisions or punctures to drain the fluids.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there is pain in a joint, and you must cauterize the area around it, then place another cushion on their legs.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	This means: When the pain in the legs is severe, the patient must be treated gently.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then use the pointed cautery on both thighs, and apply a poultice to the wound.
Capitol .vi.	This text appears to be in a language similar to Latin, Italian, or Spanish, possibly Catalan, and describes a medical procedure being performed.
De cauterizacio de turtura.	A hot iron rod was used for cauterization.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And the cure for pain which arises from cold humors in the body, as we have said in the divisions of the diseases.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	"It is called the hot cautery is used on the feet, they are burned to stop bleeding there."
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you have cured the patient's intestine or another part of the body, it is important to consider whether it is truly gout.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if there is a swelling, it is customary to call it a cushion in their own right, when they are well, but otherwise, it is an injury or ailment.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	Then you will apply cauterization to the affected area in the thigh.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form or shape of the cautery tool is described in detail, explaining its use on different parts of the body.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But it is more common to have an issue with the intestine than the foot.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And have the patient's legs be treated with a poultice upon the thighs and another on the feet.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to the treatment of paralysis or weakness in the legs by using a cautery tool on the affected area.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And if apoplexy is a disease of old age, it must be treated by a physician who has knowledge of these things, so that the cold humors do not affect the patient's health.
E la manieyra del cauteri es fayta segon que es desus dit.	And the method of using a cautery is done as previously described.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	And if it is necessary to treat the intestines by placing cushions on their chest, they must be treated by the physician.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	This refers to a gout treatment using a red-hot cautery, which is a tool used to burn skin. It's likely the text describes how to apply a cauterization treatment for pain in the legs and feet.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient must be treated as if they were ill with other ailments, but their feet and hands must be protected from the heat.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if you have another [person] put his hand on the other part [of the body].
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them.
E fay aquo segon aquel meteys orde le qual ja he dit.	And then apply a cushion on his legs, as you would for other pains in their body.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply three cauterizations to the affected area.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then treat the patient's fingers with a cushion.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le metge sia de la cavitat del body; le foot e tole la coss e no hassia si the colon or the other part of the intestine.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	Then apply the treatment according to the method previously described.
Capitol .ix.	The following text is a medieval medical treatise written in a language that resembles Latin, Italian, Italian, and French.
De cauterisacio de parazili e de mollificacio de tot le cors.	And so the patient's body will be softened.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	And thus you will cauterize the limbs of the patient's body, and place a cushion beneath them.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When pain becomes unbearable in a patient's illness, the physician uses cauterization to treat them, and places a cushion on their legs.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And for that reason, treat that [disease] with a hot oil bandage.
Capitol .x.	Chapter 10.
