Ayssi comensan las paraulas de Albucasim .	The patient's condition begins to improve.
Comensa la divisio del libre, e primier de la primieyra partida.	This is the beginning of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	This first chapter is about the tools used in surgery.
La divisio de la segonda partida.	This is the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter describes how to treat wounds caused by arrows.
Divisio de la tersa partida.	E si una part of the body is called the foot, and if you are treating a patient for something other than gout, then apply the cautery to the thighs instead.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with the treatment of pain caused by excess blood or the removal of obstructions in the body; the chapter on restoration also covers how to treat the pain of gout.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	This means that the pain is caused by humors and is sharp and intense.
Am aquel comensa le tractat de tot le libre.	When the pain begins, apply a cauterizing treatment to the foot.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	The patient's condition prohibits the use of cautery on their feet.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And therefore, I have said that it is called gout when the joints are inflamed and painful.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And if there are other conditions, that's what doctors call a cautery, which can be quite different from humors.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	And if it is necessary to treat a cold illness, it should be treated with heat and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	This cushion is placed on the patient's legs to treat their ailment.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And if you have already found the patient's feet to be affected, you will know that they are experiencing gout.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Then, however, when the intestine or other injuries are present, apply cautery to the affected area.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	When Mays is in other parts of the body, there is no need for fear because it's already understood that it is a disease related to the cold humors.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And so you have placed the patient's body in the balance by applying heat to relieve pain from the ailment.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine be applied to the affected area.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	And if it is necessary to open the surface of the foot, they should be used as described in the first two lines.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know that the pain occurs in the legs, and so they put a cushion on their thighs, and another for the feet.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And so if a patient has an injury to their leg, there is no need for a cautery because it is a common ailment that can be treated with cauterization.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if your doctors think that you have a fever that comes from the humors that are in the body, they will cauterize the part of the body affected by the cold humors.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	When doctors see that the patient has a pain in their feet, they should use hot cauterization to treat them.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Mays the patient be treated for the illness they suffer from.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	A consequence of excessive sweating is that you may need to apply a poultice or cautery to the affected area, which is the reason for the ailment, for other reasons, or to prevent further problems with the body's humors.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	E  mays be used to treat a patient's cushion, but it is not for all ailments.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	If the cause of the illness is unknown, then the treatment should be aimed at the intestines.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Then apply the following to the patient's body: when the treatment for gout is applied in a manner that is customary, but not proper medicine.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	E si es milhor per l'atela eurin que you are using to apply the cushion of your treatment.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so you have already found out that the patient has a condition called gout.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply the cautery on the other side of the joint.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if I have to open their intestines, then I put a cushion on their legs, and others on their knees.
De cauteri de dolor de cap per frigiditat e humiditat.	The other parts of the body can be treated as well for other ailments.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And so the patient's body may be cooled by applying a cautery to their legs or by placing ice on them.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And you apply the cushion to their legs, and use medicine to make the humors flow out.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And place a cushion on the patient's feet and apply to the area under their legs.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place your hand upon their palm between the other two cushions.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you're talking about the other way around, which I believe should be used for the treatment of gout in the feet.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so that the patient's hands are not subject to the pain.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E aprop poseys le tua ma al os per la cushion that you have put your hand under the location to see if the pain persists as it would in a case of gout.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And so place a cushion on their legs for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then you should place a cushion on the affected joint.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And apply a poultice to the area of the affected part.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Then they say that when the plague is called forth by a surgeon, then he's better than a healer.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And if they have pain in the bones, and are suffering from gout.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let the bone be cauterized, which will be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that it's a burn on their feet.
E estiman de aquel loc expiran la vapors del cap.	And they say that he has a hot fever.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then your hand should be placed on the patient's legs to hold them in place.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mayes a mi no so provera la vista in those who have been put to the test.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first treatment is to apply a poultice to the foot, so that the intestines do not come out.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the hot cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	Then consider if the pain in the leg is from one of those causes
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a hot cautery to the top of the foot.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	In that case, the intestine is cut open and cauterized, allowing for air to be released from the body.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if you have other pain in the limbs, it is necessary to apply a cushion to support the patient's body on the legs.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Then apply the cautery to the affected area, and use a gentler cautery for the head.
Capitol ters.	The third chapter.
De cauterisacio de emigranea no-antiqua.	And on the treatment of gout.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply cauterization to the affected area; if it doesn’t work, use other treatments for the pain.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	When there are hot, swollen humors in the body that cause pain, apply a cold cautery to the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply heat to the affected area on their legs, as this will help soothe the pain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then lay a hot compress on the patient's legs for three hours.
E aprop cura aquel am enguent entro que sia sanat.	And apply an ointment to the patient's legs so that they are kept in a state of health.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if the patient's body needs to be treated with other remedies, the physician should apply them.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	And may it be done in this manner.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And if the patient's legs are affected by gout, you will need to cauterize them.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And so you must apply a cautery to the small bones of the body.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood in the legs has become inflamed, apply a cushion to reduce the swelling.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And if you are using another cushion on their legs, apply it for three days, and then remove it to allow the wound to heal.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, the other method is to cauterize the patient's artery.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	This refers to the treatment of gout.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When gout flares up, it is treated by applying a poultice to the affected area.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Empero, you must cauterize the intestine or the hernia in the appropriate way.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	E lay the cushion at the beginning of the operation.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the treatment for blood flow according to the book's instructions.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	This text means: If you see that the patient has an intestine or foot pain in this ailment, it is treated by cauterizing them, but only if they are already suffering from a serious illness.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already seen that the patient has a fever, another treatment should be administered.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	This is a section from an old medical text about treating pain in the ears.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When there is pain in the area of the auricle, it is called "earache" by doctors.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When it is necessary to bleed or apply cautery to treat a patient, do so.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	The translator extends the meaning of al-gias to include the entire body, while noting that pus is involved in the ailment.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then use the cauterizer to treat the other ailments within their body.
Capitol .vi.	The book teaches that the patient's body should be treated as if it were a temple after the first few lines are translated.
De cauterizacio de turtura.	A hot iron applied to the area of the body affected by the ailment.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And it is the nature of the physician to apply heat to the patient's body.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	This is the process of applying cautery to the patient's legs.
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	You must use three other methods to treat the patient.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if there is a need to apply a cautery on the surface of the body, it should be applied only where it is necessary, and no more.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	And if a burn mark needs to be made on the body, you should place a cushion on the patient's right hand or foot to keep them from moving.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the instrument is as follows: it is a knife for cauterizing with a special blade shape designed for that purpose.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But some people have a little bit of a bad temper.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And apply a bandage to the treated leg to prevent further illness.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This refers to cauterization used as a treatment for gout.
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And if the pain is not accompanied by fever, then you should use the methods we have described for treating that condition.
E la manieyra del cauteri es fayta segon que es desus dit.	And the way to treat it is done as has been previously described.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	Then cauterize the stomach area and place another cushion on their feet.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	When a burning sensation occurs in the body, its cause is often hidden from view.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient's body was covered with large stones, pills to break the stones were used, and they are treated by applying heat.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	Then apply a plaster to the aforementioned ailment.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them for several times, or use a cautery to treat it.
E fay aquo segon aquel meteys orde le qual ja he dit.	And so the patient's pain should be addressed by the physician.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply three cauterizations to the affected parts: the legs, feet, or other areas.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	Then proceed to treat the patient's gout, and make sure the inflammation doesn't spread.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le metges are to be used for minor pain, while a cushion should be used for more serious cases.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	And if it is necessary to cure the patient's gout, use a cushion as described previously.
Capitol .ix.	This is likely the beginning of a chapter heading in Latin, perhaps meaning "Chapter 9".
De cauterisacio de parazili e de mollificacio de tot le cors.	The whole body.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	and if it is necessary to treat a person's illness, you must apply the cushion on their limbs
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When pain is severe, the patient's condition may be aggravated by excessive heat on their body.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And if the patient has already been treated by the physician, they are now ready for the olive oil cautery.
Capitol .x.	Chapter 10.
De cauterisacio de epilemcia.	This refers to the treatment of epilepsy, a common practice in medieval medicine being to burn the affected area.
No es cauterizat le epilemtic sino aquella epilemcia es per flecma.	This is the first cushion for treating the ailment called epilepsy.
