Ayssi comensan las paraulas de Albucasim .	The patient's body is already inflamed.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And so you will have to use your knowledge of medicine to treat the patient by treating their body with poultices to soothe the pain.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Then apply cautery moderately and gently to the affected area.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And if it is necessary to open the bowels, I have ordered the patient's body to be treated.
De cauteri de dolor de cap per frigiditat e humiditat.	De cushion for a headache should be used if there is no other way to stop the pain.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	And so they are often called by the name of the disease.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	And the doctor will tell you what kind of medicine to use for the three or four days.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	E aprop places the patient's feet on a cushion.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then apply a cushion to their foot, which causes pain there.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But you have to place your hand on their legs or cushion to prevent them from experiencing pain in the foot.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And so to his pain, which was caused by the cold, he applied a cushion to her legs.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	E ayssi, if you are a skilled doctor, the patient must be placed in a comfortable position.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then place a hot iron on the patient's feet for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your foot on that cushion to prevent further pain.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then apply the medicine within the wound to be cauterized by a physician.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And if the plague has affected the limbs, then apply treatment to the arms.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And if it is necessary to make an incision in the bone, they should be applied to the bone itself, while the patient's legs are held still.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then place a cushion on their legs, and then cure them.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And other say that it's already gout when it has reached their legs and bones.
E estiman de aquel loc expiran la vapors del cap.	And they say that the pain originates from the humors that have escaped.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Then prevent the disease from spreading further by treating it for a long time.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays ays a mi, e to do you may be docus in the patient's leg, but the other on lu; thus, the physician should use this method with caution.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first treatment is to save the patient from their suffering.
Capitol segon.	Chapter two.
Del cauteri del cap.	Then apply the hot cautery to the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	Et quando uno es de la causa del malaute, consider the patient's condition and apply the appropriate treatment for that specific cause.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply the burn on the patient's legs, et the cushion is placed where the intestines are.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the foot to drain the humors, and apply a cautery to the affected area.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And if the patient's knees are hurting, you should also take care to avoid opening the vein on their foot that is affected by the cold.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Then apply the cautery to the area of the body where the pain is felt from the ailment that you call gout.
Capitol ters.	This chapter deals with gout.
De cauterisacio de emigranea no-antiqua.	This text in Latin would be translated as:  "And on cauterization, concerning ancient gout".
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	Then apply the appropriate remedies to the patient's legs depending on the type of pain, using a hot cautery or other methods.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mays is a burning pain in the joints.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then apply a cautery to the affected area to cauterize the source of the pain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then return the patient’s body to its natural state, and you will have healed them in three days.
E aprop cura aquel am enguent entro que sia sanat.	And then apply medicine to that spot to prevent further inflammation.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if the patient has pain in their feet, apply heat with the cushion to alleviate it.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The patient's legs are treated by a doctor or surgeon who uses a specific method.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And if the patient's legs are affected by gout, apply cushions to support them while they are asleep.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then gently place the cushion on the patient's body where their pain is located.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood in the legs is reduced, then you will have gout, which is the cause of pain in the joints.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then place a cushion under the patient's legs.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And then you apply cautery to the affected area according to the old method.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	This refers to the treatment of gout.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When there are sharp pains in the thighs, we use the wound on the foot as an example to show the patient where they have it on their own body.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	Empero, you must cauterize the intestine to prevent gout from spreading to other parts of the body.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	This refers to someone being afraid because they don't know what caused the pain in their leg, so leave the operation alone for now.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And then apply the proper treatment for the ailment of blood flow to the legs.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that the patient's body can tolerate it, cauterize them, and place a cushion on their legs and a cautery on their feet.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you have already decided to do so, use a cauterizing tool on the legs, it's better to be safe than sorry.
Capitol .v.	When the pain is caused by cold humors, the pain is treated as gout.
De cauterisacio de las dolors de aurelhas.	On a specific treatment for the symptoms of gout, you can apply a hot cautery to the affected area.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the foot there are pains on their legs, another cushion is placed below the knees.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	When there's a pain in the joints that affects the whole body, apply a point on the leg, and another on the feet.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	Alonga te am le cauter that are placed on the leg of the patient.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	Then apply cauterization to the affected area and cleanse the wounds.
Capitol .vi.	This is the text translated line by line:
De cauterizacio de turtura.	A cushion should be placed under the patient's legs for support.
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	And you should cure it with a cautery used for making it hot, as long as it is not due to other causes than phlegm.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	This is the way to prevent the intestine from coming out. (referring to the use of cushions in treatment)
Quan tu curas aquela specia de turtura am jerras e capipurgi e guarguarismes, e no comfereys la tua curacio, lahoras cove que tu cauterizas le malaute am tres cauteris: la i deves la razit de la aurelha, e·l segon un petit dejos le sieu templar, e le ters deves la conjunccio de doas labias.	When you have healed those in that area, it is customary to remove the first cushion and apply the cautery.
E pausa lo tieu cauteri per le contrari de la partida malauta, quar mollificacio no ve sino en la partida que apar sana.	And if the pain is located on the leg, it is called a "pulling" or straining of the limb.
E la forma de cauterisacio es que cauterizas aquel am le cauteri en le dreyt de la extremitat de la aurelha pus sobirana un petit sobre le corn del cap, e en le templar autre, la longuesa del qual sia segon la longitut del dit pous, e depausa la tua ma am cauteri entro que sia comburida la quantitat de la maytat de la specitut de la codena.	And if it is necessary to apply cauterization, place the cautery on the body part that should be treated.
E aquesta es la forma del cauteri, e es specia del cutellari, la forma del qual es denant mesa.	The form of the treatment, known as cauterization, involves applying heat to the affected area.
Mays empero pus subtil es que aquel un pauc ayssi co vesas; e cove que cotel en lu de superflua groceza un pauc.	But even if you are called upon to treat a patient with gout, a condition that requires careful attention.
E aprop cura le loc am aquo que es denant procezit entro que sia sanat.	And apply the other to the area of the affected leg or foot, which if applied correctly, will heal the patient.
Capitol .vii.	Chapter 7
De cauterizacio de apoplextia antiqua.	This is about cauterization (the burning of flesh to treat illness).
Quan apoplextia es antiquada e curas aquela am aquo que havem dit e no confereys la tua medicacio e le malaute no ha febre, lahoras cauteriza aquel am quatre cauteris: sobre totz les corn del sieu cap; e am cauteri e le mieg loc del cap, ayssi cum havem dit; e am cauteri en le coguot.	And so if apoplexia is caused by ancient humors, it is said to be treated with four burns.
E la manieyra del cauteri es fayta segon que es desus dit.	And the way to treat it is done as has been mentioned above.
E ja es cauterizat sobre la boca del estomac; e es mays derier; e aprop sia curat am aquo que procezeys.	And on their legs, you should cauterize them if they need to be treated.
Capitol .viii.	Chapter 8.
De cauterizacio de obblivio fayta per flacma.	This refers to the application of a cautery (hot iron) on a part of the body affected by flacma, which is often used to describe gout in English.
Cove que sian donatz al malaute en le comensament jerras grans e pilulas le servel mondificantz.	The patient must be treated holistically with a focus on balancing their humors.
E aprop ras le cap tot del malaute e pausa sus le coguot de lu emplaustre de cetre descrit en le tractat dels emplastres.	And if you have a wound in the head, it is treated as follows.
E pausa aquel alcunas veguadas, quar aquel es manieyra de cauteri.	Then place cushions on them, for the intestines are to be treated with cauterization.
E fay aquo segon aquel meteys orde le qual ja he dit.	And now place a cushion on their legs.
E donc si per aqueles sanat bo es; e sino, lahoras fay a lu tres cauteris en la deriera partida de sieu cap, les quals sian deysendentz de la partida pus sobirana del cap entro a la partida pus dejos del col.	Then apply three cauteries to the patient's legs.
E pausa entre quascun cauteri la grossetut del dit, e aprop cura lo cauteri am aquo que es procedit.	And if the pain is in the toes, it is called gout.
Mays si tu vos addicio e le malaute es aquo tollerant, lahoras fay a lu cauteri en le mieg loc; e si voys major addicio, lahora cauteriza aquel sobre les dos corns.	Mays le metges must be used to denote the type of pain relief or treatment provided by doctors when dealing with a patient suffering from pain in the legs or feet.
Aprop cura aquel entro que sia sanat; e sia le cauteri olivar segon la forma denant donat.	Then apply the treatment to their legs and feet as needed.
Capitol .ix.	The following text uses a mix of Latin-derived words and phrases, indicating that it's likely written in one of those languages.
De cauterisacio de parazili e de mollificacio de tot le cors.	And on their legs, they will place a cauterizing tool.
Cove que tu procesiscas en mondificacio del cap am jerras e am aquo que havem dit; e aprop ras le cap del malaute, e aprop cauteriza aquel am cauteri en le mieg loc del cap, e am cauteri sobre totz les corns del cap, e am cauteri sobre la deriera partida de lu, e am tres cauteris sobre les spondils del col.	and if it is necessary to bring out the bad humors from under the skin, then he will cauterize them using the hot iron.
E si es necessari en la malautia de mollificacio del cors de trops aquel e les malautes tollerantz e la malautia es fort, lahoras cauteriza aquel am quatre cauteris sobre les spondils del dos, e dererament am cauteri entro que sia comborit de la codena mot de lu, e aleva la tieua ma.	When your body is too full of the disease, it is necessary to cauterize the excess with another tool.
E aprop cura aquel entro que sia sanat, e aquest sia cauteri olivar.	And so the doctor applies a cushion to their legs.
Capitol .x.	Chapter 10
De cauterisacio de epilemcia.	This refers to a treatment or procedure involving "cautery" for epilepsy.
No es cauterizat le epilemtic sino aquella epilemcia es per flecma.	This must be treated, not with a cushion under their arm, but rather with the use of a specific type of heat therapy.
