Ayssi comensan las paraulas de Albucasim .	"Thus begins the speech of Albucasim."
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	"And I have already ordered this chapter on cautery according to chapters, and I have ordered those of the head within the chapters so that later you can find what you want from them."
De cauteri de dolor de cap per frigiditat e humiditat.	"On cautery for headache caused by coldness and humidity."
Le capitol primier.	"The first chapter."
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	"This cautery helps against humidity and coldness in the serous accident caused by these two causes, such as soda and multitude of fluxes called coriza from the head to the parts of the eyebrows and ears flowing, and multitude of sleep, and toothache and jaw pain, and generally all illnesses that come from coldness, such as paralysis, sodomitisal diseases, and apoplexy, and similar ones in these illnesses."
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	"The form of this cautery is as follows: first, command the patient to be purged with laxative medicine clarifying the head for three or four nights, according to what the virtue of the illness and the age of the patient and his habit require."
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	"And then command him to shave his head with a razor, and then perform the cautery between your hands over a carpeted bench and have him place his hands on his knees."
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	"And then place the edge of your palm just above the bridge of the nose between his eyebrows."
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	"But however, when your little finger reaches the middle location, mark that spot with a tent and then ignite the olive oil cautery of which this is the form:"
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	"And then place that over the spot marked with a tent in such a way that it descends while your hand is gradually constrained and you turn it."
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	"And then lift your hand gently and observe the spot. If you see any amount of bone already exposed on the head, as much as the amount of a grain of barley, then raise your hand again, and if not, turn your hand with that iron, but another one if it has cooled, until you see what I have said to you."
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	"Then take some salt and dissolve it on that spot; let it sit for three days."
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	"And pause over the burn wound at its edges, letting it sit until the fire's skin is destroyed."
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	"And then treat the spot with tetrafarmacon cream until it heals."
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	"And they said that when the plague is opened, the arm should be bandaged more tightly, for it is better and more beneficial in this way."
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	"And some of them said that the vein should be cauterized near to the bone, and the cautery should be held until some part of the bone's head is adhered."
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	"And then scrape off what has adhered to the bone, and then it shall be healed."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	"And others said that when the cautery reaches the end, it should be pressed onto the bone with great force until the bone cracks, and this is the small form of alphecati."
E estiman de aquel loc expiran la vapors del cap.	"And they believe that from that spot the vapors of the head expire."
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	"And let the opened plague be held for a long time, and then it shall be healed until it is consolidated."
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	"But I have not seen these two kinds of cauteries in any man, except some because of fear; and leave that, it seems to me, better is with health when it is; for the head is softened by solution of continuity from this same as we have testified in the other members, and more so when the head of the disease is very strong."
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	"And the first kind of cautery is safer and better in my opinion; and that way with that work is healthier."
Capitol segon.	"Chapter Seven:"
Del cauteri del cap.	"Of the cautery for the head."
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	"When severe and prolonged headache occurs in a patient who uses various remedies such as ointments, poultices, bandages, emplasters, powders, cataplasms, liniments, etc., especially if cautery has been applied without improvement, consider whether the patient's head is constitutionally strong. If it is not hot and dry but rather moist and cold, then cauterize again with another cautery."
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	"He cauterized that over the horn of his head with a cautery until the flesh was parted."
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	"Cut the flesh until you see the amount of bone we mentioned and cauterize him with a cautery at the last part of the head where it is called 'the vessel,' which is also where cupping is performed."
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	"And be gentle in this, and do not expose the bone, for this disease causes less pain than all other cauteries of the head."
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	"And this cautery should be applied in its proper place, for it is necessary to use a more subtle cautery on the horns of the head and the occupit than that used on the middle part of the head. This is its form."
Capitol ters.	"Chapter Three."
De cauterisacio de emigranea no-antiqua.	"Of the cauterization of non-ancient migraine."
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	"When severe pain occurs suddenly in the part of the head, or there is persistent pain extending to the ear, evacuate with medicines that cleanse the head and administer the other treatment mentioned earlier for this disease. But if it does not help, cauterization is then performed in two ways: either cauterization with a medicine that causes burning, or with iron."
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	"The cautery with a burning medicine is made as follows: Take a dollop of aloe and scrape it clean, then remove both its ends."
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	"And then carefully cut the location of the pain in the temple with a sharp lancet until you see the bone beneath the flesh, but do not expose it."
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	"Then press over it with a hot compress for a moderate constriction and leave it there for the space of three hours. Then remove it and take away the aloe and let the wound lie open for two or three days, then apply a poultice of bread dough around it until the area becomes dry."
E aprop cura aquel am enguent entro que sia sanat.	"And then treat it with an ointment until it is healed."
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	"If you wish, do this with some burning medicines that I have written about in the twelfth treatise on burning medicines."
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	"The cauterization with iron according to this method is as follows:"
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	"And it is called 'closed nails', for its head is shaped like a nail with some curvature, and there is a small prominence in the middle of it."
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	"And apply pressure onto the painful spot, hold your hand steady — so that the heat of the iron is not wasted — and slowly move it back and forth with speed."
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	"And if the amount of heat absorbed by the skin is as much as its magnitude, lift your hand up so that the artery that is left is not burned, so that blood does not flow."
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	"And apply cotton soaked in saltwater onto the spot and leave it there for three days; and then apply warm compress with its edge and cure it with ointment until it heals."
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	"And if you wish, cauterize the extremity of the catheter according to cautery and beware of cutting into an artery in this migraine that is not ancient."
Capitol quart.	"Chapter Four."
De cauterizacio d’emigranea antiqua.	"On the Cautery Treatment of Ancient Migraine."
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	"When you treat migraine with what we have said about the previous cure and what we have said in the divisions of illnesses, but the treatment does not help, then it is necessary to cauterize the catheter within until it becomes white. Because it signifies onto the spot of the pain with a line of length equal to its magnitude or longer; and pause your hand for a moment and strengthen that until you incise the artery and bring about inflammation up to the bone."
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	"However, it is necessary that you guard against the continuity of the mandible, which is moved by mastication; and that the nerve is not burned nor the nerves that move it; and that spasms do not occur."
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	"And if it is about the caution and care of blood flow from the artery that is opened, because in the opening of it there is fear, especially for those who do not know what they are doing and are not studied nor practiced; leave the operation at the beginning."
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	"And I come with remembrance of the regulation of accidental blood flow from the artery according to its manner, in its place in this book."
