Ayssi comensan las paraulas de Albucasim .	Certainly! Here's the translation:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus he died according to his desires, and he relieved himself, and he repeated this for several days, commanding that he be given no other food; and thus the limb was lost forever
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I went to see him, and I saw that the liament had been removed, and there was peace and an end to the pain
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was confirmed in the limb, for I could not restrain it, and I did not cease the corruption of the limb until the patient was in danger of death
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another physician who pierced an abscess of cancer, and caused ulcers nearby within a few days, so that the malignancy of the tumor increased with the master of the tumor.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that cancer is pure melancholy humor, and it does not suffice to bring it to an end with medicine, but that it must be treated by the limb that suffers so that the rest of the body may be saved
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And thus, children, it is necessary for you that the art of surgery be divided into two parts: that which is associated with health, and that which is perilous in the greatest precautions
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already mentioned this throughout this book in which I have spoken of the operation in which there is error and fear; for it is necessary for you to guard against this and leave that, so that the fools may not find fault with you and you may be blamed.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take courage and ask for the help of God, and the sick with you for help and for comfort.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And thus, through the mercy of God, you shall be saved and blessed with abundant success, and you shall cast down the terrifying diseases that are difficult to heal, and you shall overcome the other weapons of that which you are afraid, so that you shall rejoice in your faith and in your name, for it is your reward that remains in your glory, and more so in this world and in the next.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already mentioned this in many of my discourses.</end_of_turn>
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“There is no medicine for a bad disease, for so it is that many doctors will not be called by that name”.</end_of_turn
E yeu ja he devesit aquest libre segontz tres capitols.	And indeed, I have already written this book according to three chapters.</end_of_turn
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of all of the first part.</end_of_turn
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered of the head downwards, concerning the forms of the instruments and the instruments of the cautery, and of what is necessary for the operation.</end_of_turn
La divisio de la segonda partida.	The division of the second part.</end_of_turn
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of swelling and perforation, and of blisters, and of ulcers, and of the extraction of arrows and similar things, is all capitulated and ordered concerning the forms of the instruments.</end_of_turn
Divisio de la tersa partida.	Division of the third part.</end_of_turn
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and of the care of fractures and similar things; is ordered concerning the head downwards, and concerning the forms of the instruments.</end_of_turn
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and acute medicine and memory of the operation.</end_of_turn
Am aquel comensa le tractat de tot le libre.	In that in which the treatise of the whole book begins.</end_of_turn
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That I have said concerning the quality of the instruments of that cautery and of their documents, and in what combination it is prohibited to cauterize.</end_of_turn
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse concerning the quality of the instruments of the cautery and of their documents is a long and profound one, and subtle for science, and a secret hidden; and already many learned men have spoken about it, and they have disagreed among themselves, and to me it seems that little of what they have said is sufficient, fearing that it will be prolonged.</end_of_turn
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that cautery conforms to all universal completion except for two completions, which are caudal completions of its matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry completion of the matter, disagreement arises; for some say that cautery is useful for that, while others say that it is harmful to that, because the nature of fire is quality and dryness, and it is inconvenient that the disease be both caudal and dry with that which is cauterized and dry is healed.</end_of_turn>
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that those who say the opposite are mistaken, that for cautery is useful in every caudal and dry disease that exists in the bodies of men, for when you compare the body of a man with the humidity of his blood to the completion of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this discourse that I have already experienced something like this in my studies.</end_of_turn>
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But indeed, I do not say that everything that has been said should be abandoned and neglected in the chapter of cautery after practice, and by knowing the diversity of the humors of men and the disposition of diseases in their places, and the causes of these, and their accidents, and the space of time of these.</end_of_turn
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in the other completions, it is not about you fearing, and more so in the cold and humid diseases, for already all doctors have agreed upon these, and they do not disagree concerning the usefulness of cautery in those.</end_of_turn
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my son, that the secret of healing with fire cautery and the wisdom of it is about cautery with acute medicine, for the fire is simple, the action of which does not reach beyond the member which is cauterized and does not notice the other member with it adjusted except for a small document.</end_of_turn
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	For the action of acute medicine reaches only to that which is inflamed, and it does not make it come into the diseased member of difficult healing and does not make it go out.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	For fire, by its subtlety and its substance, does nothing but what is already known to us by experience and by the length of our service in the art concerning the truth of the causes; and for this reason I am excused from the length of this discourse because it is not legible to me in this place in this paper the secret which you have hidden with fire, and the quality of its operation in the bodies and the safety of its expulsion of the disease, as it is demonstrated in philosophical terms.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Indeed, masters, it is known that the most opportune time for cautery and rest is during the milder days of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is useful at all times, so that it does not suffer from the suddenness of the time, for it is immersed in the support of water which makes the cautery less painful, especially if the cautery is for pains or for necessary pains, for these are strong and fierce, and it is feared that if it is delayed, there is a risk of malice, which is greater than a slight discomfort that enters at the right time.</end_of_turn>
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	I do not know of other cases, or masters, where people except the vulgar people and foolish doctors think that cautery is not useful at all times. Therefore, for that disease which is healed by cautery, it is not ridiculous at all times, and rest is enough of that consequence.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not that they say that it is for water, for cautery is nothing but a means of medicine which alters the complexion and dries up the humors which are the cause of pain.</end_of_turn
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But indeed, cautery often surpasses medicine in its value and the virtue of its operation and the greatness of its benefit.</end_of_turn
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that your disease will return at some other time, according to the complexion of the disease and the location of its disease, and the virtue of these things, and what is prepared in the body of these things from the accumulation of superfluities in these things, and what is obtained from these things in their acquisition through food and drink and the like of these causes; but the disease in which cautery is administered is a subtle disease in few superfluities and humors, just as if it were cautery for pain and the like of that, and possibly in these it will not return that pain, even though it is made small.</end_of_turn>
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it may well be said that cautery is the last remedy of medicine, and is a miraculous thing, not as those understand it who do not know it, for they believe that it is not a cure that uses medicine or any other cause except for cautery itself.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	But the cause is contrary to this; and the understanding that cautery is the last remedy of medicine is true only when the methods of healing in certain diseases are administered, and those medicines do not confer, and at the end of the cause it is necessary to administer cautery, and benefit from that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And so it is that in these days it is said that cautery is the last remedy of medicine, not according to the understanding which the vulgar people and the fools of the doctors have.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And I say to you the ancients said that cautery with gold is better than cautery with iron, and I do not say this except for the equality of gold and the fineness of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And I say that the place of cautery does not make it harsh, as some people say, for indeed I have already seen that this does not make any difference except in certain bodies where the other methods are less effective; and cautery with gold is better than with iron, just as some people say; but indeed when you make cautery with fire from gold, it is not your business to declare that, for it is ignited according to the quantity you wish for the roughness of the gold, and you must prepare to receive the cold; and if you do not adjust for this, the gold will be consumed by the fire, and in the fire some scales will remain so that the artist will cut for the occupation of that.</end_of_turn
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason it is useful to make cautery with iron, you must put it more lightly and more cautiously to the right of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to chapters, and I have ordered those chapters which are between the feet to be omitted, so that I relieve those who ask me what they want from me.</end_of_turn
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headaches caused by cold and humidity.</end_of_turn>
Le capitol primier.	Chapter one.</end_of_turn>
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers relief from the accidental causes of which it is a cause of soda and multiple fluxes of humors raumatic, applied to the head and the limbs and the joints, multiple sleep and toothache, and the like of all diseases which come from cold, even as paralysis, tetanus, apoplexy, and the like.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cautery is as follows: first command the patient to evacuate with medical laxatives for three or four nights, according to the excess of the virtue of the disease and the age of the patient and his custom.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and make him sit between your legs on a fallen bench and place your hand over his head.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And put your thumb against the root of your nose between your nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Indeed, as the doctor has said, when the liquid of the limb is inflamed, it is a sign of that limb. And make a burn with an olive twig of this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And put it over the affected area until it descends, in such a way that your hand is slightly constricted, and pull that out slowly.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then take your hand away slightly and hold the limb, and if you see already some quantity of bone exposed, as much as the quantity of barley grains, then lift your hand, and if you do not withdraw your hand from that side, do so from the other, if it is cold, until it is seen that the bone is no longer visible as I have said to you
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a little salt and dissolve it on the limb and keep it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And put over the wound a bandage in border and keep it there until the burn of the fire is destroyed
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And take care of the limb with ointment until it is healed
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And indeed, when the plague remains open, it is better to take honey from the branch, for it is better and more helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I say to you all that the bone must be cauterized until it reaches the bone, and keep the cautery there until every part of the substance of the bone has been consumed
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And so be it that which remains of the bone is soft, and so be it cured.</start_of_turn>
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say to you all that it must be cauterized until it reaches the heel, for in this way it will be more likely that the bone will be strong within it, and this is the way of allaying it slightly:
E estiman de aquel loc expiran la vapors del cap.	And it is estimated from that limb that the vapors of the head expire from it.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the plague remains open for a long time, and so be it cured when it is solidified
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two methods of cautery in any other home, except for fear; and leave that to me, for it is better for me that you are well, rather than that you risk your life for nothing. For the head of the patient is usually developed by the continuity of the limbs, as we have testified in other members, and more so when the head of the patient is of soft nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first method of cautery is better and more useful, for you; and from that I have seen in this work that it is better for me.</start_of_turn>
Capitol segon.	End of text.
Del cauteri del cap.	The end of the text is not included in the provided passage.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head there is chronic and long-lasting pain, and when it is prolonged in the disease, and when it is used with poultices and cushions and capsulars and plasters and mustard and garlic and herbs and vinegar and alum, and especially if the bone has already been cauterized with one cautery without any of those causes having profited it, then consider that if the head of the disease is of strong formation in its nature; and it is not soft and finds no great heat, then cauterize with another cautery leaving a little space.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And cauterize over the heel of the foot with the cautery until the bone is fractured.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the bone and uncover from the bone the quantity that we have recounted and cauterize that which is in the lower part of the head in the place where it is applied to the vein, — and that is the place where the swelling is stopped.</start_of_turn>
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand still in this way, and do not uncover the bone, for the disease finds great pain from that other than from all the other cauteries of the head.</start_of_turn>
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say that this cautery in this place is more subtle than the one which is used for the heel of the foot and the back of the head; and this is the way to do it.</start_of_turn
Capitol ters.	End of text
De cauterisacio de emigranea no-antiqua.	Of ancient cautery of emigration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When in the part of the head there is soft pain, or widespread pain throughout the belly, evacuate immediately with medicines that soften the head, and give the other treatment which I have mentioned in the preceding diseases; and if it does not profit, know that the cautery in this case is done in two ways: either with acute medicinal combustion or with a cautery.</start_of_turn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the cautery burn with the power of medicine, for you take a dose of alum, expel that, and remove the extremities of both hands from above.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And thus indicate the area of pain on the temple with a lancet, so that the hair covering the area is shaved away, since it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And thus bind over the area with a tight constriction, leave it for three hours; then remove the dressing and apply alum, and leave the wound covered for two or three days, and then rest your hand over the area until the area is healed
E aprop cura aquel am enguent entro que sia sanat.	And take care of that which is inflamed until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, faith that many medicines can combat these which I have written in the treatise of medicinal treatments
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be carried out according to this manner: the fire for the cautery is of this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and is called closed nails, which have a head like a nail in which there is a small curvature, and in the middle of the area there is a small elevation
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And rest your hand over the area of pain, and hold your hand there — so that the wound is not bruised — and gradually move the fire forward slowly
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of that which is bruised by the speculum is as great as the majority, elevate your hand so that the artery is not bruised, so that there is no flow of blood
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And soak the wound in salt water and rest it on the area, leave it for three days; then rest the limb immersed in butter, and take care of the wound until it is healed
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the edge of the nail according to the cautery, and guard against the incision of the artery in this place precisely not-ancient.
Capitol quart.	Chapter four.</start_of_turn>
De cauterizacio d’emigranea antiqua.	Of the cautery of ancient embolism.</start_of_turn>
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have treated the embolism as we have said in the preceding cure, and as we have said in the divisions of diseases, and do not avail of the cure, and sometimes for the disease which does not suffice to it which we have said of the first cautery with medicine or with fire, then when you have ignited the cautery nail until it is white, because that signifies about the area of pain along the line of length of which is the majority of the finger, or whatever; pause your hand for a while and bind that until you have incised the artery and reached the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However necessary it is that you guard against the continuation of the mandible, which is bad for chewing, and that the nail not be bruised and the nerves which are bad for that, and that no spasm occur
