Ayssi comensan las paraulas de Albucasim .	Certainly. Here's the translation:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus he left according to his desires, and he relieved him, and he bound him, and commanded that he should not be unbound for five days and commanded that we should not remove the bandage; and thus it came about that the thigh was festered and the man died.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I went to see him, and I found that he had unbound him, and he had peace and forgot his pains
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was already confirmed in the limb, for it was unable to restrain that one, and it did not cease to spread corruption in the limb until the patient died of the infection
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another physician who pierced an abscess with a needle, and it bled for several days, until the malignancy of the tumor became greater than that of the master of the house
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that cancer is pure melancholy humor, and it does not suffice for it to bring it to the point of its greatest power, but it must be on the limb that suffers so that from that limb should be taken all the nourishment of the whole body.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And thus, children, it is necessary for you that the art of healing be divided into two parts: that which is associated with health, and that which is perilous in the greatest precautions
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already spoken of this in all this book concerning surgery in which there is error and fear; for it is necessary for you to preserve this and leave that which will cause the fools to speak and make you ridiculous
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take the sacred arms in the request and in the protection of God, and the wicked diseases in their adversity and their humility.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And thus, with the help of God, you shall be saved and praised, and you shall cast out the terrible diseases that are difficult to heal, and you shall overcome all the other weapons of that which you were afraid, so that you may rejoice in your faith and in your name, for it is your might that remains to your glory, and above all in the world and behind the other saints.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already spoken in many places about this matter.</end_of_turn>
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“There is no medicine for a bad disease, for so the learned doctors will not be called by name.”</end_of_turn
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already written this book according to three chapters.</end_of_turn>
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.</end_of_turn
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter treats of the parts of the foot, in the forms of the instruments and the substances of the cautery, and of what is necessary for the operation.</end_of_turn
La divisio de la segonda partida.	The division of the second part.</end_of_turn
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with swelling and perforation, and of blisters, and of boils, and of the extraction of arrows and similar things, all categorized and arranged according to the forms of the instruments.</end_of_turn
Divisio de la tersa partida.	Division of the third part.</end_of_turn
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter treats of restoration and dislocation, and of treatment of fractures and similar things; categorized from the head to the foot, and concerning the forms of the instruments.</end_of_turn
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and acute medicine and reminder of the operation.</end_of_turn
Am aquel comensa le tractat de tot le libre.	Here begins the treatise of the entire book.</end_of_turn
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That I say what is the quality of the instruments of that cautery and of their documents, and in what combination it is prohibited to perform cautery.</end_of_turn
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the instruments of that cautery and of their documents is a long and laborious one, and subtle for science, and a secret that is hidden; and already many learned men have spoken greatly about it, and they have disagreed about it, and I believe that I have only a small part of their speeches, fearing prolongation.</end>
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery conforms to all universal completion that is in matter or its matter, except for two completions, which are caudal completions of its matter.</end
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal completion and dry matter, there is disagreement concerning matter; for some say that cautery is useful for that, and others say the opposite, that cautery is not convenient in disease because of its quality and dryness, for the nature of fire is quality and dryness, and it is inconvenient that disease be treated with that which is both dry and qualitative.</end>
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that those who say the opposite are mistaken, for by means of cautery it is useful for all cold and dry diseases that exist in the bodies of men, for when you compare the body of a man with the humidity of his body with the completion of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this speech that I have already experienced it in some way in my studies.</end_of_turn>
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not say that everything that has been said about cautery is completely new and unexamined in the chapter on cautery after practice, and that one should know the diversity of the humors of men and the disposition of diseases in their places, and the causes of these, and their accidents, and the extent of time of these.</end
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other completions, it is not about you fearing, and more so in the cold and wet diseases, for already all doctors agree on those, and they do not disagree concerning the use of cautery in those.</end
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of curing with fire cautery and the goodness of it is that of cautery with acute medicine, for the fire is simple, its action reaches only the member which is cauterized and does not affect the other member next to it except for a small document.</end<end_turn>
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	For the action of acute medicine reaches only to that in the limb from which it is applied, and it makes it come out in the diseased limb of difficult healing and makes it leave.</end><end_turn>
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	For fire, by its subtlety and its substance, does not make that which is superfluous. And already we know by experience and by the length of our service in the art that it is useful for the truth of the causes; and for this reason I am excused for the length of this speech, for it is not legible to me in this place in this paper the secret which you have hidden with fire, and the quality of its operation in the bodies and the expulsion of the disease which it expels, as is shown in philosophical discourse, which would be acute in the rest of the world.</end><end_turn>
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Indeed, children, it is wise to know when it is appropriate to perform cautery and when it is best to delay. The best time is during the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate at all times, so that the discomfort caused by the temporary suspension of the cautery is submerged in the benefit of the time when the cautery is actually performed, especially if the cautery is for pain or necessary pain, which do not suffer from delay, for fear that the latter may bring about malice, which is greater than a slight discomfort that arises from the delay.</end_of_turn>
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	I do not deny that there are other diseases for which cautery is not suitable, or, children, that learned doctors do not recommend it in every case. For this ailment that is cured by cautery, it is not ridiculous at all times, and one should pause at the consequence.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not that they are deceived by it, for cautery is nothing other than a medicine that alters the complexion and dries out the humors that are the cause of pain.</end_of_turn
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Therefore, however, cautery often surpasses medicine in its value and virtue of its operation and greatness of the Lord.</end_of_turn>
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the disease will return at some later time, according to the complexion of the disease and the location of the disease, and the virtue of the remedies, and what is prepared in the body from the accumulation of humors in it, and what is obtained from it in the acquisition of food and other things; but when the disease in which cautery is administered is a subtle disease in a member of few humors and moisture, just as for example the cautery of a tooth for pain and the like, it is possible that in it the pain will no longer return, even though it is done for small things.</end_of_turn
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Indeed, a common saying is that cautery is the last remedy of medicine, and it is a saying of great experience, not because one should believe that it is not a cure that uses medicine or any other cause except cautery itself.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	On the contrary, the understanding that cautery is the last remedy of medicine is not true in every case. For in many diseases, other remedies are administered before resorting to cautery, and these remedies do not suffice, so that finally when the cause has been removed, cautery is administered and it is of great use in that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And thus it is that sixteen years have passed since it was said that cautery is the last remedy of medicine, not according to the understanding of the vulgar people and the tricks of the learned doctors.</end_of_turn
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that cautery with gold is better than cautery with iron, and I do not say otherwise except for the equality of the gold and the fineness of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	I have already seen that the location of cautery does not always make a difference, as indeed I have found that in many cases it does not make any difference; and that indeed cautery with gold is better than with iron, as they say. However, when you perform cautery with fire and gold, you must take care that the gold does not burn, for it is ignited according to the quantity you wish for the roughness of the gold, and you must prepare to receive the heat; and if you do not adjust for it, the gold will be burned by the fire and the work will be spoiled.</end_of_turn
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Therefore, when you perform cautery with iron, you must do so more gently and cautiously, and with greater precision in the execution of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already arranged this chapter on cautery in chapters, and I have arranged those chapters within this foot, so that I may satisfy the request of those who ask for it.</end_of_turn
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery of head pain caused by cold and moisture.</end_of_turn>
Le capitol primier.	First chapter.</end_of_turn>
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to cold and moisture the power of producing an accidental affection of which two causes are its source, so it is the cause of soda and multiple hemorrhages, swelling of the head and limbs and of the joints, swelling of the spleen, sleeplessness, toothache and abdominal pain, and generally of all diseases that arise from cold, even as paralysis, fainting and apoplexy, and is similar in these diseases.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first command the patient to evacuate with laxatives, medicine that softens the head for three or four nights, according to the excess of the virtue of the disease and the age and custom of the patient.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave the head with a razor, and make him sit between your knees on a fallen bank and place your hand over his knees.</end_of_turn
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And keep your thumb close to the root of your nose between your nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Moreover, since the physician has said that the limb is affected, mark that area with a cautery, and do so with olive oil of this kind:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And keep that above the area that is affected, in such a way that it descends gradually, with your hand clenched, and you will return it slowly.</start_of_turn>
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then take your hand lightly and support the limb, and if you see that some quantity of flesh has already been uncovered, as much as the quantity of barley grains, then elevate your hand, and if it does not return, do so with the other hand, until it is seen that the limb is no longer uncovered as much as before.</start_of_turn
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a little salt and dissolve it on the limb and let it stay for three days.</start_of_turn>
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And keep your hand covered in fat at the edge and let it stay until the burn of the fire is consumed.</start_of_turn>
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And take care of the limb so that it becomes painless as soon as possible.</start_of_turn
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And I say that when the plague remains open, better take leave of the limb, for it is better and more helpful.</start_of_turn
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And I say to you that the bone must be cauterized until it reaches the bone, and must be kept cauterized until all the parts of the substance of the bone are softened.</start_of_turn
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And keep the bone moist that which remains of the bone, and keep it cured.</start_of_turn
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say that it must be cauterized until it reaches the heel, for in this way it will be stronger in the bone when it is finished, rather than if it were finished at the beginning.</start_of_turn
E estiman de aquel loc expiran la vapors del cap.	And it is estimated that from that limb the vapor of the head escapes.</start_of_turn
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the plague remains open for a long time, and must be cured when it is solidified.</start_of_turn
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not know these two species of cautery in all my life, except in some madmen by fear; and leave that, you must know, is better for your health than to risk it for the sake of some trifle. For indeed the head is developed from the solution of the continuation of its kind as we have testified in other members, and especially when the head of the patient is of fiery nature.</start_of_turn
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first cautery is better and more helpful, you must know, and from that we have seen better results in this work than in any other.</start_of_turn
Capitol segon.	Chapter two.</start_of_turn
Del cauteri del cap.	Of the cautery of the head.</start_of_turn
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head chronic pain of a long duration occurs, and when it is prolonged in the disease, use of poultices and cloths and caps and plasters and mustard and vinegar and eggs and barley and alum, and especially if the head of the disease is of fiery nature; and do not be afraid of great heat, for indeed that which cauterizes with another cautery leaves a little space.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And cauterize that on the heel of the foot with a pointed cautery until the bone is softened.</start_of_turn
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the bone and uncover from the bone the quantity which we have recounted and cauterize that which is in the posterior part of the head in the area where it is applied to the vein — and that is the place where the vapor escapes.</start_of_turn
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand lightly in support, and do not uncover the bone, for the disease because of that will find great pain other than the pain of all the other cauteries of the head.</start_of_turn
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say that this cautery in its place is more subtle than the one which is applied to the heel of the foot and the occiput; and this is the way to do it.</start_of_turn
Capitol ters.	Chapter three.</start_of_turn
De cauterisacio de emigranea no-antiqua.	Of the cautery of the ancient emigration.</start_of_turn
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is swelling in the part of the head, or widespread pain in the heel, evacuate with medicines the head which is mondified, and administer the other care which I have mentioned in the preceding chapters; and do not neglect, for indeed the cautery in this case is done in two ways: with acute burning medicine or with the iron.</start_of_turn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May I ask that you provide the next sentence in the text for translation?
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then prick the area of pain in the temple with a lancet, and when it has bled out, leave the wound open until the clot has formed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen the area around the stop by applying pressure to reduce constriction, and leave it for three hours; then remove the dressing and bring in the alum, and leave the bandage on for two or three days, and finally rest over the limb immersed in cold water until the wound heals
E aprop cura aquel am enguent entro que sia sanat.	And take care of the patient until they are healed.</start_of_turn>
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, know that there are many medicines that I have written about in the treatise of remedies.</start_of_turn>
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be carried out according to this manner: fire for cautery of this kind: ...</start_of_turn
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	... and it is called closed nails, where the head of the nail is like a nail with a curvature in the middle, and at the end of the nail is a small protrusion.</start_of_turn>
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And rest over the area of pain, and hold your hand - so that the surrounding tissue is not torn - and gently remove the fire little by little at a speed.</start_of_turn
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of tissue that is burned by the heat of the clot is greater than half, elevate your hand so that the artery is not torn, which would prevent the flow of blood.</start_of_turn
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then soak the limb in salt water and rest it on the area, and leave it for three days; then rest the limb with a bandage on, and take care of the patient until they are healed.</start_of_turn
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the tip of the toe according to the cautery, and take care to avoid cutting an artery in this movement.</start_of_turn
Capitol quart.	Chapter four.</start_of_turn>
De cauterizacio d’emigranea antiqua.	On cautery of an ancient embolism.</start_of_turn
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have cured the embolism with what has been said in the preceding care, and what has been said in the divisions of diseases, and you do not take advantage of the care, sometimes for the disease does not reach that which has been said of the first cautery with medicine or of the cautery with fire, then when you ignite the cautery of the toe let it burn until it is whitened, for it signifies that the pain is in the middle of the toe, or that the tip of the toe; then withdraw your hand for a moment and strengthen the area where you made the incision to prevent the artery from being torn.</start_of_turn
