Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucasim.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And thus you do not catch in your feet, or, sons, that which they do not esteem except the common people and foolish doctors, so it is that at that illness which is healed by cauteries, it is not returned to all time, and pauses at that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so much in the skin as in the cold humors that alter the complexion and dry out the humidity which is the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Perhaps emperor's cauteries are excessive in medicine, to show off the value and truth of their operation and greatness of his noble lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his malady returns at some hour of time, according to the complexion of the patient and the location of his malady, and the truth of it, and what is prepared in the course of his body by the aggregation of excessive heat in him, and what has come to him through his acquisition of vices and similarities to those causes; but that the malady in which cauteries are administered is a subtle malady in a member with few excessive heat and humidity, thus as cauteries of teeth for pain and similarity to that, it is possible that in him there will not return that pain, but rather it will be made small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is a common saying that cauteries are the last resort of medicine, and it is a desperate remedy, not because they understand it in him, for they believe that it is not a cure that profits from medicine nor another cause that profits from cauteries.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is in contrast to that; and the intention that cauteries are the last resort of medicine is not but when we administer many ways of cure in certain maladies, and those medicines do not confer, and then at the end of the cause, one administers thus cauteries, and profits from that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And henceforth I reject the idea that cauteries are the last resort of medicine, not according to the intention which the common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that gold cauteries are better than iron cauteries, and they didn't say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauteries does not make a breach, as if it is not absolutely true, because you already have it and have experienced that it does not do this except in certain bodies, and cauteries are good and better than iron, just as they said; but when you make cauteries with a focus of gold, it is not for you to declare, because it is ignited according to the quantity that you want for the rigor of the gold, and prepares to receive heat; and if you adjust on the ignition it makes the gold flow into the focus, and sometimes in the focus certain layers so that the artisan can take advantage of it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is done to make iron cauteries, we must push lightly and more profoundly into the right direction of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And now I have ordered this chapter on cauteries according to chapters, and I have ordered those of the head within the feet, so that the demanding one knows what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauteries for pain in the head due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness about the sudden accident of which there are two causes, so it is a cause of swelling and multiple fluxes of rheumatic flow, called corissa, from the head to the parts of the veins and ears fluent, and multiple sleeping, and of toothache and gout, and universally of all maladies that come from coldness, thus as paralytic, swooning, and apoplexy, and similarly in those maladies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to be evacuated from medicine by a mild evacuating remedy for three or four nights, according to the truth of the patient's virtue and his age and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then it commands him to shave his head with a razor, and then to sit between his thighs on a heated bench and place his hands over his own feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then he places the razor in the palm of his hand, then puts it on the razor's edge between the nostrils of his nose.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Perhaps emperor, as the finger of my middle finger has arrived, it signs that place with tension, and then ignites the olive oil cautery of which this is the form.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then he places it on the tender spot with tension, in a manner that descends, in which the finger of my hand is constricted little by little, and you revolve it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then he lifts his hand lightly and regards the spot, and if you see already some quantity of head being discovered, thus as the quantity of grain of errors, then he lifts his hand, and if it does not return to that iron, another of that, if it is frozen, until it is seen by him what I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the wrapped cloth in a bundle and leave it there until the scar of the focus is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the spot with four-part medication until it is healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plague was lifted, so much better did I get the arm, because it is better and more jovial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They should burn some of those that are to be cauterized on the outside of the bone, and hold the cautery so that it is adhered to some part of the bone's specificity.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then return it to its adjustment on the bone, and then it will be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They should burn others with the cautery penetrating deeply, so that it enters the bone strongly and grips the bone firmly, and this is the method of small alleviations.
E estiman de aquel loc expiran la vapors del cap.	They esteem that from that place issue the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it will be held in the open wound for a long time, and then it will be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two special kinds of cauteries at all, unless in some homes according to the way of fear; and thus, you see, my better health is due to salvation, when it is; because the head is revealed by solution of continuity with the aforementioned, as we have testified in the other members, and especially since the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the species of cauteries first mentioned is most safe and better for me; and from that house and in that work I am healthy.
Capitol segon.	It follows accordingly.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the whole head is affected by chronic and long pain and it is in prolonged illness, and uses remedies of poultices and of bandages and of cupping glasses and of emplasters and of ointments and of catheters and of gauzes, and especially if it has been cauterized with a cautery that recounts and does not provide relief from any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not frail and troubled by great cold, then that cauterying with another cautery below that one is insufficient.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauteries that one on the horn of the seven-headed beast with a cautery until the bone is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and uncover the part of the bone that we have recounted and cauteries that with a cautery at the back part of the head in the place called "vas" — and it is that place where the windy pause is made.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not uncover the bone, because the patient will suffer great diverse pain from the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will direct this cautery to its place, because it is necessary that the cautery which is being used to cauteries the horns of the head and the occiput is more subtly applied than that which is cauterized in the middle place of the head; and this is the method of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the head's part, or it is extended pain to the eye, it should be evacuated with medicines that mondiginate the head, and another cure should be administered, which you have mentioned in the treatises on illnesses; and if nothing helps, then cauterying is done in two ways: either cauterying with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The cauterying with acute burning medicine is that you take a handful of salt, and scrape it off and bind the extremities of it to both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the place of pain in the temple with a sharp lancet until it reaches the hidden bone, until it is concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it over the place where it is stopped by constant constriction, and thus leave it for three hours; and then remove it and extract the salt, and leave the wound open for two or three days, and then pause on the submerged edge in a bandage until the place forms a crust.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that one with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see, do as I have written about some burning medicines which I have described in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cauterying with iron is done according to this method: ignite the iron for cauterying, of which this is the form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus like a form of nail in which there is some curvature, and in the middle place of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the place of pain, and hold your hand — so that the acidity which is beneath is not adhered — and turn the small iron slowly with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is adhered to the specificity of the bone thus as its magnitude, and lift your hand so that the artery is not adhered to the one beneath, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then dip the edge in salt water and pause it on the place, and leave it for three days; and then pause the edge much in a bandage, and then cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cautery the extremity of the cutter according to the cautery, and beware of incision of the artery in this non-ancient migration properly.
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cautery of ancient migratory diseases.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migratory diseases in the way that we have spoken of previous treatments, and in the divisions of the illnesses, and do not hasten the treatment, and sometimes due to the illness that does not allow for what we have said about the first cautery in medicine or in fire cautery, then it is necessary that you ignite the cuticular cautery until it is whitened, because it signifies on the line of long duration of the same magnitude, or that which; and pause your hand for a while and strengthen it until you incise the artery and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuity of the jawbone, which is weakened by chewing, and that the ligament is not injured and the nerves are not damaged in such a way, and that there is no spasmodic contractions.
