Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasim.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterization confers to all universal complexions, which are by matter or without matter, excepting two complexions, which are complexions of phlegm without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complexions phlegmy and dry with matter discorded; for some said that cauterization is beneficial to it, and others said the contrary of that, that cauterization is not convenient in ill of which is by quality and dryness, for the nature of fire is quality and dryness, and inconvenient that ill of which is phlegmy and dry be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he said the contrary of that, that by cauterization is made humor in all ill which is phlegmy and dry that one sees in the bodies of men, for when you compare the body of man and his humors to the complexions of fire, you rub the body of man dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that, that experiment that to me some times have discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, let the one who comes to this topic not be ignorant of what is already written and practiced in the chapter on cautery by various authors, and has understood the diversity of human complexions and the disposition of diseases in their bodies, and their causes, and their accidents, and the space of time of them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions you should not be afraid, especially in wet and damp diseases, for all doctors have agreed about them and are not in disagreement that cautery is beneficial for those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by cautery with fire and its goodness is that cautery with burning medicine is that fire is simple, whose action only affects the part being cauterized and does not affect another part except for a little harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine reaches all parts, and strongly brings about a difficult-to-cure disease in the part it affects, and strongly helps it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its subtlety and the goodness of its substance, does not do that except that it expels the surplus. And it is known to us through experiment and through the length of service in the study of art upon the truth of causes; and because of this I am excused from the length of speech. And if it were not that my free time was not read in this pause, a secret hidden from you by fire, and the quality of its action on bodies and its expulsion by which you expel diseases, with philosophical speech demonstrated, which would be acute in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree on the time when it is convenient to perform cautery, and pause in the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, in order that the harm by the accidental time is submerged in the benefit of what is drawn by cautery, and especially if cautery is for pains or necessary pains, strong and feverish, which do not endure delay so that malice does not come, which is greater than a little harm due to the passage of time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And therefore do not wonder in your minds, children, that this is not considered except by the common people and foolish doctors; it is that for that disease which is healed by cautery, there is no reduction of time at all, and they pause in that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think, for cautery is not but in the place of medicine which alters the complexion and dries up the moisture which are the cause by which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But cautery surpasses medicine in power of its strength and value of its action, and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease may return at some time according to the complexion of the patient and the location of his disease, and the strength of it, and what is prepared in his body from the aggregation of surpluses in him, and what comes to him in his acquisition in food and likeness of these causes; unless the disease for which cautery was administered was a subtle disease in a part of few surpluses and moisture, so that cautery for pain and its likeness in it, it is possible that the pain will not return in him, but this happens in small things.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But the vulgar saying is that cautery is the last remedy of medicine, and it is a true saying, not to what they understand about it, for they believe that there is no cure that benefits from medicine or any other cause except cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last remedy of medicine is not but when we administer remedies in some diseases, and those medicines do not confer, and at the end of the cause we administer a man cautery, and it benefits for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here we understand that cautery is the last remedy of medicine, not according to the intention which the vulgar and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not do that, unless it is absolutely true, for I have already proven and proven to you that this is not but in some bodies without the others, and cautery with it is good and better than with iron as they said; but when you perform cautery with fire with gold, it is not declared to you, for it is ignited according to the quantity that you want due to the redness of gold, and because it prepares to receive friction; and if you apply an igniter over it, gold melts by the fire, and some sheets fall into the fire so that the craftsman catches them due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, cautery with iron is done more lightly and closer to the rightness of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter on cautery according to chapters, and I have ordered those of the head among the feet, so that I may ask for what I want from him.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery of headache by coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to moisture and coldness above the servile accident of which there are two causes, it is the cause of soda and multitude of fluxes, called headache, from the parts of the temples and ears flowing, and multitude of sleeping, and toothache and of the jaw, and generally of all disease that comes by frigidity, as well as paralysis, stroke, and likeness in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this, that first of all you command the patient to be evacuated by laxative medicine, the head being washed clean, for three or four days according to the strength of the patient and his age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then let him lie between your knees on a low bench and let him lie on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the edge of your palm palm up to the point above the nose between the eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But however, when your middle finger's location is reached, signal that location with the tip of the thumb and then ignite the olive cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause it on the marked location, in such a way that it descends, and your hand be constrained little by little, and you revolve it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the location, and if you see that some quantity of the head is already uncovered, as well as the quantity of hair, then lift your hand again, and if it has not returned to its original location with that iron, with another one, if it is cool, enter until it is seen by you that which I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the location and let it be for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause on it cotton dipped in vinegar and let it be on it until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the location with four-part thuốc long into it has healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plaster is open, so many honeys are put in it, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that the jaw should be cauterized within the bone, and the cautery should be applied until some part of the substance of the bone is burnt.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape off what is burnt and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Others said that the cautery arrived at the end, passing through the strong bone while the bone collapsed, and this is the form of small alphecati.
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, the vapors of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And when there has been a wound open for a long time and it is cured while still unhealed,
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have never seen these two species of cautery in anyone, except some people according to the way of fear; and that person, for me, is better off healthy than ill, because the head is devastated by the solution of its continuity with it as we have testified in other members, and especially when the patient's head is of a foul nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is more safe and better for me; and that person uses it and works on that with health.
Capitol segon.	Chapter Second.
Del cauteri del cap.	Of the cautery of the head
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head there is chronic and long-lasting pain and this is prolonged in the patient, and he uses lances and cupping glasses and head purges and plasters and poultices and hot stones and bandages and similar things, and especially if he has already been cauterized by a cautery which did not help him for any of those causes, then consider that if the patient's head is of strong creation in its nature; and it is foul and finds great friction there, then cauterize it with another cautery under that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And if it is necessary to cauterize under the head and it benefits him another form of cautery by which the wound is held, then cauterize with a cautery on the crown of his head where the scalp is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The scalp is split and the amount we have measured is uncovered from the bone and that is cauterized with a cautery in the back part of the head at the place which is called a vein — and it is the place where the ventouse is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And put your hand on it, and do not uncover the bone, because the patient through that finds much more pain than from any other cautery of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery is in its place, because the cautery by which they cauterize the horns of the head and the occiput is more subtle cautery than that by which the middle part of the head is cauterized; and this is how it is done:
Capitol ters.	Chapter Third.
De cauterisacio de emigranea no-antiqua.	Of the cautery of non-ancient migration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a sudden pain is in the front of the head, or pain is stretched into the eye, the head must be evacuated by cleansing medicines, and other treatment must be administered, which I have written about in the beginnings of illnesses; and if all this does not help, cauterization of it is in two ways: either by acute burning medicine, or by iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But a cautery by burning medicine is that you take an onion, and cut it up and season the ends of it on both sides with salt.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then pierce the place of the pain in the temple with a pointed lance so that it penetrates under the scalp and is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then tighten it with a binding bandage so that it presses down strongly and leave it there for three hours; then remove the onion and treat the wound with ointment, and leave the wound for two or three days, then put your hand over the place while immersing it in warm water so that the place becomes swollen.
E aprop cura aquel am enguent entro que sia sanat.	Then cure it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want to do this with some other burning medicines which I have written about in the two tractates of burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterization by iron according to this way: heat up an iron cautery and this is how it is done:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called closed claw nail, because the head of it is like a nail with some curvature and in the middle part of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then put your hand over the place of the pain — so that the iron which is underneath is not burned — and move the iron little by little quickly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it which is burned by the thickness of the scalp is according to the size of it, and raise your hand so that the artery underneath is not burned which is underneath, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the wound in salty water and put it on the place for three days; then put a bandage moistened with wine on it and cure it with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want, cauterize with the tip of the scalpel according to cautery and beware of incision of artery in this non-ancient migration.
Capitol quart.	Chapter Fourth.
De cauterizacio d’emigranea antiqua.	Of the cautery of ancient migration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure migration with what we have said about the previous treatment and what we have said in the divisions of illnesses, and the treatment does not help, and you see that for the illness which is not sufficient to it what we have said about the first cautery by medicine or the cautery by fire, then wherever you ignite the cautery-scalpel so that it turns white, measure on the place of the pain a length of line of which the size of the finger is, or whichever, and put your hand aside for a while and tighten it so that you pierce the artery and it comes into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However it is necessary for you to guard against the continuance of the jaw, which is worn down because of mastication, and that the vein not be burned and the nerve which controls it, and that no spasm come upon it.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and caution of flow of blood from the artery which is split, because in its splitting there is danger, and especially to him who ignores what he does and is unskilled and inexperienced; and leave the operation at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come with remembrance of the regimen of accidental flow of blood from the artery according to its way in this free book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this illness does not help this cautery and you see the body of the patient tolerable, cauterize it in the middle part of the head as we have measured, and cure the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you want to administer the cautery which we have said in the chapter of stretching of the artery with cautery having two points, and this cautery is better and more certain.
Capitol .v.	Chapter Fifth.
