Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim .
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of lancing and piercing, and of leeches, and of plasters, and of extraction of thorns and similar to those, all headed and arranged in the forms of the tools.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and of dislocation, and of cure of torture and similar to those; a chapter arranged of the head into feet, and of the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and with acute medicine and remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will say the quality of the humors of that cautery and of the pains of it, and in what disposition cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then I say the word of the quality of the humor of cautery and of the pain of it is long and prolix and subtle by science, and secret hidden; and already of it many wise have spoken, and from it are disagreed, and to me suffices a little of the words of them, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cautery confers with all universal disposition, which is by matter or without matter, excepting two dispositions, which are cold dispositions without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry disposition with matter they disagreed; for some said that cautery is beneficial to it, and others said the contrary of that, that cautery is not convenient in disease which is by quality and by dryness, for the nature of fire is quality and dryness, and convenient is that disease cold and dry be healed by that which is cauted and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he said the contrary of that, that by cautery there is made humor in all disease cold and dry that one sees in the bodies of men, for when you compare the body of man and its humors to the disposition of fire, you rub the body of man dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that, that experiment that already to me many times have discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not advisable to venture into this field unless one is already experienced and practiced in the chapter on cauterization, and has knowledge of the variety of human complexions and the disposition of illnesses in their bodies, as well as the causes of these illnesses and their accidental effects, and the span of time during which they occur.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other complexions there is no cause for fear, especially in moist and humid illnesses; indeed all doctors agree that cauterization is beneficial in these cases, and they disagree about the use of cauterization only in certain cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing with fire cauterization and the goodness of it is that the fire is simple, its action affecting only the part being cauterized and causing little damage to other parts.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of a burning medicine extends to other parts, and it strongly brings on an illness difficult to cure in those parts; it also causes great pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its subtlety and the goodness of its substance, does not do this, but rather exceeds the limits of what is permissible; and it has been proven to us through experience and long study of the art that it is true in all cases, except for those who have not yet understood the secret of using fire, and the quality of its action in the body, and its expulsion of illnesses by philosophical reasoning. If this had not been so, I would not have spoken to you freely about the secret use of fire; nor would I have explained in detail the nature of its action in the body and the method of its use for removing illnesses through philosophical argument.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the best time to perform cauterization; and they pause during the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is appropriate at all times, because the accidental harm caused by the delay in treatment would be greater than the minor harm caused by performing it too soon; and especially if the cauterization is for painful or necessary illnesses, strong and violent ones, which do not tolerate delay because it is feared that they will become worse.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And fear not, children; only the common people and foolish doctors believe that for every illness treated with cauterization there is a specific time of year when it should be done; they pause and wait for that time to come around.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason for their belief is not as they think, because cauterization is not a medicine that alters the complexion and dries out the humors which cause pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cauterization is superior to medicine because of the swiftness of its action and the strength of its effect, and the grandeur of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness will return at some time, depending on the complexion of the patient and the location of the illness, and the nature of the cauterization, and what has been prepared in the body through an excess of humors, and what has been acquired through food and similar causes; but if the illness for which the cauterization was performed was a subtle one in a part of the body with few excess humors and moisture, as in a toothache and similar cases, then it is possible that the pain will not return, although this may happen in a small way.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common people say that cauterization is the last resort of medicine; and they are right to say so, not because they understand it, but because they believe that there is no cure that benefits from medicine or any other cause except cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the reason for this is the opposite; and the belief that cauterization is the last resort of medicine arises when people administer treatments for certain illnesses, but the medicines they use do not work, and so at the end they administer cauterization, which benefits the patient.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And so it comes about that cauterization is regarded as the last resort of medicine, not according to the understanding of the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than cauterization with iron; and they did not say this because of the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the material used for cauterization makes no difference, which is not absolutely true, for I have seen that it does make a difference in some bodies, and cauterization with gold is better than with iron as they say; but when you perform cauterization with fire using gold, it is not declared to you because the strength of the fire depends on the amount of gold used, and because the gold prepares itself to receive the heat; and if the fire is applied to the gold, some laminae are formed which the artisan can see.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And so cauterization with iron must be done more gently and more carefully to maintain the correctness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cauterization according to chapters, and I have ordered that the feet be treated first, so listen now to what I will say about it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization for headache pain caused by cold and moisture:
Le capitol primier.	The first chapter:
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers moisture and coldness to the nervous system, of which there are two causes; it is a cause of swelling and many rheumatic pains, called "corissa", in the parts of the head and around the ears, and many other pains, including toothache and jaw pain, and generally any illness caused by cold, such as paralysis, stroke, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The procedure for this cauterization is as follows: first, the patient's head should be cleansed with a laxative head poultice for three or four days, depending on the strength of the patient and their age and condition.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then he should have his head shaved with a razor, and then he should lie down on his back on a warm bed with his feet raised above his head.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then pause the palm of your hand over the bridge of his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, if the place where your finger points has become affected, mark that place with a tent and then ignite the cauterization olive; this is its form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then hold that over the marked place in such a way that it descends, and your hand should be pressed gently against it little by little as you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand gently and examine the place; if you see some of the head has been exposed, as much as the amount of bone that was discovered, then lift your hand again, and if it does not return to you with the iron, but with another one, if it is cold, between the time it was exposed to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a little salt and dissolve it over the place for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then hold a cloth soaked in vinegar over it, and let that remain on it until the scale formed by the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then heal the place with the four-part salve after it has healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And so they say that when Roman plaster is applied wet, it is better and more effective.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the bone should be cauterized within the ear, and the cauterization should be applied where some part of the skull has been removed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then it is to be washed with vinegar until the blood stops flowing, and then healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cauterization should come to the end, where the bone is broken, and that it should pierce the skull until it hits the bone; this is the form of cauterization when there is a small wound:
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place vapors are exhaled towards the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	If the wound is open for a long time, it should be healed by cauterization until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two species of cautery at all, except in some men according to a way of fear; and leaving that aside, it is better for health, as it is, because the head is devitalized due to the solution of continuity of it as we have testified in other members, and especially when the patient's head is of a phlegmatic nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the species of cautery is more safe and better for me, and from that use and by that action health is achieved.
Capitol segon.	Chapter According.
Del cauteri del cap.	Of cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head there occurs chronic and long-lasting pain and this is prolonged in the patient, and he uses garlic and onions and caputalgar and poultices and plasters and bandages and hot stones and woolen pads and similar things, and especially if he has already been cauterized with a cautery which we have recounted and does not benefit from any of those causes, then consider that if the patient's head is of strong creation in its nature and is phlegmatic and finds great heat, then cauterize him with another cautery beneath that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that on the horn of his head so that the membrane is cut.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The membrane being cut and the quantity which we have recounted having been discovered and cauterized with a cautery in the part behind the head in the place which is called a foramen — and that is the place in which the windpipe is paused —
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand on it and do not uncover the bone because the patient will feel great pain from that unlike the pain of all the other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will tell you about this cautery in its place because the cautery with which the horns of the head and the occipital are cauterized is a more subtle cautery than that with which the middle part of the head is cauterized; and this is the way to do it.
Capitol ters.	Chapter Third.
De cauterisacio de emigranea no-antiqua.	Of cauterization for new non-ancient hemorrhoids.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a sudden pain occurs in the front of the head or a spreading pain enters the eye, evacuate the head with purging medicines and administer the other cure which I have described in the reasons for diseases; and if all does not help then cauterization should be done in two ways: either cauterization with an acute burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterization with a burning medicine is that you take an alder twig and scorch it and smear the ends of it on both sides of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place of pain in the temple with a pointed lance so that it penetrates into the hole beneath the membrane and is concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then press tightly on it with a bandage and leave that for three hours; then remove the alder and treat it with water and let the wound heal in two or three days, and place your hand over it while immersing it in hot water so that the spot makes blisters.
E aprop cura aquel am enguent entro que sia sanat.	Then cure that with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want to do this with some burning medicines which I have written about in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterization with iron should be done according to this manner: heat up an iron cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a closed nail because its head is shaped like a nail with some curve and in the middle part of it there is a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the site of pain and hold your hand there — so that the cautery underneath is not burned  — and move the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of it that is burned by the thickness of the membrane just like its size and raise your hand so that the artery underneath is not burned so that there is no blood flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then soak a cloth in salty water and place that on the spot and let it be for three days; then place a damp cloth with hot water on it and cure it with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want, cauterize with the point of the scalpel according to cautery, and beware of incision into the artery in this new non-ancient hemorrhoid.
Capitol quart.	Chapter Fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization for ancient hemorrhoids.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure hemorrhoids with what we have said about the preceding cure and what we have said in the divisions of diseases, and the cure does not help, and you see by the disease that it is insufficient for it what we have said about the first cauterization with medicine or with fire, then if you ignite the cutellar cautery so that it turns white, mark on the site of pain with a line whose length is equal to its size or almost, and place your hand on one side and press tightly while you pierce the artery and let it flow into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However it is necessary for you to guard against the continuance of the mandible which is gnawed due to chewing and that the ligament not be burned and the nerve which moves that, and that no spasm occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and care of flow of blood from the artery that is cut, for there is danger in cutting it and especially to one who ignores what he does and is unskilled and inexperienced; let the operation be done at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will remind you of the regimen for flow of blood accidentally from the artery according to its way in your own book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this disease that does not yield to this cautery and the patient's body tolerates it, cauterize him in the middle part of the head as we have recounted, and cure the wound so that it is healed.
