Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Bucasi .
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cutting and perforating, and of vacuums, and of plagues, and of extraction of arrows and similar to those, completely ordered and arranged according to the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and cure of torメントo and similar to those; chapter ordered in heads within the feet, and of the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cauterizing and acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	In that way begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That I say the quality of the movements of that cauterizing and of the elements of it, and in which combination is prohibited cauterizing.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the speech of the quality of the movement of cauterizing and of the element of it is long and prolix, and subtle by science, and hidden. And already from him to speak a great many of wisdoms, and disagree with them, and enough for me a little of their speeches, in fear of lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterizing confers on all universal combination, which is of one matter or another, except two combinations, which are combination of the tail of the first matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of the tail and the dry matter will disagree; for some say that cauterizing is helpful to it, and others say the opposite, that cauterizing is not convenient in a disease which is by quality and by dryness, because the nature of fire is quality and dryness, and is not convenient that the dry and the tail are cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he says that who says the opposite, that by cauterizing is cured in all dry and tail disease which comes to the bodies of men, for when you compare the bodies of men with the moisture of them to the combination of fire, it strikes out the bodies of men as if they were dried.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that, which has experienced here at some times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Now therefore I have learned that such a person does not come on this one who is already exhausted and exercised in the chapter of cauterization by the latter exercise, and has known the diversity of the constitution of men and the disposition of the diseases in their metheguses, and the causes of those, and the accidents of them, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complexions, however, you have nothing to fear, and most certainly in wet and hot diseases, for all the doctors are agreed on those, and are not disagreeing in the cauterization of them at the beginning.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of cure by cauterization with fire and of the goodness of it, is that the fire is simple, the action of which does not reach except to the member which is cauterized and does not hurt the other member to which it is applied except with a little injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of burning medicine reaches to that in the member which is blistered, and strongly brings about the coming of the disease in the member which is difficult to cure, and strongly annoys it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The fire, for its sublety and for the goodness of its substance, does not do harm except that it is superfluous; And I am already acquainted with it by experience and by long service in studying the art on the truth of causes; and by this fire, and the quality of the operation of it in the bodies and their expansion through which they expel the diseases, demonstrated by philosophical argument, which would be more acute in your ears if I did not restrain myself from speaking for fear of being too long.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree as to the time when it is convenient to make cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the injury by the time of accident is immersed in the joy of him who has the cauterization imposed on him, and more so if the cauterization is for pains or necessary pains, which do not suffer delay, since those which come with malice, which are greater than a little injury, enter by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And therefore do not be taken in by popular opinion or foolish physicians; for it is that those who are cured by cauterization are not recovered every time, and pause at the consequence of that.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not to be feared then as it is believed by some people because cauterization is only a place of medicine which alters the constitution and dries up the humors which are the cause for which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But therefore, excessive cauterization over medicine because of the want of its virtue and the goodness of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the disease return at any time of the year, according to the constitution of the patient and the location of his disease, and the virtue of it; and because it is prepared in his body by the addition of the superfluities in it, and because it has been brought to him in its acquisition with food and things resembling those causes; but if the disease to which cauterization was applied is a subtle one in some member of few superfluities and humors, then, when cauterized for pain and similar to that, it may be possible that in his body it does not return that pain, but comes elsewhere.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And yet a popular saying is that cauterization is the last remedy of medicine, and one which is applied to those who understand it not, for I believe that it is no cure which profited from medicine or from any other cause by applying cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that cauterization is the last resort of medicine when we apply cure-all methods in some diseases, and those medicines do not benefit them, but at the end of the cause we administer fire to him, and it profited to that one.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And therefore I understand that cauterization is the last resort of medicine, not according to the saying which is understood by the popular opinion and the foolish physicians.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that fire applied to gold is better than fire applied to iron, and do not say this except for the equaling of the gold and the sublety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not cause blisters, and do not say this except for the equaling of gold and its sublety; for I have seen and touched it so that it is not absolutely virtuous, because you are making fire burn gold, and it is not known to you whether you will make it brash or not, for it has been prepared to receive it. And if you apply fire to burn iron thus, it does not show you; but if you apply fire to burn gold, it turns it into ashes, and the artisan who works with it does not know whether he is going to blister or no, for he prepares himself to receive him.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore fire applied to iron should be done with care and in a forward manner on the right side of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have arranged this chapter on cauterization according to the other chapters, and I have arranged those within it in order, so that they may answer your questions about them.
De cauteri de dolor de cap per frigiditat e humiditat.	About cauterization for head pain by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to the cold and moisture on the service accident of which there are two causes, so it is a cause of soda and many fluxes of rheumatic fever, called rhumatism, from the head to the joints of the limbs and ears flowing, and many sleeping, and toothache and the gurgle, and generally all diseases that come through cold; also, by a similar way in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The shape of this cauterization is as follows: that first you command the patient to be evacuated by a lacative medicine, with the head uncovered, for three or four nights, according to whether you require the virtue of the patient and his age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head, and then make him sit between your legs on a bench and place his hands on your feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the edge of your hand near the edge of his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But therefore, when the patient has spoken of his place, mark that place with a test; and then apply fire to it, and this is the form of it:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then make him sit on that spot with his feet bent, in such a way that his feet are forced to move from one side to the other; and you turn him.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand slightly and look at the spot; and if you see any quantity of hair fall from the head, or if it is cold to touch, then lower your hand again, and if it does not feel hot, turn him on another side; and if it does not feel warm, until he has felt the heat.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the spot and let it sit there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then make him sit in a covered place facing the wind, and let that sit there until the fire is extinguished.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the spot with a fourfold medicinal unguent until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as much as the plague of Rome raged, so many were blistered, and it is better and more refreshing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that it should be cauterized on the bone, and the cauterization should be done until the part of the bone is dried up.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let this hair be cut that it ader to the bone; and let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that I should bring the cautery to the back, so that it enters strongly into the bone, and this is the form of an epizootic little boy:
E estiman de aquel loc expiran la vapors del cap.	And they estimate from that place the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let this wound be held open for a long time, and let it be cured before it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But neither of these two kinds of cauterization has been seen by me in all of my experience; but the third, that of burning with fire, is more suitable to the head than any other, since it can be used without stopping until the wound is healed completely; and this is true of every part of the body, especially when the skin has split.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the kind of cauterization first is more saved and better I know; and from that house, and work, I know salvation.
Capitol segon.	Capitolo Second.
Del cauteri del cap.	Of the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head occurs a chronic and long pain, and water is present in the patient's head, and uses of irons and of caltks and of capipurges and of emblasters and of gualinas and of semblantz, and mainly if it has already been cauterized with one kind of cautery that they tell you and do not profit from another, consider that since the head of the patient is of a strong creation in its nature; and is not pleasant and causes great pain, then cauterize it with another kind of cautery that has not been used yet.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And let this one be cauterized on the corner of his head with a cautery, so that the cord is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	And let the cord be incised and uncovered from the bone the quantity that we have told you, and cauterize it with a cautery at the back of the head in the place which is called the vas, -- and this is the place where the wind blows.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And I will be pleased with it in this way, and do not uncover the bone, for by water the head suffers a great deal of pain different from the pain of all the other types of cauterization of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And this cauterization in its place, since when the cauterization is made with one kind of cautery on the corners of the head and on the occiput, it is less painful than when cauterized with another kind of cautery on the middle part of the head; and this is the form of it.
Capitol ters.	Chapter Three.
De cauterisacio de emigranea no-antiqua.	Of cauterization of the emigre (not ancient).
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain at the back of the head is hard, or is present in the feet, let the head be washed with medicine, and let another cure be administered, which I have said before in the cases of diseases; and if it does not profit from it, cauterize it with a sharp instrument, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Better to cauterize with medicine that you take a dolce of gold, and scrub it and burn the extremities of it from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And let the place where the pain is located be incised on the temple with a sharp knife, so that it is in its cavity; and let the cord be covered.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And let this be held down on it with a strong pressure for three hours; and then take the medicine away from it, and keep the wound open for two or three days, and let this be done to the skin over the place where the pain is located; and so let it be treated after a while.
E aprop cura aquel am enguent entro que sia sanat.	And let that one be cured with ointment so that it may heal.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you have them, take some of the medicines that I wrote in the two treatises about burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Better the cauterization with iron according to this way:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a little peg, since the head is thus shaped like a peg; and in its middle part there is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And let this be done to the place of the pain; and hold your hand so that it does not become dislocated the little peg which is left; and rotate the little iron rapidly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood that is exhausted by the cord is so much as to make most of it leave the body; and raise your hand so that the artery which is left does not become dislocated, so that no flow of blood occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And let the wound be bathed in salt water and let this be done to the place, and keep it open for three days; and then let the skin be dried with a towel, and let that one be cured with ointment so that it may heal.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see it, cauterize it at the end of the knife according to the second kind of cauterization; and be careful not to make an incision of the artery in this emigrant (not ancient) head.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	Of cauterization of the ancient emigrant.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an emigrant with the cure that I have said before, and with the cure that I have said in the divisions of diseases, and if it does not profit from the cure, and sometimes for the disease that does not respond to the cure that I have said before, either with medicine or fire; then consider that you ignite the cauterization with a knife so that it is bleached, since this means over the place of the pain in a line of length corresponding to most of it, or less than that; and hold your hand so that it does not become dislocated the little peg which is left, and rotate the little iron rapidly.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary to you that you keep from the continuation of the jaw, which is moved by the chewing, and that the larynx does not become dislocated and the nerves which move it, and that it does not become paralyzed with a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the preservation and caution of the flow of blood from the artery which is cut off, since in the cutting of it there is a danger, and mainly at that one which does not know what it is doing; and let the operation be carried out with iron at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come to the memory of the accident of the flow of blood from the artery according to your way, in your place of freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this disease does not respond to this kind of cure, and if the wound of the patient is tolerable; then cauterize it in its middle part according to what I have told you, and treat the wound with ointment so that it may heal.
