Ayssi comensan las paraulas de Albucasim .	Thus begins Albucasis' words.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he took off the bandage according to his desires, and then he prayed, and then he left it off by some days and commanded that we take off the joint; and so came within that the crotch and the foot hole sore, and came into destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called away to it, and I prepared myself to take off the bandage, and I got quiet and peaceful relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was confirmed in the member, so that I could not restrain it, and did not walk because of the corruption in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous sore, and became ulcerated by some days, so that the evil of it spread out to his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For the cause is because the cold cautery is pure of melancholic humors, therefore it seems that it does not cover to him in all ways, but it is a member which you suffer that of all ways it is host.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary to you that the operation to the hand be divided into two operations: if it is an operation which is associated with health, and work in which there is danger in most dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already established this book here in all places of that treatise in which there is an operation in which it is error and fear; for it seems necessary to you that you guard this one and let those go, so that the pages do not prevent your speaking and displease you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with diligence and with protection of God, and your evils with help and with steadfastness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God, so that you obtain health and praiseworthy succession, and leave behind you terrible evils of difficult healing, and retain your weapons from here that you are afraid; for it seems remaining to your glory, and later in the world and after your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia has said in some of his instructions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not make bad surgery, so that bad sutures do not go."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter begins with the head, in the forms of instruments and tools of cauterization, and from that which is necessary in the operation.
La divisio de la segonda partida.	Begin the division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter begins with a comparison between operations on the hand and those on the foot, and in causes and dispositions which you must prevent and avoid.
Divisio de la tersa partida.	Begin the division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The final chapter, which is the fifth, is about the extraction of arteries and general surgery; and from that which is necessary that the operation be divided into two parts.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cauterization and acute medicine and recurrence of the operation.
Am aquel comensa le tractat de tot le libre.	In that way begins the treatise of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It seems that I say the quality of the springs of cauterization and the knowledge of noxious things, and in what way it is forbidden to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then I say that the speech of the quality of the spring of cauterization and the knowledge of noxious things is long and prolix, and subtle by science, and hidden; and already he has talked of a great many of these wise men, and they disagree with each other, and for me it is enough of a small part of their speeches, in fear of lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization confers on the whole complex of things universally the same quality, except for two complexes, which are complex things of different qualities.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex of tail and dry things there is disagreement; for some say that cauterization is helpful to this, and others say that it is contrary to it, which cauterization is not convenient in a tail and dry disease of quality and dryness, since the nature of fire is quality and dryness, and it is not suitable that such a disease be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says that the opposite of this is true, that it rejuvenates all maladies of the body and dryness that occurs in the bodies of men, for when you compare the bodies of men with the moisture of fire, you find that the bodies of men are parched.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I tell by the words of him, who has already experienced this several times and discovered it.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But moreover I do not know that this comes about on him who has already been exhausted and exercised in the chapter of cauterization by subsequent exercise, and has recognized the diversity of the complexions of men and the causes of those maladies, and the accidents of their own, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in the other complexions, there is no fear on you, and more in the wet and sore diseases, for all doctors have agreed about those, and they are not agreed as to the rejuvenation by cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of cure by fire cauterization and of the goodness of it, is about fire being simple, the action of which does not reach but to the member that is cauterized, and does not hurt the other member with the medicine applied until there is a small damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of the burning medicine reaches to that in the members which makes him bleed, and it is very strong to bring about the member with difficult cure and very strong to hear.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, for its smallness and the goodness of its substance, does not do this, but makes it superfluous; and it is already known to us by experience and by the long service of study on the truth of causes; and by this I am absolved from the length of speech; And if it were not that it is not legible at my free hand in this pause to you secret-keeping with fire, and the quality of the operation of it in the bodies and of its expulsion through which are expelled the diseases, in philosophical demonstrative speech, which would serve well in your ears.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is convenient to make cauterization and pause; the best time is in early spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the damage by time's accident is submerged in the rejuvenation of him who undergoes cauterization; and more so if the cauterization is for pains or necessary pains, which do not suffer from delay because it is feared that those which come about are worse than small injury caused by fire entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus, in your cases, or children, this is not held but by the common people and foolish doctors; therefore, for that disease which is cured by cauterization, it is convenient to pause at all times, and do so for the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good in such a way that they guard against it by fire; for cauterization is only a place of medicine which alters the complexions and dries up the moisture which is the cause from which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But, moreover, cauterization in excess over medicine by the virtue of its usefulness and the worth of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease in which it has been given cauterization returns at any hour of time, according to the complexion of the disease and the location of the disease, and the virtue of it; and that which is prepared in his bodies by the addition of the superfluities in them, and that which is received into him by the acquisition in food and semblant things of those causes; but if the disease in which cauterization has been given is a subtle one in a member of few superfluities and moisture, then, when it has been given cauterization for toothache and similar to it, it is possible that, in his body, it does not return that pain, but remains there.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And moreover, common speech is that cauterization is the last remedy of medicine, and it is a quick speech not suited to him who understands it, for they think that it is no cure which adds benefit by medicine or any other cause; but that cauterization is suited to him.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and the intention that cauterization is the last remedy of medicine is only when we administer the ways of cure in certain diseases, and those medicines do not benefit, and appropriately at the end of the disease give him cauterization, and add it to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here I will explain why cauterization is the last remedy of medicine, not according to the intention which the common people and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that fire cauterization for gold is better than fire cauterization for iron; and do not say this except for the equality of gold and the smallness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not make it break, for when it is absolutely true, for I have seen fire prove and turn away that which does not make it break; but when you give cauterization by fire on gold, it is not known to you, for it is according to the quantity which you wish to make strong because of the roughness of gold, and because it prepares itself to receive; and if you put over it fire, then gold goes into the fire, and the metal-worker uses his hand as he wishes for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And by this is made cauterization on iron, we must place it with care and correctly to the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter on cauterization according to the other chapters, and I have ordered those of the following chapters within the chapters, so that I answer the question which asks it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauterization for headache by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on moisture and cold the second accident of which there are two causes, so it is a cause of soda and many types of flux from blood, that flows from the head to the parts of hair and ears; and many types of sleep, and pain of teeth and throat, and generally of all diseases that come by cold; as, if it makes one paralytic, or sickly, and apoplexial, and similar in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is that, first of all, you order to the patient who is evacuated by lacative medicine the head in a cap, for three or four nights, according to whether you require the virtue of the medicine, and the age and custom of him; then you give a small amount of it.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head, and then place the razor between your two palms on a bench that is levelled; and place his hands over the sides of his skull.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor from your palm placed on the edge of the razor between the side of his nose and his hairline.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But, moreover, when the boy says about his place it has come, he marks that place with a trial, and then he gives cauterization by olive oil; for this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place him on that place by trial, in such a way that it sinks little by little, and you turn him around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the place, and if you see any quantity of hair from the skull, then, as much grain of sand as needed to fill that space, raise your hand; and if it does not go up by fire, but another from it, if it is cold, until it is visible hair from the bone which I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve him on that place and leave him there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place over the cut in border and leave that inside which is destroyed the staircase of fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the area with a fourfold bitter medicine so that it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And also they say that when the plague of Rome opens, so much honey is obtained from it, that it is better and more healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they also say that the joint should be cauterized inside the bone, and that cauterization inside should be had so that some part of the flesh of the bone is scorched.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then let water be poured which is close to the bone, and then let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cauterization should reach the back, inside that it presses strongly against the bone, and this is the way of small animal:
E estiman de aquel loc expiran la vapors del cap.	They estimate that the vapors of the head are exhaled from that location.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the opened plague be held for a long time, and then let it be cured inside so that it is hardened.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	More to me these two species of cauterization do not seem to me, but in some people according to the way of fear; and leave that, certainly, better is it for salvation, when it is; because the head is a division by solution of continuity of its own as we have testified in the other members, and more so when the head of the patient is of a fiery nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterization is more saved and better to me; and from that one use I do this work for salvation.
Capitol segon.	I capitulate second.
Del cauteri del cap.	Of the head's cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head happens chronic and long pain and water is present in the patient for a long time, and it uses fire and knives and plasters and ointments and oils and similar things, and most if it has already been cauterized with another cautery which they tell and do not profit from any of those causes, then consider that since the head of the patient is of a strong creation in its nature; and it is not pleasant or causes much pain, then let that be cauterized with another cautery which leaves that a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that over the corner of his head with another cautery inside so that the joint is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	And incise the joint and uncover it from the bone the quantity which we have counted and then cauterize that with a cautery in the back of the head at the location which is called "vase", — and this is the location where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And he thanks you in such a way, and does not uncover the bone, because by water the head suffers great pain which is different from the pain of all the other head's cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you direct this cauterization in its location, because when the cauterization with which the corners of the head are cauterized is softer than the cauterization with which the back of the head is cauterized, and this is the way of it.
Capitol ters.	I capitulate third.
De cauterisacio de emigranea no-antiqua.	Of cauterization of a migraine not ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When it hurts hard in the back of the head, or is swollen pain within the ear, let the head be evacuated by medicines which I have spoken about in the diseases of the head; and if it does not benefit from it, then cauterize it with two methods: or cauterization with burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	More cauterization with burning medicine is that you take a glass of wine, and pour it out and rub the ends of both hands.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incision on the location of the pain with a needle inside so that it is inside its location, and let the joint be uncovered.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then press down on it with a strong constriction, and leave it in this state for three hours; and then after that pour wine out, and let the plague be held for two or three days, and then place over the cut in border, inside which it is healing.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with cold water so that it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you see this, bring some of the burning medicines which I have written in the two treatises about burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	More cauterization with iron according to this method: burn it so that this is its form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a small ring, because the head's shape is like this in its form of a small ring, and in the middle place of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place over the location of the pain, and return your hand - so that the iron is not taken away from that which is left - and turn the small iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of that which is taken away by the side of the joint is so much that the majority of it, and return your hand so that the artery is not taken away from that which is left, so that there does not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then incision on the cut in salt water and place that over the location, and leave it for three days; and then incision on the cut in border, and then cure that with cold water so that it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see this, cauterize at the end of the knife according to cauterization, and keep yourself from incision of the artery in this migraine not ancient.
Capitol quart.	I capitulate fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization of a not-ancient migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure a migraine with water which I have spoken about in the previous cure, and with water which I have spoken about in the division of diseases, and if it does not benefit from the cure, and sometimes by the disease for which is not sufficient the water which I have spoken about in the first cure with medicine or with fire, then consider that you ignite the cauterization with the knife within so that it whiten, more because it means over the location of the pain with a line of length from which its majority is, or that; and leave your hand for a moment and then press down on it within so that the artery does not escape, and then turn the small iron little by little with speed.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary to you that you guard the continuity of the jaw which is more desired for chewing, and that the tongue does not escape and the nerve which hurts him, and that it does not become spasmatic.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is over the guard and caution of blood flow from the artery which is cut, because in the cutting of it is fear, and more to that one does not know water which goes and does not work; and then let the operation be done.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And he comes with a recollection of the incident of blood flow from the iron according to its method, and in its location of freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if this disease does not benefit from this cure and does not tolerate the cutting of the patient' head, then let that be cauterized in its middle place of the head which we have counted, and then heal the plague within so that it is healed.
