Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqadi's discourse.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he took off the bandage according to his desires, and he prayed, and he removed the dressing by a few days, and commanded that we take off the ligament; and so, as it is, within that the wound and the foot were broken, and it came to harm.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called me to remove the bandage, and I prepared myself to take off the dressing, and so did I get peace and ease of their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was confirmed in the member, so I could not restrain that one, and did not walk because the corruption of the member was dangerous to the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous pustule, and it turned to an ulcer near some days, within that the maliciousness of it increased with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For the cause is because the cold cautery is pure of melancholic humor, therefore it does not cover that it comes to him with iron of anything, but that it is a member which suffers everything from it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary to you that the operation of hand be divided into two operations: one in which the surgery is associated with life, and an action through which there is danger in its greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already found this book in all places where the operation of hand is done, and not in any place where it is wrong or frightening; therefore it is necessary to you that you keep it shut and look at it, so that its pages do not prevent me from speaking and disturbing you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons in solicitude and protection of God, and your malignities in kindness and fastness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God in order to achieve salvation and admirable succession, and leave behind your terrible malignities of difficult recovery, and retain your weapons from here that you do not fear them, so that it remains to your glory, and first of all in the world and after your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	I already say in some of your monitions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a bad disease, so that you do not have to deal with bad doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book and the first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered from the head, in the forms of instruments and tools of cautery, and from that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of sawing and piercing, and of vacuums, and of sucking up water, and of similar things to those, completely written and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter continues the division of the head: and the first of the fourth part; and you begin with the causes of illnesses by the same persons, and that it is not necessary to speak of the cause of illness; "the cure is escape". And therefore I say that I could not speak of the cause of the head in its part, but only of the cure for it.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery by fire and by sharp medicine and recall of the operation.
Am aquel comensa le tractat de tot le libre.	And there begins the discourse of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	For I say that the quality of the movements of that cautery and the noise of it, and in what combination they should not be used; and here begins the discussion of all the book.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then I say that the speech of the quality of cauterization and its harm is long and prolix, subtil for science, and secretly hidden; and from it many wise men have spoken, and they have disagreed with each other, and to me it is enough a little of their sermons, fearing lengthening.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And I say that cauterization confers on the entire universal body, which is matter or substance, except for two complexes, which are complex of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex of tail and dry matter will be separated; for some say that cauterization is beneficial to that, and others say the contrary of that, that cauterization is not convenient in a disease that is by nature and by dryness, for the nature of fire is quality and dryness, and it is not convenient that this complex of tail and dry matter that is wet and dry should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the contrary of that, that by cauterization is made health in all disease that is tail and dry that comes to the bodies of men, for when you compare the bodies of men with the wetness of fire, you find the body of man frizzed.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that one, that experience has already discovered to me a few times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however it does not cover that which has already been discovered and exercised in the chapter of cauterization through latter exercise, and knows the diversity of the bodies of men and the disposition of their diseases in different ways, and the causes of those, and the accidents of them, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in the other complexes, it is not over you fear, and more in the disease that are hot and wet, for all doctors have agreed on those, and they have not disagreed in the healing by cauterization in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of cure by fire cauterization and of its goodness, it is about cauterization with medicine burning, for the fire is simple, the application of which does not reach but to the member that is cauterized and does not harm the other member by the applied medicine, only a little damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the application of burning medicine reaches to that in the members who does not burn, and strongly brings about healing in the difficult-to-heal member and strongly hears it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its subtlety and its substance's goodness, does not make the water flow but rather makes it overflow; And I have already known by experience and by the length of service in studying about the truth of causes; and by this water I am absolved from the length of speech because it is not understood in this pause to you hidden about fire, and the quality of the operation in the bodies and the expulsion of them through which are expelled diseases, with a philosophical speech, which would be clear in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is convenient to make cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is convenient at any time, so that the harm of the time's accident is submerged in the healing of water that cauterization draws it out, and more so if cauterization is for painful or necessary pains, strongly and quickly, those who do not suffer delay because those that come about harm are greater than a little damage coming by the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus do not make it in your times, or children, water is not considered but the common people and foolish doctors, so that to that disease that is healed by cauterization is not convenient at all time, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good as those who think by water, for cauterization is not but a place of medicine that alters the composition and dries up the humidity which is the cause from which come pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But, however, cauterization that is redundant over medicine by the will of its value and virtue of its operation and greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease return at any time of the day, according to the composition of the patient and the location of his disease, and virtue of it; and water that is prepared in the bodies of them by the addition of redundancies in it, and water that has come to them in their consumption of food and similar things of those causes; but if the disease for which cauterization is administered is a subtle disease in one member with few redundancies and humidities, then cauterization of a tooth for pain and similar to that, it is possible that in it does not return that pain, but it comes by little.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But common speech is that cauterization is the last medicine, and it is a violent speech, not to water that they understand it, for I believe that it is not a cure which profit from medicine or from any other cause; cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is opposite to that; and I say that cauterization is the last resort of medicine when we administer the methods of healing in some diseases, and those medicines do not benefit us, and then, at the end of the cause, we administer cauterization to it, and profit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then from here I say that cauterization is the last resort of medicine, not according to the speech which I understand from the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that gold cauterization is better than iron cauterization, and they do not say this water but for the equality of gold and its subtlety.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not burn, when water is absolutely vertue, for I have seen water burning and being burned by that which is not, but in some bodies is greater than others, and cauterization with fire is good and better than iron; but when you make cauterization with fire of gold, it is not known to you, because it is prepared to receive the heat, and if you place over it ignorance it will burn the gold by the fire, and case in the fire some blades so that the artisan sees for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for water it is made cauterization with iron very gently and then more gently to the rectitude of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in cauterization according to other chapters, and I have ordered those of the within times, so that it answers your asking water that wants it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauterization for headache by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on humidity and cold about the accidental injury of which are two causes, so it is a cause of soda and many fluxes of rheumatics, called cursors, from the head to the parts of the neck and ears flowing, and many sleeping, and toothache and gualdiro, and generally of any disease that comes through coldness, thus also with paralysis, and sodo and apoplexio, and similar to those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: that you first command the patient who is evacuated by medicine that takes away the head, for three or four nights, according to whether you demand the virtue of the disease and the age of it and its custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head with a razor, and then he will make points between your hands on a bench and place his hands on the feet of his master.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the shave of your palm on the edge of the razor over the edge of the nose between the master's ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Now, however, when the patient has been placed in position, mark the spot with the tip of your finger, and then heat the pointed cautery as follows:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then place that above the spot where the mark has been made, so that it descends, in a manner so that the patient's hand is gradually tightened, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then remove your hand slightly and look at the spot, and if any part of the bone is visible, then raise your hand again, and if it has become cold, then do so with another tip, until you can no longer see the bone through it.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a little salt and dissolve that on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place over the affected area in the wound and leave it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then heal the spot with the four-part ointment so that it is cured.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the plague of Rome opened up, the more it was watered with milk, so that it is better and more refreshing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that the caustic should be applied to the bone, and that the cautery should burn part of the surface of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then let water be applied which is hot from the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach the back of the bone, so that it pushes it forward with great effort within the bone, and this is how it is applied:
E estiman de aquel loc expiran la vapors del cap.	They recommend that the vapors of the head be inhaled from that spot.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be kept open for a long time, and then heal it when it is healed over.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	However, I do not see these two kinds of cauterization as necessary, but rather, in certain cases for fear; and let that be done, indeed, if it is good for us, because the head becomes detached by a solution of continuity from the rest of the body, and even more so when the head of the patient is naturally detached.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cauterization is better saved and more useful to me, and from that one I will make a work to save it.
Capitol segon.	Capitol Second.
Del cauteri del cap.	Of the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head chronic and long pain occurs, which persists for a long time in the patient, and uses iron, copper, lead, plaster, salt, castor oil, oil of poppy, and other things, and especially if it has been cauterized with another type of cautery that they describe and do not use, consider that since the head is of strong creation in its nature; and it is not pleasant and causes a great pain, then cauterize it with another type of cautery that they have just described.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that on the tip of his head with the cautery so that the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Then cut the bone and reveal the amount that we have described and cauterize it with another tip at the back of the head in the place called vase, — which is the place where wind is breathed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand move in this way, and do not reveal the bone, because by water the patient experiences great pain that is different from the pain of all the other types of head cauterization.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I direct this type of cauterization to its place, for since the cautery with which the tips of the head and the occiput are cauterized is subtler than that with which the middle part of the head is cauterized; this is the way to do it.
Capitol ters.	Capitol Third.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of the empathic.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a hard pain occurs at the back of the head or a pain within the ear, have the patient remove his head and administer another type of treatment, which I have described in the various diseases; and if it does not respond, then cauterize with two methods: either with burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Then cauterize with burning medicine, which you take in a little glass of ale, and burn it by scraping the ends of the arms with both hands.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the spot where the pain is in the temple with a blade, so that the bone is not revealed, but leave a small space there, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then put a strong pressure on it with descent constriction, and leave it there for three hours; then remove the blade, and leave the wound open for two or three days, and then place over the affected area in the wound, so that it is not dry.
E aprop cura aquel am enguent entro que sia sanat.	Then heal that with ointment so that it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, take some of the burning medicines I have written down in the two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Then cauterize with iron according to this method: heat it so that the tip of the iron becomes red, and then place it on the affected area.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and is called a small claw, since the head has this form of a claw in which there is a curve, and in the middle part of it is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place over the spot where the pain is, and keep your hand away so that the iron is not heated, and turn the iron slowly with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is drawn by the surface of the bone is about half of what it usually is, then raise your hand so that the artery is not drawn, so that the flow does not go out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the blade in salt water and place it on the spot, and leave it there for three days; then dip a small blade in the margin, and heal that with ointment so that it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize with the tip of the knife according to cauterization, and be careful not to cut into an artery in this type of empathic disease.
Capitol quart.	Capitol Fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization of ancient empathic.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat empathic with water that we have described in the previous treatment, and with water that we have described in the various diseases of the head; and if the treatment does not respond, and sometimes by the head itself, which does not respond to the treatment, or only to a small part of it; then place the cut-off blade on the spot where the pain is, and make a line with the tip of the knife so that it is white, because this indicates the place where the pain has gone; then pause your hand for a moment, and then heat the iron so that it is red, and place it on the affected area.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must be careful that the Mandible does not continue to move, which disturbs the chewing, and that the tongue is not drawn out and the nerves are not affected, and do not make a spasmodic movement.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if you are careful about the flow of blood from the artery that is cut off, since when it comes to cutting the artery, there is a great danger, and more so at those where one does not know what it is doing; and then put the operation on hold at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come back to the memory of the mistake of the flow of blood from the artery according to your way, in its place.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this type of disease does not respond to this type of cauterization and the patient can tolerate it; then cauterize that in the middle part of the head as we have described it, and heal the wound so that it is healed.
