Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucasyi.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already presented in this book all the operations of which I am aware; for some are necessary and others not, so that it is not appropriate to present them all here, in order to avoid wasting time in speaking and distorting your mind.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with diligence and the protection of God, and your illnesses with compassion and firm resolution.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way, through the grace of God, to lead you to salvation and to the laudable succession, and leave your terrible illnesses with difficult treatment, and hold your weapons in such a way that it is not a cause for fear, so that you do not forsake your faith and name; for more remains to your glory, either in heaven or behind your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	I have already said in some of my premonitions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not treat a bad disease, so that you do not become the cause of death of your patient."
E yeu ja he devesit aquest libre segontz tres capitols.	I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered by chapters, in the shapes of instruments and tools used in surgery; this is necessary for the operation.
La divisio de la segonda partida.	Division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning cutting and piercing, and suction, and extraction of arrows and similar things, completely divided and ordered by shapes of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter concerning restoration and displacement, and treatment of twists and similar things; this chapter is ordered by chapters, in the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cautery and acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	This is how the treatise begins for all of the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you about the qualities of that cautery and the things necessary for it, and in what conditions it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of cautery and the things necessary for it is long and extensive, and subtle in science, and hidden in meaning; and they have spoken about much knowledge, and they disagree with each other, and I am satisfied with a little of their speeches, as if they were long.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery has all the qualities universally; it is of matter or two matters; for these are two qualities of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of tail and dry matter will disagree; for some say that cautery is beneficial to the fire, and others say the opposite, that cautery is not convenient in a disease which is by quality and dryness, because the nature of the fire is quality and dryness, and it is inappropriate that the fire should heal a dry and tail-like disease.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite, that with cautery is beneficial in all diseases of tail and dry matter which are present in the body of man, because when you compare the bodies of men and the moisture in them to the combination of fire, you will find them dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that person, which I have experienced at times in order to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not necessary to present here what has already been presented and exercised in the chapter of cautery following exercises, and learned the diversity of the condition of men and the disposition of their diseases, and the causes of them, and their accidents, and the space of time from those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other cases, there is no fear, and most often in wet and cold cases, since all doctors are agreed on them, and are not in disagreement about the cauterization of those cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of cure by fire and of the goodness of it, since fire is simple, its action reaches only to the member which is cauterized and does no harm to the other member which is put on fire with it, except for a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the application of burning medicine reaches to that part in the member which is blistered, and causes great pain in the sick part, and it causes great difficulty in healing it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its subtlety and goodness, does not burn but drenches; And I am already well known to you through experience and a long history of service in studying the truth of causes; and by this means I will excuse myself from the length of speech and if it were not that it is impossible for me to write secretly in this letter to you about fire, and the quality of its operation on the body and its expulsion by which it expels the diseases, with a philosophical demonstrative discourse, which would be clear in your cases.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is convenient to make a cauterization and pause for the best time in springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is convenient at all times, so that the damage by time, which happens by accident, is immersed in the healing of what is cauterized, and most when cauterization is for pain or necessary pains, which do not suffer delay, because those who come with ill-will are greater than a small injury entering by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And then you do not use it in your cases, or children, this is only estimated by the vulgar and foolish doctors; so that for that disease which is healed by cauterization, it is convenient to pause at that time, and this consequence follows.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good for such a thing; because cauterization is only a place of medicine which alters the composition and dries up the humors which are the cause by which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But, nevertheless, superfluous cauterization over the medicine is because of the virtue of its effectiveness and the greatness of its power, and the lord knows it well.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease return at any time of the year, according to the constitution of the patient and the location of his illness, and the goodness of it; and because it is prepared in his body by adding superfluous things in his diet and by resembling those causes; but if the disease on which cauterization was administered is a subtle one in a member with few superfluous things and humors, then with cauterization of a tooth for pain and resembling that one, it is possible that the pain does not return to him, but remains there.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common speech is that cauterization is the last medicine; and it is a hasty speech, not to those who understand it, because they believe that there is no cure which profits from medicine or any other cause by means of cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the understanding that cauterization is the last remedy is only when we administer ways of cure in some illnesses, and those medicines do not give; but at the end of the cause, we administer to him cauterization, and it profits at that end.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here, I will tell you that cauterization is the last medicine of a hasty speech, not according to my understanding of the vulgar and silly doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that cauterization with gold is better than cauterization with iron, and they do not say it except for the equality of gold and its subtlety.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not burn, unless it is absolutely good, because I have seen and touched that it does not burn except in some parts of the body; and cauterization with gold is good for them, and better than iron, as they say; but when you make cauterization with fire and gold, it is not clear to you, because it depends on the quantity which you want for the roughness of gold, and because it prepares itself to receive fire; and if you put a piece of metal on fire, so that the craftsman catches it by the occupation of that metal.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And to do this, you must put iron gently and then perform the operation correctly.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter about cauterization according to the other chapters, and I have ordered those of the first part within the feet, so that it satisfies what you ask for.
De cauteri de dolor de cap per frigiditat e humiditat.	of cauterization for headache by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on humidity and cold the accidental service of which there are two causes; so it is a cause of sweating and many fluxes of blood, causing a headache, flowing from the ears, and many sleeps, and pain in teeth and gums, and generally of all illnesses that come by cold, as well as paralyzed, sweat, and apoplexy, resembling those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, command the patient that he be evacuated by lacting medicine to his head, for three or four nights, according to whether you require the goodness of the disease and the age and custom of him; then put on his head a bandage and wrap it around his head, and wrap it with a cloth, and let it rest for seven days.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and place it on a bank between your legs, and place your hands over the roots of his hair.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the movement of your hand from your palm to the roots of the nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But, nevertheless, when the patient speaks about his own place, sign it with a mark; and then set fire to the olive oil from which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then put that on the spot with a mark, in a way that it sinks, and by which the patient's hand is constrained little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand gently and look at the spot, and if you see any quantity of hair, as well as the amount of blood, then lower your hand, and if it does not feel cold, then it is seen from the bone that I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then put it over the ground covered with sawdust and leave it there until the fire destroys the scale of it.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the spot with five-fold tar within which be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that if the plague of Rome is spread, so much better and more healing is it; for it is more beneficial and pleasant.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They also say that the jaw should be cauterized within the bone, and that the cauterization should be performed so that part of the root of the tooth is moved away.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it is done; it is shaved close to the bone, and then it is healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that the cauterization reaches to the last part, within which is forced against the bone, and this is the form of the blade:
E estiman de aquel loc expiran la vapors del cap.	They recommend that the patient breathes the vapors from his head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be kept open for a long time, and let it be healed before it is hardened.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	And I do not see these two kinds of cauterization in all places for the sake of fear; and let it be left to me, a thousand times better is salvation when it is present; because the head can be detached by solution of continuity as long as we have witnessed it in other members, especially when the patient's head is of freewill nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the kind of cauterization that first comes is safer and better for me; and from there, I will choose that operation for salvation.
Capitol segon.	Capitol Second.
Del cauteri del cap.	Of the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head chronic and long-lasting pain occurs and it is prolonged in the patient, and he uses plasters, leeches, bloodletting, emollients, poultices, and poultices, especially if he has already been cauterized with a caustic and does not take advantage of any of those causes, then consider that since the head of the patient is of strong creation in its nature; and it is not pleasant and brings about great harm, then cauterize him with another kind of cauterization, let that one be few.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that on the tip of his head with a caustic inside so that the knot is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the knot and reveal the bone the quantity that we have counted and cauterize it at the back of the head in a place called "vas" — and that is the place where wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And thank God in advance for that, and do not reveal the bone, because the patient will suffer great pain, which is different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And direct this cauterization to its place, because, while that caustic with which the tips of the head and the occiput are cauterized is subtler, that caustic with which the back of the head is cauterized is more powerful. And this is the way to do it.
Capitol ters.	Capitol Third.
De cauterisacio de emigranea no-antiqua.	Of cauterization of the emigrant (not ancient).
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the back of the head is hard, or the pain inside the ear is standing, let the head be evacuated by medicine while it is spoken, and let the other treatment (which I have described in the various diseases) not be taken advantage of; then cauterize it with two methods: either with burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Or cauterize with burning medicine is that you take a bucket of water, and pour it out and burn the ends of it from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut the place that causes pain in the temple with a sharp needle inside so that it is hidden under it; then cut off the knot.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then hold it down with a firm constriction, and leave it like that for three hours; then remove the bandage, and keep the wound open for two or three days, and then put it under water in a bowl within the place where it hurts.
E aprop cura aquel am enguent entro que sia sanat.	Then cure it with oil until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, prepare some of the burning medicines that I have written in two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Or cauterize with iron according to this method: this is the way:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a claw because the head of iron is thus shaped like a claw, and in its middle part there is a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the place that hurts, and hold your hand back so that the iron is not heated too much; and rotate the small iron slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of iron that is heated by the shape of the knot is about half, and raise your hand up so that the artery is not heated too much; then let the blood flow away.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the cloth in salt water and place it on the place, and leave it like that for three days; then remove the cloth little by little along the edge, and cure with oil until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you want, cauterize the end of the knife according to the cauterization that I have described, and beware of cutting the artery in this emigrant (not ancient) head.
Capitol quart.	Capitol Fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization of ancient emigrant.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure emigrant with water that I have described in the previous treatment, and which I have described in the various diseases, and do not take advantage of the treatment; and sometimes because of the disease that does not suffice to the water that I have described for the first cauterization with medicine or with fire, then, while you are holding the cauterization knife, consider that you ignite it so that it whiteness (to make it turn white), since this means that the half-most part of it has already been burned; and then leave your hand up so that the iron does not become too hot; then rotate it slowly. And let the amount of iron be heated by the shape of the knot, which is about half; and raise your hand up so that the artery is not heated too much; then let blood flow away.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you need to pay attention to the continuation of the jaw, which is more useful for chewing; and that the tongue does not become too hot and that the nerves are not heated; and that it does not go into a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution of the flow of blood from the artery that is being cut, for in cutting it there is a danger; and even more so at that which does not know how to do it with water and does not study or prepare it; and then leave the operation until the very beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come to mind with the memory of the regulation of blood flow by the way that you have described; and in its place according to your method.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this disease does not allow the above kind of cauterization and tolerates the pain of a head cauterization, then cauterize it in its middle part as I have described; and cure the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you want, administer the cauterization that I have described in the chapter of stretching the iron with two knives; and this is the best kind of cauterization and most worthy.
Capitol .v.	Capitol V.
