Ayssi comensan las paraulas de Albucasim .	Thus begins the speech of Alcubierrez .
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is ordered from the head in the forms of that art; and from that which it is necessary for the doctor to know his causes and consequences.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire and acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	With this, the treatise begins with the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of the materials of cauterization and the substances that prevent it; and in which combination it should be used.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of cauterization and the prevention of it is long and elaborate, subtle in science, and hidden in meaning; and I have heard much wisdom from them, and they disagree with each other, and enough for me is a small part of their speeches, frightening in length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization confers on the whole combination universally the same substance; except for two combinations, which are combinations of fire and air.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of fire and air, different opinions exist; some say that cauterization is beneficial to that, and others say the opposite, that cauterization is not suitable for a disease by quality and dryness, since the nature of fire is quality and dryness, and it is not suitable that a disease be cured by fire and dry, which are different from each other.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says that what is contrary to this is true, that the cauterization causes healing in all the illnesses of the body and dried out ones which occur in the members of men: for when you compare the man's body with the moisture of fire, you find his body dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the speech of that one, who has already experienced it several times at my expense.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however I do not cover that it came upon this one already completely exhausted and exercised in the chapter of cauterizing by later exercise, and has known the difference of the complexes of men and the disposition of the illnesses in their bodies, and the causes of those, and the accidents of their, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in the other complexes, there is no fear for you, and more so in the wet and infectious illnesses because all doctors have agreed on those, and they have not disagreed about healing them by cauterizing them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of healing by fire and the goodness of it, it is on the healing by burning, for the fire is simple, and its effect does not reach any member except the one that is cauterized, and causes no little harm to the other member with which it is placed except with a small touch.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the effect of the burning medicine reaches that in the members which it dries up, and it greatly hurts to make it come out in the member with difficult healing and strongly hurts when it is applied.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its subtlety and the goodness of its substance, does not hurt anyone but makes it flow out excessively; And this has already been known by experience and through the long service of study on the truth of causes, and by my own experience with fire in my body, and the quality of the operation of it in the members and the expelling of them through which it expels the illnesses, I would demonstrate it philosophically, which would be pointed out in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that the times do not agree when it is necessary to make a cauterization and pause the best time of the spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the harm by the accident of time is immersed in the healing of this one on which cauterization is applied, and more so if cauterization is for pains or necessary pains, which do not suffer delay because those which come with evil are greater than a little harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus you do not harm your own feet, or children, this one is considered only by the common people and foolish doctors, because it is not convenient to make a cauterization on that illness that is healed by cauterizing at all times, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good to do so because cauterization is not a medicine that changes the complex of things and dries up the humors which are the causes for which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however cauterization in excess over medicine by virtue of its goodness, the usefulness of its operation, and the greatness of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness which has been given to him returns in some hour of time, according to the complex of the patient and the location of his illness, and its goodness; and that which is prepared in his body from the addition of excesses to him, and that which has come to him through food and similar causes of those causes; but if the illness on which he was given cauterization is a subtle illness in some member with little excess and moisture, then cauterization for pain and similar things makes it possible that in him it does not return that pain, but it becomes smaller.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And however the popular speech is that cauterization is the last remedy of medicine, and it is a harsh speech, not towards him who understands it, for I believe that it does not heal anyone by medicine or by any other cause; but cauterization itself is healing.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is opposite to this; and I intend that cauterization is the last remedy of medicine when we administer the methods of healing in some illnesses, but those medicines do not cure them, and at the end of the illness we give a person cauterization, and it heals him at the end of the illness.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And I reply from here that cauterization is the last remedy of medicine, not according to the speech which I understand from the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that fire is better to heal by than iron, and do not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not hurt, unless it is absolutely true, because I have seen and felt that fire does not do that to some people except those who have other members, and cauterizing with iron is good for them as they say; but when you make cauterization with fire in gold, it is not declared to you, for it is unknown according to the quantity that you want for the roughness of gold, and because it prepares itself to receive heat; and if you apply a small piece of it over the gold, it makes gold melt by the fire, and case in the fire some sheets so that the artisan cuts himself with his occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And to make cauterization with iron, it is necessary to put it gently and then more carefully on the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter in the cauterization according to the other chapters, and I have ordered those of the chapter within the feet, so that I can answer anyone who asks about it.
De cauteri de dolor de cap per frigiditat e humiditat.	About cauterizing a headache by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to moisture and cold on the servile accident of which there are two causes, so it is a cause of sodom and many flows of rheumatic, called cursing, from the head to the parts of the body and the ears flowing, and many sleeping, and toothache and the goyleiro, and generally of any illness that comes through coldness; but it also makes it paralytically, and is a cause of sodom and apoplexy, and similar things in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: first, order the patient to be evacuated by lacative medicine on his head, for three or four nights, according to whether you require the goodness of the illness and its age and its usual habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head with a razor, and then place the blade between your legs on a bank that has been raised up, and place your hands over the surface of it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the motion of your hand close to the edge of your palm above the edge of his nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But however, when the patient says that his place is reached, mark that place with a probe, and then ignite cauterization from it by olive oil; for this one is the form of it:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that above the marked place with the probe in a way that it goes down little by little, and you turn that around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then remove your hand gently and look at the place, and if you see any amount of hair from the head, as well as the amount of salt that has come out, then raise your hand, and if it does not go back to iron, then take another piece from that, if it is cold, until he sees bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the spot and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place a piece of wood in the fire until it is burned up.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the wound with a fourfold medicine until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And already they say that when the Roman plague has broken out, so much better and more beneficial is it for healing and rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they also say that it is necessary to cauterize the bone within the cavity of the skull, and that the cautery should not touch any part of the brain.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then let water be applied that is close to the bone, and then let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach as far as possible into the bone, and this is how it is done to make it stronger:
E estiman de aquel loc expiran la vapors del cap.	And they consider that the vapors from the head should be exhausted.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the plague should remain open for a long time, and then it should be cured within so that it hardens.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Perhaps these two types of cautery are not as useful in all cases, but rather only sometimes, for the sake of saving life; because the head is a distinct part from the rest of the body, and more so when it belongs to an ill-fated patient.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better for saving life, in my opinion; and from that I infer that this process should be used to heal.
Capitol segon.	Second:
Del cauteri del cap.	The cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in total the head causes chronic and long-term pain and water is present in the patient for a prolonged period, and it employs the use of scalpel and scissors and poultices and plasters and gauze and cataplasms and poultices, and especially if the head has already been cauterized with a cautery that was not used again after applying to one of those causes, then consider that because the head is a strongly created thing in its nature; and it does not produce much fever or heat, then cauterize it again with another cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then let him cauterize the top of his head with a cautery within so that the bone does not break.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and expose the quantity that we have mentioned, then cauterize it with a cautery in the back part of the head at the place called "vas", — which is the place where the wind blows.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And you will have less pain in doing so, for the water causes great pain that is different from the pain of all other types of head cauterization.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And this cautery should be performed in its place, for when the cautery with which the top of the head and the back are cauterized is subtler than the cautery applied to the front part of the head; and this is the way to do it.
Capitol ters.	Third:
De cauterisacio de emigranea no-antiqua.	The cauterization of the temporal lobe.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is hard in the back of the head, or it is located within the ear, wash out the skull with medicine, and administer another treatment, which I have described in the various treatments for illnesses; and if it does not respond, then cauterize it using two methods: either with burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Perhaps cauterizing with burning medicine is better than taking a mixture of ale and pouring it over the head, and rubbing both ends with the hand.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place where the pain is located in the temporal lobe with a sharp object within so that it does not break, and hide the bone.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then tighten it around the head with a tight constriction, and leave it for three hours; then take off the cloth, and leave the plague submerged in water for two or three days, and let him rest on the edge of the bed.
E aprop cura aquel am enguent entro que sia sanat.	Then cure that person with cold medicine so that they are healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, I can send you some of the burning medicines that I have written in the second medical treatise.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perhaps cauterizing with iron according to this method is better:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a nut, because the head of man is thus shaped like a nut and in its middle part there is a small depression.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place your hand over the painful part, and hold it so that the iron does not move; and turn the small iron slowly with a quick movement.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is absorbed through the skin of the skull reaches about half of what it usually does, then raise your hand so that the artery is not affected and the blood flow is stopped.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the cloth in salt water and place it on the spot, and leave it for three days; then remove the cloth with care from the edge of the bed, and heal with cold medicine.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, cauterize the end of the knife according to the cauterization method mentioned earlier; and be careful not to cut any arteries in this temporal lobe.
Capitol quart.	Fourth:
De cauterizacio d’emigranea antiqua.	The cauterization of the ancient temporal lobe.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the temporal lobe with water that has been mentioned in the previous treatment, and with water that has been mentioned in the various treatments for illnesses, and if the treatment does not respond, and often because of the illness for which the water was used as a treatment does not respond to it; then ignite the knife-like cauterization so that it whitenizes, since this indicates that it is applying to the place of pain with a long line that covers most of it, or with another line; and then pause your hand for a moment, and then tighten it around the head tightly so that it does not move.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jaw, which is connected to mastication, and that the tongue does not move and get stuck; and that spasm does not occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if you are careful to avoid any bleeding from the artery that is being cut off, because in the process of cutting it there is danger, and more so if you do not know how to respond to water; then leave the operation at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I remember the reminder of the accident with the flow of blood that occurred during the iron's work according to your way, in its place.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this illness does not respond to the treatment mentioned earlier and makes the patient's life difficult, then cauterize it in its middle part of the head as we have described, and heal the plague so that it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you wish, administer the cauterization mentioned in the second part of the text with two knives, and this is the best method; it will be more effective.
Capitol .v.	Fifth:
De cauterisacio de las dolors de aurelhas.	The cauterization of ear pain.
