Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaqua.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cutting and piercing, and of vacuums, and of blisters, and of extraction of arrows and of the same things applied to those, is well divided and ordered by the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and of cure for injury and of the same things applied to those; is well divided by the head, in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization by fire and by acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	At that beginning begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of the healing things of that cauterization and of the dangerous things of it, and in what combination it should be forbidden.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of the healing thing of cauterization and of the dangerous thing of it is long and prolix, subtle by science, and hidden away; and from it to speak a great multitude of wisdom, and from it I agree, and for me it is enough with a small part of their speeches, threatening length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization brings together all the combinations universally, which is made of one substance or another; except two combinations, which are combinations of half and half substances.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of dry and half-dry substances, there is a disagreement; for some say that cauterization is helpful to that, and others say the opposite, that cauterization is not suitable for dry and dry diseases which are quality and dryness, because the nature of fire is quality and dryness, and it is not suitable for disease that is dry and dry to be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says that opposite of this is true, that by cauterization it is made to heal in all kinds of malady and dry that comes out in men's bodies, because when you compare the man's body with the fire's humidity, the man's body becomes wet.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that person, which I have already experienced some times and discovered it myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But nevertheless I do not cover that it comes upon this one what already has been exploited and exercised in the chapter of cauterization by later exercise, and knows the diversity of the man' complexions and the dispositions of the illnesses in their methexes, and the causes of those, and the accident of their, and the space of the time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in the other complexions, it is not upon you a fear, and more in the dry and wet illnesses, because all the illnesses are agreed about them, and they are not agreed in the healing by cauterization of those ones.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that of the secret of healing by cauterization by fire and of its goodness, it is upon cauterization with medicine that burns, because the fire is simple, the action of which does not reach except to the member which is cauterized and does not harm the other member by small damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine reaches to that in the members which it makes dry, and hard it brings about pain in the ill member which is difficult to heal and hard to endure.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its smallness and by its substance goodness, does not make it but that it is superfluous; And I have already known it through experience and through length of service in studying about truth of causes; and for this one I am excused from the length of the speech And if it were not that it is not read to you secretly because I am afraid, the quality of the operation of it in the bodies and its expelling by which it expels the illnesses, would be made clear through philosophical demonstration, which would serve to sharpen your wits.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, children, that the seasons are opposite for the time when it is convenient to make cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the damage by the accident of time is submerged in the healing power of this one which is made to come out by cauterization, and more if the cauterization is for pains or necessary pains, hard and sharp, which do not suffer delay because it is feared from those who bring about evil, which is greater than small damage entering by the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus you shall not judge in your wits, or children, this one is not considered but the common people and the foolish illnesses, so it is that to that illness which is healed by cauterization is convenient at all times, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good like this one where they are concerned by it, because cauterization is only in place of medicine which changes the complexion and dries the humidities which are the cause from which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless cauterization on medicine by impulsiveness of its goodness and the excellence of its operation and greatness of its lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness which has been administered to it by cauterization returns in some hour of the time, according to the complexion of the patient and the location of his illness, and the goodness of it; and because it is prepared in its bodies by addition of superfluities to it, and because it is obtained from it in its acquisition in foods and resemblances of those causes; but if the illness for which cauterization was administered is a subtle one in some member of few superfluities and humidities, then by cauterization of teeth because of pain and resembling that, it is possible that in it does not return that pain, but comes little.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And but a vulgar speech is that cauterization is the last medicine remedy, and it is an unjust speech to those who understand it in it, because I think that it is not a healing that profits from medicine or any other cause, but by cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is opposite to that; and I think that cauterization is the last medicine remedy only when we administer the ways of healing in some illnesses, and those medicines do not provide, but at the end of the cause we administer to it by cauterization, and profit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then I say that cauterization is the last medicine remedy, not according to the speech which I understand from the common people and foolish illnesses.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that cauterization in gold is better than cauterization in iron, and did not say this one but because of the equality of the gold and its smallness.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not make it break, because I have already seen and touched that it does not do this one but in some members which have others, and cauterization with fire is good and better than cauterization with iron as they said; but when you make cauterization with gold by fire, it is not known to you, because it is made according to the quantity that you want for the roughness of the gold, and because it prepares to receive it; and if you put on it without noticing, it melts the gold into the fire, and case in the fire some sheets so that the artisan works hard with it because of its occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And by it is made cauterization with iron, we must put it gently and carefully to the right operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter in cauterization according to the other chapters, and I have ordered those of the book within the pages, so that you ask this one what it wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauterization for headache by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to humidity and cold on the servile accident of which there are two causes, so it is a cause of soda and many types of flux raumatic, called corissa, from the head to the parts of the arms and ears flowing, and many types of sleeping, and toothache and gumache, and generally all kinds of illness that come because of coldness.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this one, that first you command to the patient which is made to come out by lacative medicine on his head pronouncing, for three or four nights, according to whether you demand the goodness of the patient and his age and his usual clothing.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then you command him to shave his head with a razor, and then he sits between your legs on a bench and puts his hands on the top of his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you put the edge of your hand on the side of his nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But nevertheless, when this one tells about the place where it is coming from, it signs that place by trial, and then makes this cauterization which is made in this way:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then you put it on the place gently, in a way that it descends, and by which the patient's hand is forced little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then you lift your hand gently and look at the place, and if you see already some quantity of hair from the head, as well as the amount of dirt that it has on it, then you raise your hand, and if it does not turn to iron, then from another one, because it is cold, before it turns out to be hair which I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then you take a little salt and dissolve it on the place and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And place it on the cot hidden in the border, and leave that one on the inside which is destroyed by fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And cure that wound with fourfold bitter medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the Roman plague broke out, so too did the barley, for it is better and more nourishing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that it should be cauterized within the bone itself, and that it should retain the cautery within so that a part of the bone's surface is burned.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then have it shaved that is close to the bone, then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should reach the back of the bone, firmly pressing it within so that the bone does not break, and this is the way to cut a small piece off:
E estiman de aquel loc expiran la vapors del cap.	They estimate from that location the vapors from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it should be kept open for a long time, and then heal within so that it hardens.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Perhaps I do not see these two types of cauterization as much, but rather in some cases out of fear; and leave that one to be better for it is the salvation, when it is so; because the head is a part of continued movement, especially when the head of the patient is fevered.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cauterization is more saved and better in my opinion; and from that one, I do this work to save it, and then heal.
Capitol segon.	Second.
Del cauteri del cap.	Of the head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in total the head causes chronic and long-lasting pain and water is present in the patient for a long time, and uses of scatters and poultices and calques and ointments and plasters and balms and other things, and especially if the head has already been cauterized with another cautery, then consider that because the head is of strong creation in its nature; and it does not cause great harm or damage, then cauterize it again with a little bit of another cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that one on the corner of his head with a cauterizer within so that the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Then cut the bone and uncover it from the quantity that we have counted, and cauterize that one in the back of the head at the location called "vas" — and that is the place where wind blows.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And praise your mother in such, and do not uncover the bone, for the patient's water causes great pain different from the pain of all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should direct this cauterization to its location, for because the cautery with which the head's corners are cauterized is less subtle than that with which the crown of the head is cauterized, and this is the way of it.
Capitol ters.	Second.
De cauterisacio de emigranea no-antiqua.	Of cauterization of the emigre who has not been ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain at the back of the head is hard, or there is a painful pressure within the ear, have the head emptied by medicine, and administered to it the other cure, which I spoke of in the various types of illnesses; and if that does not help, then cauterize it with burning and iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Perhaps cauterizing with burning medicine is better than taking an ale of honey, and scorching that one and rubbing the ends of both sides of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the location of the pain in the temple with a sharp needle within so that it reaches its hidden location, then keep it covered.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then press tightly over it with a constricting bandage, and leave it for three hours; then pour the honey, and leave the plague for two or three days, and place it on the cot hidden in the border, so that the area hardens.
E aprop cura aquel am enguent entro que sia sanat.	Then heal that one with cold medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you have them, prepare some of the burning medicines that I wrote in the second medical treatise.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perhaps cauterizing with iron according to this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a small wedge, because the head has such a form in which there is a slight curvature, and in its middle is a little prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the location of the pain, and hold your hand back — so that the iron does not burn the skin which is left behind — and turn the small iron quickly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of skin that is removed by the edge of the bone is about a quarter of it, and raise your hand up so that the artery is not removed from the part which is left behind, so that blood does not flow out freely.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then wrap the cot in salt water and place it on the location, and leave it for three days; then remove the wrapped part from the border, and heal it with cold medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see it, cauterize at the end of the knife according to the cauterization method, and be careful not to cut the artery in this emigrant who has not been ancient.
Capitol quart.	Fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization of the ancient emigrant.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the ancient emigrant with the water that we have spoken of in the previous cure, and with the water that we have spoken of in the various types of illnesses, and if that does not help, and sometimes because of the illness itself which does not contain enough water for the first cauterization with medicine or fire, then consider that you ignite the cauterizing knife within so that it whitenizes, because it signifies over the location of the pain with a long line from which most of it comes, or that one; and place your hand back for a second time, and tightly hold the small iron and turn it quickly.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must be careful not to damage the continuation of the jaw, which is very important for chewing, and that the tongue is not removed, and that it does not become paralyzed; and that a spasm does not occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if you are careful about the flow of blood from the artery which is cut off, because when one cuts it, there is a fear, and more so than that which does not know how water flows and does not study it and does not expect it; then leave the operation on the patient at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come back to the memory of the regiment of the accidental flow of blood from the iron according to its method, in its location of freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if this illness does not help that type of cauterization, and the patient can tolerate it, then heal the plague within so that it is healed.
