Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucashi .
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he did it according to his desires and prayed, and ordered us to cut the ligamentos; and thus, for the sake of a few days, the hernia and the foot were cut, and came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to do it; so we took off the ligament and found complete peace and relief from their pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But nevertheless the corruption was confirmed in the limb, so I could not hold back that pain; and I kept walking with that corruption in the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who had pierced a cancerous abscess and it became an ulcer after some days; so the evil of it spread to its lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the cold cauterization is pure of melancholic humor; but it does not cover that it should reach all parts, but rather which is affected by that all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my children, it is necessary that the operation be divided into two operations: one of which is carried out in order to save life, and another in which it is endangered.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already placed in this book where it is necessary to put on the second operation, which is error and fear; so that you must put on those books, and let them not prevent you from speaking and making your faces pleasant.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with perseverance and protection of God; and may your diseases be lightened and your difficulties be overcome.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace to bring about salvation and praise worthy successions; and leave behind you terrible diseases of difficult healing, and keep your weapons from here so that it does not cause you fear in your faith and your name is not avoided: for more remains in your glory, and more on the mount and less after your saints.
Gualia ja diyssec en alcunas sieuas monicios:	Guala has already said in some of his moral teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not drink a bad medicine, for a bad doctor will not help you."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter arranged by chapters under the feet, in the forms of instruments and tools of cauterization, and from this necessary to be in surgery.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cutting and piercing, and of suctioning, and of extracting arrows and resembling them, completely divided and arranged according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and relocation, and of treatment by twisting and resembling them; a chapter arranged by chapters under the feet, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cauterization and sharp medicine and reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you about the quality of those cauterizations and the reasons for their prohibition.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	I will say that the speech of the quality of cauterization and its reason is long and complex, and subtle by science, and hidden for those who know it; and I do not speak much of their sentences, because they are too long for me; and from them a little of their speeches is enough for me.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	I will say that cauterization includes all universal combinations; those two exceptions which are made of the same material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of dry and dead matter, they disagree; for some say that cauterization is beneficial to that, and others say the opposite, that cauterization is not effective in dry and dead matter; because the nature of fire is quality and dryness, and it is not suitable that the disease of the dry and dead should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says that which is contrary to this, that by cauterization there is made youthfulness in all malady of the body and dried up that comes into the limbs of men, for when you compare the limbs of man with the humidity of him at the composition of fire, you find his limbs frigid.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that, which I experience already some times and have discovered it.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however I do not cover that which comes upon it that which already is stripped and exercised in the chapter of cauterization by latter exercise, and has known the difference of the constitution of men and the disposition of sickness in them, and causes of those, and accidents of their, and space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other constitutions, there is no fear on you, and more in the frigid and moist sicknesses, for already all doctors are agreed upon those, and not disagreed in the youthfulness by cauterization in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know you, children, that of the secret of cure by cauterization with fire and of the goodness of it, is that the fire is simple, the action of which does not come to another member except to the one which is cauterized, and does not harm the other member with the fire applied except with little damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of the burning medicine comes to that in the limbs which it removes, and strongly causes the pain to come into the sick limb which has a difficult cure, and strongly causes it to come out.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its simplicity and goodness, does not harm but rather makes it run off; and we have known it by experience and long service in studying this art on the truth of causes, and by this I am excused from the length of speech and if it were not that I could not read your face freely to you hidden about the fire, and quality of operation of it in the limbs and its expulsion through which it expels the diseases, with philosophical demonstration, which would be clear in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know you, children, that they disagree about the time when it is convenient to make cauterization and pause the best moment in spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at any time, so that the harm by the accident of time is submerged in the youthfulness of it which is drawn up by the cauterization, and more if the cauterization is for pains or necessary pains, strongly and painfully, which do not suffer delay because they are feared by those who bring evil, which is greater than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus I do not give advice in your cases, or children, here it is not considered but the common people and foolish doctors; therefore, to that sickness which is healed by cauterization is convenient at any time, and pause the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not given so that they care for it by fire, for cauterization is not but a place of medicine which alters the constitution and dries up the humors which are the cause from which come pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however cauterization is superfluous on the medicine by volition of its value and goodness of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the sickness return at any time of the day, according to the constitution of the sick person and the place of his illness, and the goodness of it; and that which has been prepared in its limbs by the addition of the superfluous in them, and that which has come into it in its acquisition with food and resemblance to those causes; but if the sickness be subtle in a limb with few superfluities and humors, then cauterization for pain resembling that, possibly will not return in it that pain, but will make it small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And a vulgar word is that cauterization is the last remedy of medicine, and it is a risky speech, not to say that I understand it in it, for I believe that it is not a cure which profits by medicine or by any other cause; but by cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I say that cauterization is the last remedy of medicine only when we administer the methods of cure in some illnesses, and those medicines do not confer upon it, but at the end of the cause give cauterization, and profit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here I say that cauterization is the last remedy of medicine, not according to the word which I understand from the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And say the fools that cauterization with gold is better than cauterization with iron, and do not say it but by the equality of gold and its simplicity.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not burn, if it is not absolutely good, for I have seen it burn and turn black what was on it, but cauterization with iron makes it burn; and I say to you, if you cauterize with fire and gold, it is not revealed to you, because it is done according to the quantity which you want for the roughness of the gold, and because it prepares itself to receive the pain; and if you apply it on it without taking care, it burns the gold by the fire, and if you cut a piece out of it with a sharp tool, the gold will be revealed by the fire, and the craftsman is burned by it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, cauterization with iron should be done carefully and properly to make the operation right.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter about cauterization according to the other chapters, and I have placed those within the subjects, so that the one who asks it finds what he wants of it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauterization for headache by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers upon humidity and cold two accident causes; so is it a cause of soda and many fluxes of blood to the head from the hair, and of flowing from the ears, and of sleeping much, and of toothache and gumache, and generally in all illnesses that come by coldness, as well as in paralysis, and of the body being stiff and slow to move.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: first, order the sick person to vomit up by vomiting medicine the head, for three or four nights, according to whether you demand the goodness of the sickness and its age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head, and then he shall sit between your legs on a bench, and place his hands upon the soles of his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the pressure of your palm upon the base of the nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But however, when the patient says that this place is found, mark it by touch, and then apply the olive oil cauterization of which this form is:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place him upon the spot with touch, so that it sinks in little by little, and you turn him round.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the spot, and if you see some quantity of the head come out, as well as the quantity of blood, then raise your hand to that place, and if it is not burned by fire, move it away from that place, so that it may be seen if there is any bone in it which I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it upon the spot, and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place him in the bed wrapped in a blanket, and leave that spot inside which has been destroyed by fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the wound with a fourfold bitter tonic until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that when the Roman plague broke out, there was so much honey in the air that it improved and prolonged life.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that it is necessary to cauterize the bone within the nose, and to keep the cautery in contact with some part of the bone's surface.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then cut off what adheres to the bone, and then treat it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they say that the cauterized part should touch the last bone, firmly pressing it within until it hurts; and this is how you treat small wounds.
E estiman de aquel loc expiran la vapors del cap.	And they believe that vapors are expelled from the head by breathing through the mouth.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the plague should be allowed to run its course for a long time, and then treated when it has hardened.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Perhaps I do not see these two types of cauterization in detail, but according to me, they are better suited for some people; since the head is a type of member that is separated from the body by a solution of continuity, and primarily when the patient's head has fallen off naturally as we have testified in other members, and more so when the head of the patient is of a natural fall.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cauterization is better saved and suits me more; and from that one, I will make the decision about salvation.
Capitol segon.	Second.
Del cauteri del cap.	Of the head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the patient' head causes chronic and long-lasting pain that prolongs, and uses of scatters and purges and ointments and plasters and oils and salves, and more so if it has been cauterized with a cautery that is not used again for some reason; then consider that if the head is of strong creation in its nature; and is not a minor thing or a big mistake, then cauterize it with another cautery, leaving that one alone.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that on the hairline of his head with a cautery within that the bone is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Then cut off the bone and uncover it from the quantity that we have counted, and cauterize that with a cautery at the back of the head in the place which is called vesica, -- and this is the place where wind is blown out.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And I will rejoice in it if you do not uncover the bone, because the patient by water has great pain that is different from the pain of all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will direct this cauterization in its place, because although that cautery with which you cauterize the hairline of the head and the occiput is subtler cauterization than that with which you cauterized the top of the head; this is the correct way to do it.
Capitol ters.	Third.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of the emigrant's non-ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain occurs at the back of the head or in the foot is hard, or there is an internal ache in the nose, then the head should be treated by medicine, and another treatment should be administered to it, which I have described in the various treatments for the bad; and if it is not improved, then treat it with two methods: either with a sharp cauterization and a burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Perhaps the treatment with a sharp cauterization and a burning medicine is not as effective as you take a dolose of alcohol, and pour it on both ends of the nose; and with both methods, treat it in two places: at the tip and the sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place that causes pain in the temple with a needle from within that it is hidden from view; and keep the bone uncovered.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then tighten it on the patient with a strong constriction, and keep it like that for three hours; then take the alcohol and dip the cotton wool in the solution, and place it over the affected area under the skin; and leave it there for two or three days, and then treat it by applying the alcohol to the wound.
E aprop cura aquel am enguent entro que sia sanat.	Then treat that with an ointment within that it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish to know, here are some of the medicines that I have written in the two treatment of burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perhaps the treatment with iron as described above is not as effective; and this is the way to do it:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a keyhole, because the head has this shape like a key and in its middle there is a small indentation; and at its centre is a little depression.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place your hand on the area that hurts, and hold it so that the iron does not touch the skin; and turn the small piece of iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of iron that is absorbed through the skin by the bone's surface is thus most, and raise your hand so that the artery is not absorbed which remains, to prevent a flow of blood from it.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the cotton wool in salt water and place it on the affected area, and leave it for three days; then dip the cotton wool in the ointment little by little and treat it within that it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this, then treat the end of the knife according to the second treatment; and be careful not to cut into any artery in this emigrant' non-ancient.
Capitol quart.	Fourth.
De cauterizacio d’emigranea antiqua.	Of the cauterization of an ancient emigrant.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the emigrant with the water that we have described in the previous treatment and in the various treatments for the bad, and if that treatment does not work, and many times because of the badness that it does not work to the water that we have mentioned above regarding the first cauterization with medicine or the second cauterization with fire; then treat the end of the knife according to the fourth treatment: ignite the cauterization knife within that it whiteness, as it indicates over the area that hurts, on the line of length from which most of it is affected, or that one; and then leave your hand for a moment and tighten it by applying heat.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you should be careful not to damage the continuity of the jaw, which is very important for chewing; and that the tongue does not dry up and that its nerves do not absorb; and that it does not contract a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if you are careful about the flow of blood from the artery during the operation because it is dangerous and primarily because you do not know how to stop the bleeding in case it starts; then leave the operation at its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come back to your mind of the regiment of the flow of blood from the artery according to its way, in its place of freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if this bad treatment does not work for that cauterization and many times the patient can tolerate it; then treat that in its middle part according to what we have mentioned above, and heal the plague within.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish to know, administer the treatment that we have mentioned in the second part of the treatment of heat according to two tools; and it is better treatment for this.
Capitol .v.	Fifth.
