Ayssi comensan las paraulas de Albucasim .	Thus begins the treatise of Al-Bucayashi .
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of tail and dry matter, they disagree; for some say that cauterization is appropriate to that, and others say the opposite, that cauterization is not convenient in a dry disease, which by nature of fire is quality and dryness, and inappropriate is that the tail and the dry water should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite, that by cauterization is done good in all tail and dry diseases which are found in the bodies of men, for when you compare the bodies of men with the moisture of them to the combination of fire, you find the bodies of men burned up.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by that speech of him, which experience have I had several times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Yet I do not see that this has come upon him who is already exhausted and exercised in the chapter of cauterization by latter exercise, and he knows the diversity of the complexions of men and the disposition of diseases in their bodies, and the causes of those, and the accidents of them, and the space of time of them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complexions, however, there is no fear on your part, and most importantly in the wet diseases, since all doctors have agreed upon those, and they have not disagreed in the juvenile exercise by cauterizing them at those times.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that of the secret of cure by fire cauterization and of the goodness of it, only by fire are burned, since the force of it does not reach another member except with slight injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The force of the burning medicine reaches that in the member which is blistered, and strongly causes a painful inflammation in the sick member, which is difficult to cure, and strongly causes an unpleasant smell.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, for its smallness and for the goodness of its substance, does not hurt except when it is superfluous; And we have already known by experience and by long service to study about the truth of causes; and so I am excused from the length of speech and if it were not that it is not read at my free will in this pause to you hidden with fire, and the quality of the operation of it on the bodies and of its expulsion by which the diseases are expelled, with philosophical demonstrative words, which would be improved in your ears.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that the seasons do not agree on the time when it is convenient to make fire-cauterization and pause for the best time in spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times so that the injury of time by accident is immersed in the youth of those who are drawn by cauterization, and most importantly if cauterization is for pains or necessary pains, strongly and painfully, which do not suffer delay so that they are feared from those that come with a malice, which is greater than slight injury entered by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And then they do not understand in your ears, or children, this is considered by the common people and foolish doctors; for it is that disease which is cured by fire at all times, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good then what they consider by water, for fire is not but in place of medicine which alters the complexion and dries up the humidities which are the cause from which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But fire is superfluous over medicine because of the virtue and effectiveness of its operation, and the greatness of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease return in some hour of time, according to the complexion of the patient and the location of his disease, and the virtue of it, and that it is prepared in his body from the addition of the superfluities in it, and that which comes to him in his acquisition in foods and resembling those causes; but if the disease by which cauterization was administered is a subtle disease in one member of few superfluities and humidities, then fire of teeth with pain and resembling that, it is possible that in him it does not return that pain, but instead it comes there.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And yet the vulgar speech is that fire is the last medicine, and it is a hasty speech, not to those who understand it, for I believe that there is no cure that benefits from medicine or any other cause, except by fire.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is opposite to that; and I believe that fire is the last medicine, it is only when we administer the ways of cure in some diseases, and those medicines do not benefit him, and at the end of the cause we administer fire to him, and benefit from it at that time.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Then from here I understand that fire is the last medicine, not according to the understanding which I have of the common people and the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the fools said that fire on gold is better than fire on iron, and they did not say it except for the equality of gold and for the smallness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of fire does not burn up, unless absolutely vertat, for I have seen it and turned away from it; but you make fire on gold, which is good and better than iron, as the fools say; but when you make fire on gold, it is not revealed to you, because it is equal according to the quantity that you want to make rough of the gold, and because it prepares to receive it; and if you place it over fire, gold melts by the fire, and case in the fire some plates so that the artifice sees them for the occupation of it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And to make fire on iron you must place it gently and carefully on the right side of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter on fire according to the other chapters, and I have ordered those of the book within the book so that you ask what you want from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On fire by pain in the head due to cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to humidity and cold a servile accident of which there are two causes, so is the cause of sodium and many fluxes rheumatic, called rigor, from the head to the parts of the body and from the ears flowing, and much sleep, and toothache and gurgling, and generally all diseases that come by cold; then paralyticly, with sodium and apoplexy, and resembling those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: first, you command the patient to be evacuated with lacative medicine in his head, for three or four nights, according to whether you require the virtue of the disease and its age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head, and then he will sit between your legs on a bench laid down, and place your hands over his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor of your palm on top of the razor of his nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But, however, when the patient says that this place is reached, mark that place by testing, and then burn fire on it from which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then you turn that place by testing, in such a way that the patient's hand be restrained little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the place, and if you see already any quantity of hair, as well as the amount of gravel in it, then raise your hand, and if it does not return to that iron, take another from that, if it is cold, until it is seen that bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on the place and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause the ring in water wrapped in the bandage and leave it there until it is destroyed by the fire's heat.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal that place with four-part farmacon ointment so that it is cured.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that as much as the plague of Rome brings, so many cure with ease; because it is better and more pleasant.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say that some of them say that the cartilage should be cauterized within the bone, and that a part of the bone's structure should be burned.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it is shaved that which is close to the bone, and then it is cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said to him that he let the cautery reach the end, until it enters the strong bone instead of making it break, and this is the form of small alpecat.
E estiman de aquel loc expiran la vapors del cap.	And they estimate from that place to exhale the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be kept open for a long time, and then heal it before it is solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But for me these two kinds of cauterizations are not seen, but in some cases out of fear; and it seems to me that this is better for salvation when it is done, because the head is separated by solution from the rest of the body, and even more so when the patient's head is naturally freaked.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cauterization is better saved and seems to me more beneficial; and of those two, I prefer this one for salvation.
Capitol segon.	Capital second.
Del cauteri del cap.	Of the head's cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in total the head causes chronic and long pain, and this is prolonged in the patient, and uses of plasters and poultices and enemas and embalmings and calms and balms and salves, and above all if it has already been cauterized with a cauldron that it tells and does not benefit from any of those causes, then consider that since the head is of strong creation in its nature; and it is not freaked and turns the head, then that head should be cauterized with another cauldron, little by little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then he cauterizes that on the edge of his hair on the head with a cauldron until the hair is burned.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incis the hair and expose it to the bone, the amount that we have counted, then cauterize that with a cauldron in the back of the head in the place called vasa, — and this is the place where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And praise your hand in such a way that you do not expose the bone, because by water the patient suffers a great deal of pain different from the pain of all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And this cauterization is done in its place, for since the head' s hair and forehead are easier to cauterize than that which is at the top of the head; and this is the form of it.
Capitol ters.	Capital third.
De cauterisacio de emigranea no-antiqua.	Of cauterization of a migraine not ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the back of the head hurts hard, or there is pain within the ear, let the head be cleansed with medicines, and another treatment that I have mentioned in the seven causes of illnesses; and if it does not benefit, then cauterize it with two methods: either with a burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But to cauterize with a burning medicine is better than to take an ointment from olive oil and to rub both ends of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place that hurts on the temple with a sharp knife until it enters the flesh, and then cover it so that the hair is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then put pressure on it with a strong constriction, and let it be for three hours; then remove the ointment from olive oil, and leave the wound open for two or three days, and then cover it with bandages soaked in water until the place swells up.
E aprop cura aquel am enguent entro que sia sanat.	Then heal that with unguent until it is cured.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this, make some of the burning medicines that I have written in the two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cauterization with iron according to this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	is called a nail, because the head is thus shaped in one place like a nail, and in the middle part of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place your hand on the painful place, and rotate the iron little by little at high speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of blood that is drained by the incision at the back of the hair is almost half of it, and then raise your hand so that the artery not be drained which is left, so that there is no flow of blood from it.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the wound in salt water and place it on the place, and let it rest for three days; then remove the bandages that are soaked in water, and heal with unguent until it is cured.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this, cauterize at the end of the knife according to cauterization, and do not make an incision of the artery in this migraine not ancient.
Capitol quart.	Capital fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization of a migraine ancient.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you heal a migraine with water that we have mentioned in the treatment preceding this one, and with water that we have mentioned in the seven causes of illnesses, and if this treatment does not benefit; and more because of the illness for which we have mentioned the first cauterization with medicine or with fire, then consider that you ignite the cauterizing knife so that it is whiteened, because it indicates the place of pain on a line of length that is almost half of it, or that one; and then rest your hand by turning it for a moment, and then rotate the iron very fast.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must take care not to damage the continuing mandible, which is important for chewing, and that the tongue is not drained and the nerve is not damaged, and that it does not become entangled in a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if you are careful to prevent the flow of blood from the artery that is being cut off, because in cutting it there is danger, and more so at those who do not know what they are doing and do not study beforehand; and then leave the operation in a place where it begins.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come to mind of the memory of the rule for preventing accidental flow of blood from the iron according to your way, in your place of this freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this illness does not benefit from this cauterization and tolerates the piercing of the hair, then cauterize that in the middle part of the head as we have counted, and heal the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you see this, administer the cauterization that we have mentioned in the first part of the iron treatment with two knives, and this is the best cauterization and more effective.
Capitol .v.	Capital fifth.
De cauterisacio de las dolors de aurelhas.	Of cauterization of ear pain.
