Praefatio.	Here is the translation:
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who said the opposite of that said: that through cauterization a benefit occurs in every hot and dry disease which happens in human bodies; because when you compare a human body and its humors to the fiery complexion, you find a human body to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself say through his speech: because experience has already revealed it to me on several occasions.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However it is not necessary for someone to come upon that unless he has already been tested and trained in the last exercise of chapter Cauterii, and knows the diversity of humoral temperaments of men, and the disposition of illnesses within themselves, and their causes, and accidents, and the time frame of those.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But there is no fear over you from the other humoral temperaments, and especially in cold and moist illnesses.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For now all doctors have agreed on these matters and do not differ in opinion with Cauterius about their treatment.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, sons, that from the secret of cure by Cauterius with fire and his good skill in combining medicine with burning, because fire is simple, whose action does not reach beyond the member being cauterized: and it does not harm another connected member unless causing a small injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of the burning medicine reaches beyond that which is removed from the member: and perhaps it causes disease to occur in the afflicted member, and perhaps it kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire, due to its subtlety and the goodness of its substance, does not do that unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	And now we have learned that through experience, due to the length of service and study with art, and my standing on the truth of things: and because of that I excuse myself from the length of this speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if I were not restrained by the rule of my book, I would reveal to you the secret and hidden thing in fire, and the quality of its operation in bodies, by which it expels diseases through a philosophical demonstration that would be sharpened in your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, sons, that the same ones disagree about the time when cauterization should be done, and they put better the true time.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cauterization is fitting at any time: therefore, because the harm occurring due to time is submerged in the benefit that is attracted with cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cauterizer is necessary on account of pains that are grievous, excessive, and intense, which do not tolerate delay: therefore, since fear arises from them lest a greater evil occur than the small harm that may be done during the time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not fall into your minds, my sons, that which the common and foolish doctors do not appreciate, namely that those who are cured by cauterization do not always recover: and they put forward this consequence, and it is not as they think: therefore, because cauterization is not a substitute for medicine, which alters the complexion and dries up the moistures that are causes why pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization is sufficient over medicine by the swiftness of its own health and the power of its operation and the intensity of its dominion: and it is possible for sickness to return within some period of time according to the complexion of the sick person, and the location of their sickness, and its virtue: and what is prepared in their body from excesses in it: and what comes to them in acquisition through foods and similar things from causes, unless sickness occurs in which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	Subtle sickness in a few excesses and moistures of the member, such as cauterization of the tooth for pain and similar things: it is possible that this pain will not return in that place.
Sed illud fit in paucis.	But this happens in few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the common people's speech is again, that cauterization is the last medicine; it is a true saying: not according to what they intend in this; for they believe that there is no cure which agrees with medicine, nor with anything after the application of cauterization.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the fact is contrary to their intention, and it's not true that cauterization is the last medicine, unless when we administer modes of cure in some sickness, and those medicines do not agree; then we administer cauterization at the end of things, and it agrees: thus it falls out that cauterization is the last resort, not according to the understanding of the common people and foolish doctors.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The old ones said that the cauter with gold is better than the cauter with iron. And they didn't say this unless because of the equality of gold and the subtlety of its substance. They also said that it doesn't make a pus location of the cauter.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	That is not true absolutely: for I have already tried it and found that it does not do that in some bodies without other things.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cauter with it is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you take the cauter made of gold and put it in fire, it is not revealed to you until it is ignited according to the quantity you want, due to the redness of the gold. And when it approaches the heat, and if you add ignition on top of it, it melts in the fire and turns into scales.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, the craftsman falls out of that habit: and because of this, the cauter with iron is faster and closer to us among our operations.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I myself have already organized this Chapter on the Cauter, according to chapters: and I have organized them from head to foot: so that they may relieve whoever seeks what he wants from it.
¶ De modo cauterizandi Caput in commissura coronali.	Chapter: On the manner of cauterizing the crown.
Caput II.	II Chapter.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	This cauterization is helpful for controlling the dominance of moisture and coldness over the brain, which are the causes of headache, and the excessive flow of humors from the head to the eyes and ears, and many sleepings, toothaches, and throat pains: and universally all kinds of illnesses that occur due to coldness, such as paralysis, lethargy, epilepsy, apoplexy, and similar ones from those illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is this: you should precede the patient with a medicine that is soluble, purifying and cleansing the head for three nights or four, according to what the strength of the patient requires, and his age, and habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then command him to make his head radiate with a scalpel.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then have him sit between your four hands, so that he has already placed his own hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your hand on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever then your middle finger comes to rest, mark that spot with a seal.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the cautery of olive oil, whose form is this.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it on top of the marked spot with a seal, with a slow descent by which your hand is gradually constricted and you will turn it over.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift up your left hand and look at the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	For if you see already a quantity of bone or flesh removed from the skull, like an alkali or a zeuhuberbe, then lift up your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat your hand with the same iron or with another one that is cooled down from it: until you see the bones which I told you about.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from the salt and dissolve it in water, and pour it into the same wound, and place it on top: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place the soaked compress on top of the wound, and leave it there until the scab is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with the ointment tetrapharmakon, until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have already said that the wound that remains more open emits pus, therefore it is better and more helpful.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said that the skin should be cauterized up to the bone and held with a cautery until something thickened on the bone is burned.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it will be reduced after what has been burned off from the bone, then it will be cured.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to reach the end with a cautery, until it stamps its mark on the bone like a kirate form: or an instrument that women use to write small letters: and they fear that vapors of the head will escape from this place, and the wound will be left open for a long time.
Deinde curetur, donec consolidetur.	Then it should be treated until it is consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But to me, these two types of cautery seem utterly useless except in certain people according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to leave it up to me is better for its salvation.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity, just as we have testified in other members; and especially when the head of an infirm person is weak by nature. And indeed, the first type of cautery is more salutary and better for me, and I use it: therefore I will operate with it for the sake of health.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the manner of cauterizing the head when the entire head is in pain.
Caput III.	Chapter 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When chronic pain occurs throughout the entire head and persists in an invalid, and they use hellebores, and gall-nuts, and head-clearing medicines, and oils, and poultices.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with the first type of cautery that we described, and nothing benefits them from those things: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of an invalid is strong by natural creation and not weak, and it finds a moderate coldness: then cauterize with another type of cautery under that slightly.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize it above all the horn of one's own head with that cautery, so that it does not penetrate the skin and uncover a quantity from the bone as we described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize it with the first type of cautery at the back of one's own head, in the place which is called the vessel: and it is a location where a tumor is placed; and lift up your mother's hair on this spot, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For an invalid finds it due to that intense pain, and different from the pain of other cauterizations throughout all the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say that this cautery is in its place: and it must be a cautery by which the horns of the head are cauterized, and the back of it is subtly cauterized with a cautery by which the middle of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the method of cauterizing in a headache, whether with burnt medicine or iron.
Caput IIII.	Chapter Four.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens that there is pain and swelling on the head, or the pain extends to the eye, and the head is cleansed with medicines, and the rest of the treatment which I mentioned in my divisions of diseases is applied, and this does not help at all: then cauterization in it is done in two ways: either by cauterization with a burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization with a burning medicine is this: take one tooth of garlic, and extract the pulp from it, and cut off its extremities from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then divide the place of pain with a broad lancet in time, until there is a space under the skin where the tooth is taken.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then insert it into that space under the skin until it is hidden: afterwards tie a thread over it with a gentle constriction, and leave it for fifteen hours; then loose it and take out the garlic, and leave the wound two or three days; afterwards put a poultice soaked in butter on top of it until the place becomes pus-filled: then cure it with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do that with certain burning medicines, which I wrote about in the twelfth treatise on Blistering Medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization with iron is done in this way.
Igni Cauterium, cuius forma haec est.	The Ignis Cauterium, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Clavilus: because the form of its head is like the form of a hook, in which there is some curvature, and in the middle of it is a small projection.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the spot and hold your hand: and turn the iron slowly with speed: and let the amount that is burned be equal to the thickness of the skin, as its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift up your hand so that the artery that is below may not be burned and bleeding may occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the poultice in salt water and place it over the wound, and let it be for three days. Then put the poultice with butter on it. After that, care for it with an ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this hemi-cranium with the second edge of the cauterizer's knife.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into an artery in this hemi-cranium, not one that is truly old.
¶ De modo cauteriezandi in hemicrania antiqua.	About the way to cauterize in an old hemi-cranium.
Caput V.	Head 5.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you are treating a hemi-cranium, with what we mentioned earlier in the previous treatment and what we said about divisions of illnesses, and not to give a remedy: and you see from an illness that what we said about cauterization first with medicine or with fire does not suffice for him; then it is necessary to take the burning Cauterium knife until it becomes white after which you mark above the place of pain with a line, the length of which is half a finger's breadth or so: and put your hand on one side and press it until you cut into an artery and reach the mouth.
