Praefatio.	Here is the translation:
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And many wise men have spoken on this subject and disagreed among themselves. And as for me, I am content with a little of their words, fearing prolongation.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that Cautery agrees with all complexions, both those with matter and those without matter, except for two complexions which are hot without matter and dry without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But in the complexions of heat and dryness with matter, they disagreed among themselves.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some have said that Cautery is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others have said the opposite of this, namely that Cautery is not suitable in an illness which arises from heat and dryness; for since fire's nature is heat, it is incongruous to heal a hot and dry illness with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And the one who said the opposite of this has said that through Cautery a benefit is achieved in every hot and dry illness which occurs in human bodies; for when you compare the body of a man and his humors to the complexion of fire, you find the body of a man to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I myself say this through his discourse; because through experience it has revealed itself to me on several occasions.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not proper that someone should come to attend to that unless he has already been tested and trained in the last exercise of Cauterization, and has known the diversity of human temperaments, and the disposition of illnesses within themselves, and their causes, and accidents, and the time span of these.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But there is no fear for the other temperaments from you, especially in cold and moist illnesses.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For now all physicians have agreed on these matters and do not disagree with cauterization in treating them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, children, that from the secret of healing by means of cauterization with fire and the excellence of it combined with medicine that burns: because fire is simple, whose action does not reach except to the part that is being cauterized, and does not harm another connected member unless a small harm.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of the medicine that burns reaches what is distant from the member, and perhaps makes an illness of difficult healing occur in another member, and perhaps kills it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire, because of its subtlety and the goodness of its substance, does not do that unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	And now it has become known to us through experience, because of the length of service and study with art, and standing on the truth of things: and because of that, I excuse myself from the length of discourse.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so, because it is not allowed to this book of mine, I would reveal to you the secret hidden in fire, and the quality of its operation in expelling diseases from bodies, by which it drives out illnesses through philosophical demonstration, which would be clarified in your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, children, that they themselves disagree on the time when it is proper to perform cauterization, and hold that a better time is that of truth.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cauterization is fitting at any time: therefore, because the harm that occurs due to time is submerged in the benefit that is attracted with cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cauterizing instrument is for pains that are necessary, strong, and stubborn, which do not tolerate delay: therefore, because one fears from them that a greater harm may occur than slight damage done during the time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not fall into your minds, my sons, that which is not esteemed by those people and foolish doctors, namely, that the illness which is cured through cauterization does not always return: and they place this consequence, and it is not as they think. Therefore, because cauterization is not, except in place of medicine, which alters the complexion and exhausts the humors that are the causes why pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization is superfluous over medicine because of the speed and power of its own operation and the intensity of its dominion: and it is possible that illness returns after some time, according to the complexion of the infirm person, and the location of their illness, and the power of its cause: and what is prepared in their body from an accumulation of excesses within them: and what reaches them through food and similar things from their causes, unless there is a condition where cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle illness in a few excesses and humors of the member, such as tooth cauterization for pain, and similar ones, it is possible that the pain does not return in that one.
Sed illud fit in paucis.	But this happens in few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the common people's talk is again, that cauterization is the last resort of medicine, and their speech is correct: not with regard to what they intend in it; because they believe that there is no cure which compares with medicine, nor with anything else after the application of cauterization.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the thing itself is contrary to that and their intention, because cauterization is the last resort of medicine not because when we administer modes of healing in some illness, and those medicines do not help: then we administer cauterization at the end of things, and it helps; so it becomes clear that cauterization is the last resort of medicine, not according to the understanding which the common people and many foolish doctors have.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients have said that a cauterium with gold is better than one with iron: and they did not say this unless for the equality of gold and the subtlety of its substance. And they said that a cauterium does not make pus.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	However, this is not absolutely true: for I have already tested it and found that it does not do so in certain bodies without other things.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cauterium with this is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you put the cauterium with gold into fire, it is not revealed to you how much heat you want, because of the redness of the gold: and when it's cooling down, and if you add more ignition on top of it, it melts in the fire and turns into plates.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, the craftsman falls into occupation with that, and because of this, we make a cauterium with iron for ourselves faster and closer to the operation, according to its straightness.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I myself have already arranged this chapter on cauterium according to chapters: and I arranged it from head to foot, so that the one seeking may find what they want from it.
¶ De modo cauterizandi Caput in commissura coronali.	Chapter On the Method of Cauterizing the Head at the Crown Commisure.
Caput II.	Book Two.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here cauterization serves to counteract the dominance of moisture and coldness over the brain: which two are causes of swelling, and the abundance of fluid flux from the head to the parts of the eyes and ears, and the abundance of sleep, and toothache, and throat pain: and universally all kinds of illnesses that occur due to coldness, such as paralysis, swelling, epilepsy, apoplexy, and similar ones among those illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is that you precede the patient by administering a purgative medicine to cleanse the head for three nights or four, according to how much the patient's strength requires, and their age, and their habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then tell him to make his head bald with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands square, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger reaches, mark that spot with an inkstone.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the olive cauter to fire, which has this shape.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it on the marked spot with an inkstone, while you slowly withdraw your hand and turn it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift up your left hand and look at the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	What if you see that a quantity of bone from the skull or a quantity of zeuberi has already been exposed, then lift up your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat with the same iron or another one that is not chilled; until you see the bones which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from salt and dissolve it in water, and pour it on the wound, and put it over the place; and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put the soaked cotton on top of the butter, and leave it over the place until the scab is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with the ointment of tetrapharmakon, until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have already said that the more a wound remains open, the more pus is emitted; therefore it is better and more beneficial.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said that the skin should be cauterized up to the bone, and the cautery held until something thickened like bone is burnt.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then scrape off after what has been burned away from the bone, then treat it.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to arrive at the end with a cautery, so that it impresses on the bone an imprint like a form of kyrate: or an instrument which women put in infusion of small letters, and they think that vapors of the head escape from this place, and that the wound remains open for a long time.
Deinde curetur, donec consolidetur.	Then it will be treated until it is consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But to me these two species of cauterization seem to be entirely useless except in certain people according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And it is better for him to leave with his own safety than to be treated by me.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity, just as we have testified in other limbs; and especially when an invalid's head is naturally weak. And indeed, the first species of cauterization is more safe and better for me to use, and I employ it: therefore I will work with it for the sake of salvation.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the manner of cauterizing the head when the whole head is in pain.
Caput III.	Chapter 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When a chronic pain occurs throughout the whole head and it is prolonged in an invalid, and he uses herbs, and poultices, and purgatives, and oils, and embrocations.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one cauterization, which we have narrated, and brings him no relief from those things: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if an invalid's head is strong and natural, and not weak, and it finds a moderate coldness: then cauterize with another cauterization under that slightly.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize it over the whole horn of his own head with a cauterization, so that it does not penetrate the skin and opens up from the bone the quantity which we have narrated.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize it with one cauterization at the back of his own head, in the place which is called the "vas": and this is the location where the "ventosa" is placed; and elevate your mat there, and do not open up the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For an invalid finds that because of this pain is very intense and different from the pains of all other cauterizations on the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say this about the Cauterion in its place; and it is necessary that it be a cauterization by which the horns of the head are cauterized, and the back of his head is cauterized more finely with a cauterization by which the middle part of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the method of cauterizing in a headache, both with burnt medicine and with iron.
Caput IIII.	Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occur on the head, or when the pain extends to the eye, and the head is cleansed with purging medicines, and the rest of the treatment, which I mentioned in the divisions of afflictions, is administered, but that does not provide a complete cure: then cauterization is done in this case by two methods: either with medicine that burns sharply, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization with sharp-burning medicine is this: you take a single tooth of garlic, and peel it, and cut off its ends from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then divide the painful area with a broad lancet at the proper time, until there is a spot beneath the skin where the tooth is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then insert it into the spot beneath the skin until it is hidden: then tie a cloth over it with a gentle constriction and let it be for fifteen hours. Then release it, extract the garlic, and let it sit for two or three days afterwards. Afterwards, place a poultice submerged in butter on top of it until the area becomes pus-filled. Then care for it with an ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with some burning medicines which I wrote about in the 12th treatise, On Blistering Medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization of it with iron is done according to this method.
Igni Cauterium, cuius forma haec est.	Fire Cautery, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Clavilis, because the form of its head is like the form of a hook, in which there is some curvature, and in the middle of it is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it over the spot and hold your hand steady. And you should turn the iron slowly with speed, and let the part that is burned be as thick as the skin's middle portion.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift up your hand so that the artery which is below is not burned, and a flow of blood may occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the cloth in salt water and place it on the spot, and leave it for three days. Then put the cloth with butter; afterwards care for it with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this headache with the extremity of a second-edged cauterizing knife.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into an artery in this headache, not properly old-fashioned.
¶ De modo cauteriezandi in hemicrania antiqua.	On the manner of cauterizing in ancient headache.
Caput V.	Chapter V.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you are treating a headache, following what we said earlier in the previous treatment and in the divisions of illnesses, and the cure does not help: and you see from the illness that what we said about the first cauterization with medicine or with fire is not enough for him, then it is necessary to use the Ignias Cauterium with a knife, until it becomes white after you have marked above the place of pain with a line, whose length is half a finger or so: and put your hand on one side, and tie it tight until you cut into the artery and reach the mouth.
