Praefatio.	Here is the translation:
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced a cancerous abscess; and it ulcerated after some days, until the wickedness of his patient was glorified with his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is this? Because when a pure cancer arises from melancholic humor, then it is not necessary to cut into it entirely with iron, unless it is in a limb that can tolerate it, so that the whole thing may be removed.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for this reason, O sons, it is necessary for you to know that the operation is divided into two divisions by hand: namely, an operation with which salvation is associated: and an operation, with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already stirred up everywhere in this book where the operation comes that has fear and trembling.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that and leave it alone: so that the foolish may not find a way to speak and shamefully expose.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, receive with solicitude and protection the measure, and treat your infirm patients with ease and firmness, and use a better way guided by the grace of God to salvation and a praiseworthy succession: and leave behind terrible sufferings that hinder difficult healing; and lift up your souls from what makes you fear, so that hesitation may enter upon you in your faith and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining for your glory, and higher in this world, and finally for your accounts.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Galenus indeed said in some of his warnings.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You will not heal bad illnesses: lest you be called evil doctors.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	But now I have divided this Treatise into three Chapters.
Capitulum primum.	The First Chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On cauterization with fire and cauterization with sharp medicine, set forth and arranged from head to feet, and the forms of instruments and tools of cauterization: and all that is necessary for the operation.
Capitulum secundum.	The Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On section and perforation, bloodletting and venesection, and wounds: and the extraction of arrows, and similar things to these: and all set forth in the forms of instruments.
Capitulum tertium.	The Third Chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration, and dislocation, and curing of twisting, and similar things to these: set forth in the forms of instruments, from head to feet.
Soli Deo Gloria.	To God alone be the glory.
Liber Chirurgici Albucasis.	Book of Surgery by Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	About the application and harm of cauterization: to what humoral conditions it is suitable, when to use it, and whether with iron or gold.
Caput I.	Chapter 1.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But first of all it is necessary to recall the nature of its benefits and harms, as well as how it should be exhibited in a given complexion.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the discourse on the quality of the benefits and harms of cauterization is a lengthy and subtle one, requiring knowledge and secrecy.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	And many wise men have spoken on the subject, and they have disagreed among themselves; and for my part, I am content with a little of their words, fearing prolongation.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cauterization is beneficial to all complexions, both those with material and those without; excepting only two complexions, which are the hot dry complexion without material and the dry complexion without material.
In complexione autem calida et sicca cum materia dissenserunt.	But in a hot and dry complexion with material there was disagreement.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some said that cauterization is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of this, namely that cauterization is not suitable in a disease which arises from heat and dryness; because nature's fire is heat: and it is unsuitable to heal a hot and dry disease with something hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who said the opposite of this said: that through cauterization there is benefit in every hot and dry disease which occurs in human bodies; because when you compare a human body and its moisture to the fiery complexion, you find the human body to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I indeed say so by his words; because through experiment it has been revealed to me on several occasions.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not proper for someone to attempt this unless they have already been proven and trained in the last exercise of Cauterization, and know the diversity of human complexions, and the disposition of diseases within themselves, and their causes, and accidents, and the time span of these.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But as for the other complexions, there is no fear over you: and particularly in cold and moist diseases.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For now all doctors have agreed on these, and have not disagreed with the use of cauterization in them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, sons, that from the secret of healing by Cauterization with fire, and the excellence of it over Cauterization with medicine burning together is this: because fire is simple, whose action does not reach unless to the part that is cauterized; and it does not harm another adjacent member, unless for a small amount.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	The action of medicine burning together reaches to that which is separated from the member; and perhaps makes an affliction occur in the member difficult to heal, and perhaps kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire, because of its subtlety and goodness of substance, does not do that unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	And now it has become known to us through experience, because of the length of service and study with art, and standing on the truth of things: and because of this I excuse myself from the length of speech.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so, because it is not permitted to this book of mine, I would reveal to you the secret mystery in fire, and the quality of its operation in bodies of expulsion, whereby it expels diseases by a philosophical demonstration, which would be sharpened in your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, sons, that they themselves disagree on the time in which cauterization should be done, and put forward a better time for truth.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cauterization is fitting at any time: therefore, since the harm occurring due to time is submerged in the benefit that is attracted with cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cauterization is done on account of necessary pains, strong ones, festive ones, which do not tolerate delay: therefore because one fears from them that a greater mischief may happen, than a small harm that passes by due to the time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let it not fall into your minds, O sons, that which the uncouth and foolish doctors do not esteem, namely that those who are sickened by what is cured through cauterization are not always restored: and they put forth as a consequence, and it is not as they suppose: therefore because cauterization is not, except in place of medicine, which alters the complexion, and dries up the moistures that are causes why pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization is superfluous over medicine due to the swiftness of its own health, and the virtue of its own operation, and the vehemence of its own dominion: and it is possible that illness returns at some hour's time according to the patient's complexion, and the location of their illness, and its virtue: and what is prepared in their body from the aggregation of superfluities within them: and what reaches it through acquisition from foods and similar things from causes, unless there is an illness where cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle illness in a member of few superfluities and moistures, such as cauterization of the tooth, on account of pain, and similar things: for it is possible that the pain does not return in that place.
Sed illud fit in paucis.	But this happens in a few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the common people's saying again is that cauterization is the last resort of medicine, it is a true statement: not as they intend in that respect: because they believe that there is no cure which contributes along with medicine, nor along with anything else after the occasion of cauterization.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	However, the fact and intention are contrary to that, because cauterization is not the last resort of medicine, unless when we administer methods of cure for some illness, and they do not contribute with medicines: then we administer at the end of things cauterization, and it contributes: thus it falls out, that cauterization is the last resort of medicine, not according to the intention which the common people and many foolish doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancient ones said that the cautery instrument with gold is better than the one with iron. And they didn't say this unless it was due to the equality of gold and the subtlety of its substance. And they said that the place of the cautery does not create pus.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But that is not absolutely true: for I have already tested it and found that it does not do so in certain bodies without other things.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And the cautery instrument with that is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you put the gold cautery instrument into fire to burn it, it is not revealed to you what is burning according to the amount you desire, because of the redness of the gold: and when it cools down a bit, and if you add superfluous ignition, it melts in the fire and turns into plates.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, the craftsman falls into that occupation: and because of this, a cautery instrument with iron is quicker and more nearby among us, due to its rightness for the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I indeed have arranged this Chapter on Caustic Instruments, according to chapters, and arranged it from head to foot so that those seeking something from it may easily find what they want.
¶ De modo cauterizandi Caput in commissura coronali.	Of the manner of cauterizing the Head at the coronal suture.
Caput II.	Chapter 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	This cauterization brings about the dominance of moisture and coldness over the brain: which two are the causes of headache, and the multitude of fluxes of humors from the head to the eyes and ears, and the multitude of sleep, and toothache, and throatache: and universally all kinds of illnesses that occur due to coldness, such as paralysis, epilepsy, apoplexy, and similar ones from those illnesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is, that you prepare the patient: so that it may be done with a solvent and cleansing medicine three nights, or four, according to what the weakness of the patient requires, and his age, and custom.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then instruct him to make his head bald with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands square, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger has reached, mark that spot with an inkstick.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the oil cautery by fire: which is in this form.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it on the marked spot with ink, slowly turning your hand down and reversing it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift up your hand and look at the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	For if you see already opened up from bone a quantity of skull or a quantity of zeuberbe, then lift up your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat your hand with the same iron or with another one that has been cooled; until you see the bones which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from salt and dissolve it in water, and pour it into the wound, and place it on top; and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place the soaked compress on top of the wound and leave it there until the scab is burned away.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then care for that with the ointment Tetrapharmakon until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They have said that the more a wound remains open, the more it discharges pus: therefore it is better and more beneficial.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said that the skin should be cauterized all the way to the bone: and the cautery should be held until something thickened on the bone is burned.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then it should be scraped after what has been burned away from the bone, then it should be healed.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to reach the very end with the cautery, until it imprints on the bone a form like a kirate: or an instrument which women use, infused with small alphabet letters; and they suppose that vapors of the head are exhaled from this place, and the wound should be left open for a long time.
Deinde curetur, donec consolidetur.	Then it will be treated until it is consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two kinds of cauterization do not seem to me entirely evident, except in certain people according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to let him go, with his own safety, is better for him in my opinion.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity, as we have testified in other members; and especially when the head of the weak person is naturally feeble: and indeed, the first kind of cauterization seems to me more salutary and better, and I use it: therefore, I operate with it for the sake of health.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the manner of cauterizing the head when the entire head is in pain.
Caput III.	Chapter 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When a chronic pain occurs throughout the whole head and is prolonged in the sick person, and they use hellebores, cumin, heads of garlic, and oils, and emplastrums.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with the first kind of cauterization that we have described, and does not bring him any relief from those things; then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the weak person is strong in natural creation and is not feeble, and finds a moderate coldness: then cauterize with another kind of cauterization slightly below that.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize him above all the horns of his own head with a cauterization, so that it does not pass through the skin and open up on the bone as much as we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize him with the first kind of cauterization on the back of his own head, in the place which is called the "vase": and it is a location where the vertebrae are placed: and lift up your matron's hands in this way, and do not open up the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the sick person finds that because of that severe pain, it is different from the pain of all the other cauterizations of the head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say this about the cauterization in its place: and it is necessary that it be a cauterization by which the horns of the head are cauterized, and the back of his head is slightly cauterized with a cauterization by which the middle of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	About the manner of cauterizing in a headache, whether with burnt medicine or with iron.
Caput IIII.	Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occur on the head, or when the pain extends to the eye, and the head is cleansed with medicines and the rest of the treatment, which I said in the divisions of illnesses, is not effective; then cauterization should be done in this case by two methods: either with a burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization with a burning medicine is this: you should take one tooth of garlic, remove the bark from it, and cut off the ends on both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then split the painful area with a wide lancet until a space is made beneath the skin where the tooth can be inserted.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Therefore insert it into the space beneath the skin until it is hidden; then tie over it with a thread of decent constriction, and leave it for fifteen hours; afterwards dissolve it and remove the garlic, and let it rest for two or three days: after that put on top of it a poultice soaked in butter until the wound produces pus; then treat it with an ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with certain burning medicines that I wrote about in the twelfth book of my treatise on Igniting Medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization with iron is according to this method.
Igni Cauterium, cuius forma haec est.	Fire Cautery, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called Clauilis: because the form of its head is like that of a hook, which has some curvature, and in the middle of it is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the spot and hold your hand; and turn the iron slowly with some speed; and let the amount that is burned be equal to the thickness of the skin, like its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift up your hand so that the artery below may not be burnt and a flow of blood does not occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the poultice in salt water, and place it on the spot, and let it be for three days. Then place the poultice with butter. Afterward care for it with ointment until it is healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this cerebral hemorrhage with the second edge of a cauterizer.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into an artery in this cerebral hemorrhage, nor make it one's own.
¶ De modo cauteriezandi in hemicrania antiqua.	On the manner of cauterizing in old-fashioned brain hematomas.
Caput V.	Head 5.
