Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqashani's words.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he returned the second time according to his desires, and he returned the prayer, and he returned the release by some days and commanded that we release the bond; and so it was, then the crotch and the foot are opened, and come to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to release the bond, and achieved peace and ease of their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, corruption was confirmed in the member, so that I could not restrain it, and I did not stop the movement of corruption in the member until the patient was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous apoplema; and it became ulcerated by a few days, so that the malice of it was increased by the Lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For that reason is that the cold cauterization is pure of melancholic humor; therefore it does not cover that it comes to him by all means, but that it is in a member which you suffer that of all things is host.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary for you that the operation at hand be divided into two parts: one in the operation to which health is associated, and work in the performance of which danger is present.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already done here in all places of this book in which it is wrong and fear; so that it is necessary for you to guard here and let those go, so that the pages do not rob your way to speak and distract you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with diligence and protection of God, and your misfortunes with kindness and constancy.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to attain to salvation and the laudable succession, and leave the terrible difficulties of difficult recovery; and retain your weapons from here that you may be afraid, so that it is left in your faith and your name does not escape: for it remains to your glory, and later, at the end, to your sanctifications.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia has already been said in some of its warnings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not prescribe evil medicine, so that you do not give bad doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered from the head to the feet, in the shapes of tools and instruments of cauterizing, and that is necessary in the operation.
La divisio de la segonda partida.	Begin the division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter is divided into two parts: the one which is for the operation of the sides and the other for the operation of the heart; all well ordered and arranged according to the shapes of tools.
Divisio de la tersa partida.	Begin the division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is divided into three parts: the one which is of the restoration and displacement, and the cure of twisted things and similar to them; a chapter well ordered from head to foot, and of the shapes of tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cauterizing and acute medicine and recall of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of the growths of that cauterizing and the danger of it; and in what combination it is forbidden to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then I say that the speech of the quality of cauterizing and the danger of it is long and wordy, and subtle by science, and hidden; and of it has spoken much wisdom, and I am satisfied with a little of their speeches, for they are long.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterizing confers on all combinations universally; which are two combinations, which are combination of tail and head, and the head of the tail.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of tail and dry matter is disagree; for some say that cauterizing is beneficial to that, and others say the opposite, that cauterizing is not suitable in a dry disease which has quality and dryness, since the nature of fire is quality and dryness, and it is not suitable that such a dry disease be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who says the opposite of that, that by cauterizing is made beneficial in all dry disease which has quality and dryness, because when you compare the bodies of men with the moisture of them to the combination of fire, you find the bodies of men burning.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that, which I have already experienced here sometimes to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however I do not cover that come on this it which he is already exproat and excersitat in the chapter of cautery per latter exercise, and knows the difference of the complexity of men and the disposition of the maladys in their meteyssas, and causes of those, and the accidents of their, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Mays in the other complexities, it is not upon you fear, and most importantly in the maladys that are moist and cold, because all doctors have agreed on those, and do not differ in the exercise to make cauterization in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that of the secret of cure by cautery with fire and of the goodness of it, is because the fire is simple, the action of which does not reach but to the member that is cauterized and not to the other member by the application thereof but to a slight injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the burning medicine reaches to that in the members which makes it very hot, and does not cool but brings fever; it very much hurts the member that is being cauterized, but does not hurt that which is opposite.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its smallness and its substance goodness does not cause it but that which is superfluous; And I have already known by experience and by length of service in the study about the truth of causes; and because of this I am excused from the length of the speech And if it were not that it is not read at my hand in a moment to you hidden with the fire, and the quality of the operation of it in the bodies and of its expulsion by which it expels the maladies, by philosophical speech, which would serve to acute your ears.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, children, that the seasons do not agree as to the time when it is convenient to make cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the injury by the time is immersed in the movement of it which is drawn out by cauterization, and more if cauterization is for pains or necessary pains, which do not suffer delay because of which they are feared from those that come evil, which is greater than a small injury entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus do not make it in your ears, or children, this I say to you, but that the popular and foolish people consider; so that to those diseases which are cured by cauterization is not convenient always, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good then that you do as they do for it, because cauterization is only in place of medicine which alters the complexity and dries up the moisture which is the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however cauterization superfluous over medicine because of its value and the goodness of its operation and the greatness of its Lord's power.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the malady return at any hour of time, according to the complexity of the malady and the location of the malady and the goodness of it, and because of this, it is prepared in its body by the addition of superfluous things in it, and because of which it is obtained from it in its acquisition in food and semblantz of those causes; but that the malady for which cauterization is administered is a subtle malady in a member of few superfluous things and moisture, then cauterization of tooth for pain and resembling that one, it is possible that in him does not return that pain, but comes in small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And however the popular speech is that cauterization is the last remedy of medicine, and it is a foolish speech, not to those who understand it, because they believe that it is a cure which profits by medicine or by another cause; but that the speech is right to you, children, because I will explain why.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is opposite to that; and my intention that cauterization is the last remedy of medicine is only when we administer the methods of cure in some diseases, and those medicines do not profit, and at the end of the cause we administer cauterization, and it profits to him.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And therefore I say that cauterization is the last remedy of medicine, not according to the speech which the popular and foolish people understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that cauterization with gold is better than cauterization with iron, and do not say this only because of the equality of gold and its smallness; and from this it is known to you that it is a popular saying.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not cause pain, if it is not completely good, because I have seen and attracted that this does not cause pain to that one but to another; and cauterization with gold is good and better than cauterization with iron, which they say; but when you make cauterization with fire of gold, it is not known to you, because it is made by the quantity that you want for the roughness of the gold, and because it prepares to receive a cut; and if you place over it an ignition it creates the gold to the fire, and possibly in the fire some scales from which the artifice cuts himself because of the occupation of this one.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And by the way, it is necessary to make cauterization with iron very lightly and then carefully in the order of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter in cauterization according to the other chapters, and I have ordered those within the chapters that suit you best for so that you ask what you want of them.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cauterization with pains of the head because of coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on moisture and coldness on the servel accident of which two causes; so is a cause of soda and many fluxes of rheumatic, called corss, from the head to the branches of the neck flowing, and many sleeping, and pain of teeth and the golaeryo, and generally of all diseases that are caused by coldness; then, in a way similar to those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is that first you command the malady that it be evacuated by medicine lacative, exposing the head, for three or four nights, according to what you require from the goodness of the malady and the age of it and its costume.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head with a razor, and then let that person sit between your legs on a bench and place his hands over the feet of his Lord.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the cut from your palm near the hand on the cut of the nose between the branches of his lord.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But however, when the young man says of his place it has come, then mark that place by trying, and order to make cauterization with olive oil of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then let that sit on the place carefully as it descends, by which the hand of the young man is tightly pressed little by little, and you turn that person.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the place, and if you see any quantity of hair already falling, as well as the quantity of gravel that falls from it, then raise your hand again; and if not return your hand to him with iron, with another from it, if it is cold, within which I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve that person on the place and leave that for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then let that sit in the fire's bed covered with a cloth and leave that within which is destroyed the scale of the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the place with a four-fold bitter medicine within which be cured.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it was said that when the Roman plague broke out, so much better was the harvest, because it is better and more fruitful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the cord within the bone should be cauterized, and cautery should be placed within so that a small part of the bone's tissue is burned.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then let water be poured that is close to the bone, and then let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that the cautery should reach the back, inside the bone so that it doesn't break through, and this is the form of small surgery.
E estiman de aquel loc expiran la vapors del cap.	They recommend exhaling the vapors from above that spot.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the wound be kept open for a long time, and then let it be cured within so that it hardens.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two types of cauterization in all places, but in some cases out of fear; and this one, in my opinion, is better to save when it is necessary because the head is a central part for the continuity of life in the whole body, and more so when the patient' head is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cauterization is better saved and more useful to me; and from that, I choose this work to save life.
Capitol segon.	Second.
Del cauteri del cap.	Of the head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head chronic and prolonged pain occurs due to water in the skull, and it is used with scalpel and scythes and poultices and plasters and compresses and balms, and more so if the head has already been cauterized with a cauterizer that was not effective for some reason, then consider that since the patient' head is of strong creation in its nature; and it is not pleasant and causes a great pain, then let another cauterization be performed after a short time.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then let that one be cauterized on the edge of his hairline with cautery within so that the cord is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Then cut the cord and expose a small amount of bone where we have counted and cauterize that one with a cauterizer in the back of the head at the location called "vas," — and this is the spot where wind is felt.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And rejoice in your healing, and do not expose the bone because the water causes great pain that is different from the pain of all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And let this cauterization be performed in its location, because, as we have said, the cauterization with which the hairline of the head and the occiput are treated is subtler cauterization than that with which the back of the head is treated; and this is the form.
Capitol ters.	Third.
De cauterisacio de emigranea no-antiqua.	Of cauterization for emigre.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain in the edge of the head is hard, or there is pain inside the ear, then wash the head with medicine, and administer another treatment, which I have described in the causes of headaches; and if it does not benefit, then cauterize it in two ways: either with burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Perhaps cauterizing with burning medicine is better than taking a dolent of ale, and scraping that one and cleaning the ends from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the area of pain in the temple with a sharp scalpel within so that the cord is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then tighten it on the affected area with a strong constriction, and leave it for three hours; then dip the area in oil, and leave the plague for two or three days, and then place it under water within the location where the pain is felt.
E aprop cura aquel am enguent entro que sia sanat.	Then let that one be cured with ointment so that it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want, there are some medicines described in the second book of burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perhaps cauterizing with iron according to this method:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a small peg, because the head is thus shaped like a peg and there is a small curve in its middle; and in the middle of it is a slight prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the painful spot, and hold your hand away from it — so that the iron does not burn your hand — and move the small piece of iron slowly over the area.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of the liquid that is absorbed by the tissue of the cord is thus much, and then raise your hand away from it so that the artery does not burn, which is left, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the cord in salt water and place it on the spot, and leave it for three days; then dip the area at the edge slightly with oil, and let that one be cured with ointment so that it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see this, cauterize the end of the knife according to cauterization and be careful not to cut the artery in this non-traditional emigre.
Capitol quart.	Fourth.
De cauterizacio d’emigranea antiqua.	Of cauterization for an ancient emigre.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an emigre with water described in the previous treatment and in the division of headaches, and if that treatment does not benefit, and sometimes because of the headache caused by water, which we have said to be treated with a scalpel cauterization so that it whitens, because it indicates on the area of pain according to its length from which the majority of it comes, or where it is; then pause your hand for a moment and tighten it within a strong constriction, and place the tip of a sharp knife on fire until it becomes white-hot, and then apply it to the affected area so that it burns.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jaw, which is moved during mastication, and that the tongue is not burned and the nerves are not damaged, and that it does not become spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and safety of the flow of blood from the artery that is being cut off, for in the cutting of it is fear, and more so when you do not know what water is used and you are not careful and attentive; then let the operation begin on the patient at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come to the memory of the accident of blood flow from the artery according to his way, in his location of this freedom.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this headache does not benefit from that cauterization and the cord of the emigre is tolerable, then let that one be cauterized in the middle of the head according to what we have described, and cure the plague so that it heals.
