Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaa'.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then he removed the plaster according to his desires and prayer, and he left it for several days and commanded us to remove the ligament; and thus, in the end, the crotch was opened with an abscess, and came to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I dressed the ligament so that it was quiet and gave no more pain of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already become established in the member, so I could not restrain that one, and I did not stop walking the corruption in the member until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess of cancer and it became an ulcer in a few days, so that the evil of it reached its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	For the cause is that the cold cautery is pure of melancholic humors; therefore it does not seem to reach him by all means, but that he should be on a member which you suffer all to be host.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary to you that the operation on man should be divided into two operations; one in which health is associated with work, and the other in which danger lies in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already kept it here in all places of this book in which work is done by mistake and fear; therefore it is necessary for you to keep it and not open it, so that the pages do not block your way to speak or disturb you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Then take your weapons with care and protection of God, and your illnesses with relief and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Then take your best way through the grace of God for salvation and worthy succession, and leave those terrible illnesses of difficult recovery, and keep your weapons from here which makes you afraid, so that it does not escape you in your faith and in your name: for more remains to your glory, and first and last before your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia has said in some of his advice:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not cure a bad disease so that you do not have to deal with bad doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by head, in the shapes of instruments and tools of cauterization, and from that which is necessary for surgery.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cutting and piercing, and of vacuums, and of extractions of arrows and resembling those, is divided and ordered by the shapes of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and of cure of torsion and resembling those; chapter ordered by head, in the shapes of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of fire cauterization and acute medicine and remembrance of surgery.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will tell you the quality of the joints of cauterization and the important points of it, and in which combination it should be prohibited to make cauterization.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of the joint of cauterization and the important points of it is long and prolix, and subtle by science, and hidden; and from him a great many of knowledge, and from him they disagree, and for me a little of their speeches is enough for understanding.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that cauterization confers on all combinations universally the same quality; except for two combinations which are combinations of five parts.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the combination of tail and dry matter it will disagree; for some say that cauterization is favorable to that one, and others say the opposite that cauterization is not suitable in a disease of quality and dryness, because the nature of fire is quality and dryness, and it is not suitable that a disease of tail and dry matter be healed by the same which is dry and hot.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	He who says the opposite of that one, is it not favorable in all disease of tail and dry matter which he sees in men's bodies; because when you compare men's bodies with the dryness of him to the combination of fire, he frightens his own body.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that man, who experienced this already a few times to uncover it.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But nevertheless I do not cover that it comes upon this one which is already exhausted and exercised in the chapter of cauterization per latter exercise, and has known the diversity of the complexions of men and the causes of those, and the accidents of their own, and the space of the time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Mays in the other complexions, it is not upon you a fear, and mostly in the wet and damp diseases, since all doctors are agreed about them, and they are not discordant in the cauterization of those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that of the secret of cure per cautery by fire and of the goodness of it, it is because the fire is simple, the action of which does not reach but to the member which is cauterized and not to another member with the medicine applied, since it is only a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of the burning medicine reaches that member which it is applied to, and strongly brings about a healing in the sickly member, and strongly it has a taste.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, for its subtlety and its substance goodness, does not affect it but that it overflows And I have already known it by experience and by long service in studying the truth of causes; and through this one I am excused from the length of speech And if it were not that it is not legible to me at my own will in this pause to you hidden with fire, and the quality of the operation of it on the bodies and of its excretion by which it eliminates the diseases, with philosophical demonstrative speech, which would serve acutely in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, children, that they disagree about the time in which it is convenient to make cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at all times, so that the injury by time is submerged in the healing of it that is drawn out by cauterization, and mostly if the cauterization is for pains or necessary pains, which do not suffer a delay since they are feared from those which come out by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And then do not cast in your minds, or children, that this is only the popular belief and foolish practices; since it is because all disease which is healed by cauterization is not suitable at all times, and pause at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not good in that way which they watch by it, since cauterization is only a place of medicine which alters the complexion and dries up the humidities which are the causes from which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless cauterization in excess over the medicine by the will of its usefulness and the virtue of its operation and greatness of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease which was administered to it by medicine returns in some hour of time, according to the complexion of the patient and the location of his disease, and the virtue of it; and because it was prepared in its body with the addition of its excesses to its food and the resemblance to those causes; but if the disease which was healed by this is subtle in a member of few excesses and humidities, then, if that medicine for a tooth pain is similar to it, it is possible that in him it does not return that pain, but that it goes away.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	But popular speech is that cauterization is the last remedy of medicine, and it is a harsh speech, not to him who understands it, since I believe that it is no cure which profited by medicine or any other cause; but cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and I say that cauterization is the last remedy of medicine only when we administer the methods of cure in some diseases, and those medicines do not benefit, and at the end of the cause we administer medicine to him, and it benefits at that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then from here I say that cauterization is the last remedy of medicine, not according to the understanding which I have of the popular beliefs and silly practices of doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they say that cauterization with gold is better than cauterization with iron, and do not say this one but for the equality of gold and its subtlety.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they say that the place of cauterization does not burn, since I have already seen it and touched it that this one does not burn except in some courses where the others do; and cauterization with iron is good and better than that with gold as they say; but when you make cauterization with fire of gold, it is not revealed to you, because it depends on the quantity which you want for the roughness of gold, and because it prepares to receive it in the fire; and if you place over it ignitions so that gold burns by the fire, and perhaps in the fire some sheets by which the artisan cuts himself through its occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this one is made cauterization with iron, it must be done lightly and carefully on the right side of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cauterization according to the other chapters, and I have ordered those within the chapters so that they answer your questions which you want about them.
De cauteri de dolor de cap per frigiditat e humiditat.	About cauterization for a headache by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on humidity and cold the accident of which there are two causes; so it is a cause of soda and many fluxes of rheumatic fever, called rhagousia, from the head to the branches of the neck and ears flowing, and many sleeping, and toothache and gingivitis, and generally in all diseases that come by cold; so also, for those which are paralyzed, and sudorously and apoplexially.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is that, first of all, you command the patient to be evacuated by lacative medicine from his head, for three or four nights, according to whether you require the virtue of the disease and its age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then order him to shave his head with a razor, and then make him sit between your legs on a bench that is raised, and place his hands over the area.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the movement of your palm on top of the movements of the razor on his nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But nevertheless, when this one says about the place of your head, it is reached, and then take the olive oil with your hand on that place; and then ignite cauterization in its middle.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause it on the place gently, so that it goes down slowly, and your hand is put into constraint little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand slightly and look at the place, and if you see some quantity of hair fall off, like the amount of salt in water, then lower your hand, and if it does not turn to iron, then move it from that one, if it is cold, before you see the bone which I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it on that place and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause over it wrapped in a bandage and leave it under it until the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure that place with a fourfold medicinal ointment so that it be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the Roman plague raged, so many were burned with fire; because it was better and more pleasant.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they say some of their that is cauterized within the bone, and it should be heated to dry up a part of its surface.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And be it cut off that which is close to the bone, and be it healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said to me that the cautery should go up to the last, until it reaches the strong bone, and this is the form of the little alpaca:
E estiman de aquel loc expiran la vapors del cap.	And they say from that place exhale the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the blister should be kept open for a long time, and be it healed before it hardens.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I do not see these two kinds of cauterizing at all, except in the case of a great fear; and let this one be better if it is healed, since the head is destroyed by solution of continuity from it, as we have shown in the other members, and especially when the patient's head is of freckle nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cauterizing is better saved and more useful to me; and of that one, and of that work, I am a supporter.
Capitol segon.	Capitolo secondo.
Del cauteri del cap.	Of the head cauterizing.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head chronic and long pain occurs, and water remains in the patient's head for a long time, and he uses plasters and poultices and salves and ointments and ointments and oils and perfumes, and especially if he has already been cauterized with one type of cauterizing and does not profit from another, consider that if the head of the patient is of strong creation in its nature; and it is not pleasant and causes much pain, then cauterize it with another cauterizing.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that on the tip of his head with a cauterizing, so that the knot is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the knot and expose the bone as much as we have said, and cauterize that in the last part of the head behind the ear - and it is that place where wind is let out.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And rejoice your hand in it, and do not expose the bone, for the patient' water causes great pain, different from the pain of all the other head cauterizing.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And direct this cauterizing to its place, for what is more subtle cauterizing of the head's horns and the occiput than that cauterizing with which it is cauterized in the back of the head; and this is the form of it.
Capitol ters.	Capitolo terzo.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of an old emigrant.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When in the back of the head hard pain occurs, or it hurts within the ear, have the head cleansed with medicine, and administered another cure, which I have mentioned in the causes of the head' water; and does not profit from it, then cauterize it twice: either with acuter medication that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterizing with acuter medication that burns is to take a piece of lead, and burn it, and rub the edges of both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then cut the place of pain in the temple with a sharp knife, so that it is within it, so that the knot is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then hold it with a stopwatch by constant contraction, and leave it for three hours; then take off the lead, and keep the blister for two or three days, and put your hand on it submerged in water until the place is pain-free.
E aprop cura aquel am enguent entro que sia sanat.	Then heal that with ointment so that it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, there are some medicines with which I have written in the two treatises of burning medicine.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterizing with iron according to this method: this is its form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	is called a little peg, because the head is thus shaped in its form as a peg has some curvature, and it is at its midpoint that there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then put your hand on the place of pain and hold it firmly  - so that the peg is not broken - and turn the small iron slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount of it that is dried up by the knot is about half of it, and raise your hand so that the artery is not broken, so that blood does not flow from it.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip the cloth in salt water and put it on the place, and leave it for three days; then dip the cloth slightly under the edge, and heal that with ointment so that it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see it, cauterize the end of the knife according to cauterizing, and beware of cutting the artery in this old emigrant properly.
Capitol quart.	Capitolo quarto.
De cauterizacio d’emigranea antiqua.	Of the cauterization of an old emigrant.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an old emigrant with water that I have mentioned in the previous cure, and which is not profitable for the emigrant' water, and sometimes because of the cause of the head' water which I have mentioned in the causes of the head' water, and does not profit from it, and sometimes because of the cause of the head' water that I have mentioned according to cauterizing with a knife, so that it is white, since it indicates on the place of pain with a long line that is half of it; and leave your hand for a turn, and firmly hold it within incision of the artery and turn the knife within it, so that the iron goes into it.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to protect the continuity of the jaw which is tightly bound by mastication, and that the larynx is not broken, and the nerves are not damaged, and do not get entangled by a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and safety of the flow of blood from the artery that is cut off, since in the cutting off of it there is danger, and mostly at the one which does not know water and is not studious and is impatient; and leave the operation on it at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come to mind with the memory of the accident of blood flow of the artery according to your method, in its place from this free.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If this old head does not profit from this cauterizing and the patient' neck is tolerable, then cauterize that in the middle of the head according to what we have said, and heal the blister so that it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cauterizing that I have mentioned in the chapter of stretching the artery by two knives, and it is better cauterization than this, and confirm more.
Capitol .v.	Capitolo quinto.
