Ayssi comensan las paraulas de Albucasim .	Ayssi learns words from Albuquerque.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the member, so he could not restrain that and prevent the spread of corruption within the affected area where the disease persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A doctor, another one who cures an abscess with cancer, and it became an ulcer close to the scrotum of days, during which the evilness of his lord increased greatly.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for his melancholamoody nature is not that he has lost all hope of ever achieving greatness, but rather because he feels estranged from everything around him and experiences a sense of loneliness.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	As for water quality and children's health, it is necessary that the operation be divided into two components: one related to health benefits and another concerning potential risks in major exposure scenarios.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here is your text translated into English:
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Then take your arms to the sun, and may God be with you in your efforts and protect you, and may your sick ones find health and wellness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"We beseech you through the mercy of God to lose not your salvation and blessed succession, but lay aside your terrible illnesses which are difficult to heal, and abandon your weapons that bring fear upon you, so that by staying in faith and calling on Your Name, we may not be driven away from it. For more remains for our glory and the ultimate sanctity of Your Church."
Gualia ja diyssec en alcunas sieuas monicios:	Guåhån hai dísese' en ahas maunikesis:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There are no bad illnesses or diseases; we should not be afraid of them." (Note that this translation is more about conveying the meaning rather than providing a literal word-for-word translation, as Jèrriais can have idiomatic expressions and phrasings that don't directly correspond to English.)
E yeu ja he devesit aquest libre segontz tres capitols.	In accordance with your request, here is a simple structure for a book consisting of three chapters in English:
Comensa la divisio del libre, e primier de la primieyra partida.	Begin with the division of the land into two main sections from the first partition.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter organized in the Code of Medical Practices, concerning surgical instruments and their handles, as well as tools necessary for operations.
La divisio de la segonda partida.	The division of the second half.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Second Chapter, of Incision and Perforation, and of Cauterization, and of Cupping, and of Extraction of Sagets (Splinters), and of Similitudes Thereof, Comprises All in Regard to the Forms of Instruments.
Divisio de la tersa partida.	Thirds Division.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	First Capital Legislative Session, of Restoration and Relocation, and Treaty of Torque and Appearance for those involved; Capitol Ordered by the Head in Place, and Forms of Instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The burn on the arm is a common acute injury and requires immediate medical attention to prevent infection and promote healing. Here are some steps you can take if someone has suffered a minor burn:
Am aquel comensa le tractat de tot le libre.	In the beginning, God created the world. (Genesis 1:1)
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I inform you about the quality of the jewelry and the coins from that era, as well as in what context it was forbidden by decree.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The speech regarding the quality of childbirth during cauterization and death rites is a lengthy and prolcuous one, subtle by science, and somewhat secretive; already many wise people have spoken much about it, and they disagree among themselves; for me, at least a small part of their sermons suffices.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Then I'll say that "cautery" refers universally to the substance or material, with two exceptions which are materials without a specific substance.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of Cauda Equina Syndrome, the affected tissue dries out; some doctors suggest that a course of steroids should be considered for this condition, while others argue that steroids are not advisebecause the disease is characterized by qualities and dryness, and nature of the fire (inflammation) also has these qualities. It would therefore be counterproductive to treat this syndrome with water-like substances such as steroids for hydration.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The opposite of that which is said by Aquinas, who causes great suffering in all maladies such as the tail and dryness seen on men's bodies; when you compare the body of man to the moisture found therein with respect to fever, you find the body of a man parched.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Oh dear friend, I hope this message finds you well! It seems that someone has shared some information with me recently about certain discoveries they've made. Can we discuss it further? Your insights would be greatly appreciated. Wishing you all the best in your endeavors!
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, let him not neglect that which has been announced at the Capitol of Caudea after the third exercise, and known to be diverse in complexity of human affairs, disposition of diseases in their places, causes of those conditions, and the duration of such times.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In Mays and other complexities, it is not about your fear; mostly in damp and dirty illnesses, for all types of wounds are prone to those, and they do not resist when treated with a caustic agent therein.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Greetings, children, I shall tell you the secret of healing by fire and how its quality influences medicine when burnt. The fire is pure, and its action only reaches to the limb that has been cauterized; it does no harm to any other adjacent member.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"Mays' remedy for medicine brought relief to the limbs which he had injured, and greatly helped in bringing about recovery from difficult illnesses."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its sublimity and of its good substance, does not cause water but rather overflows; and it is known to us by experiment and by long experience from the study of the art concerning the truth of causes. Thus I am excused for the lengthiness of this discourse. If only because it was not fitting as a surprise gift to you, my dear friend in this brief interlude, yet still with affectionate allusion to fire, and the quality of its operation on bodies which expels illnesses - may these words be clear from philosophy demonstratively shown in your afflictions.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Ah, my children, though you disagree on the best time to undergo circumcision and rest during springtime, let us come together with understanding and respect for each other's opinions.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I believe that caulking is convenient at all times, for the minor damage caused by time can be overwherled in the flow of water around which the caulking is applied, especially if it's due to necessary or chronic pains, strong and festering ones, which do not tolerate delay because they would cause greater harm than small losses occurring through that period.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	In some cases, cats in your homes, or children, are not considered by only the vulgar people and foolish chefs, but it is that a certain illness which is treated with caution does not always recover, and they suffer from its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not always what people think it is; cautioning is not a substitute for medicine, which can alter the complexity and dry out excess moisture, which are causes that result in pain relief.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, he wasted unnecessary funds on the medicine due to his vanity and pride in his work and grandeur of his lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	E it is also possible that the disease may not return at any time in the future, depending on the complexity of the illness and its location within his body, as well as the virtue of him and how prepared he has been with regards to the accumulation of superfluous fluids in his body, and what has arrived to him through the acquisition of those foods and appearances. Nevertheless, it is possible that the disease for which cauterization was administered will not return as a subdued ailment within few members with superfluity and humidity, just like cauterization of teeth due to pain and appearance; rather, this may occur in him through proper care.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Cauterization is said to be the last resort of medicine and it's considered effective, although I do not understand how they achieve this in practice, as I believe that this procedure does not effectively treat any illness or provide justification for its use.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	In the case of fire hazard; and I believe that cauterization is not merely an alternative form of medicine but rather one of the methods used in curing certain illnesserenot administered as such), and at the end of the treatment, a patient undergoes cauterization, applying it to the affected area.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here is the translation of your text from Catalan to English:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients preferred gold to iron because they believed it possessed superior qualperties and did not mention any other substance but for the equality of gold and its sublimity in nature.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Five days later they say that the place of the cauldron does not work well, for if water is not absolutely hot it has been tasted and tested, because I have already tasted and tried that it does not make water but instead makes other vessels, and the cauldleteer says that this one is good and better than iron as they said; however, when you make a cauddle with gold from fire, it was not declared to you what proportion of gold you use for its color, and how to prepare for frying. And if you adjust above the flame, then gold appears on the flame, and sometimes there are some sheets which the craftsman uses for their work in that regard.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	E para agua é feito em bronze com ferro ligeiramente e proporcionalmente mais rígido para permitir movimentos durante a operação.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The Lord has decreed this chapter in the canon following other canons, and He has ordered those within its scope to be faithful to what they are required of them who ask for it.
De cauteri de dolor de cap per frigiditat e humiditat.	The frostbite headache due to cold and dampness.
Le capitol primier.	The first parliamentary building.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization provides humidity and coldness over the affected area due to which there are two main causes; one being the excessive blood flow from the head towards the ears and temples, as well as an increased quantity of sleeping, and pain in teeth and throat, generally regarding any illness that occurs because of coldness, such as paralysis, stroke, and similar conditions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The method of this cauterization is as follows, which primarily instructs the illness to be evacuated with a purgative medicine that purifies and cleanses for three or four nights, depending on the severity of the ailment and the age and habits of the patient.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Command your sheep to stand on the sharp-edged rock and have it lie down between them under a fallen tree trunk, then wait for its woolly offspring to follow suit beneath its legs.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Gently place the tip of your index finger on top of the nose bridge between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, with your description of that place being nearby, I attempted to find it and as you described, near the olive orchard there is indeed a structure resembling what you've depicted. The shape seems to be consistent with traditional cauterization methods used in ancient times for various purposes such as rituals or practical applications like clearing land.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Prepare the dough above the clean surface at hand, using a kneading technique to gradually stretch it until you can fold it over itself. Then roll out that piece of dough.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Aprop yourself slightly and look around the location, and if you see any part of the cap missing, then as with the quantity of grains in errors, raise your hand, and if it does not return to that place, or another of that kind there, if it is frozen, enter what I have told you above.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Dissolve a small amount of salt in the water and let it sit at that location for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	A) To place the pot on the stove, start by placing it over low heat until the bottom of the pot is heated evenly. B) Begin by setting the pan on a burner and turn the heat to medium-low, waiting for the entire surface of the bottom to warm up uniformly before proceednign further.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proper use of the local antiseptic, Tetragynol, will ensure that wounds heal faster and infection rates are reduced.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire collapsed, agriculture improved as land became more available and fertile, making it better for cultivation and yielding higher crops.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	After three days, let the calluses on their head be caulked inside the skull and have the caulkings inserted into any fissure within the bone structure of the skull.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper diet is both appropriate for the body and beneficial to health.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	After a few days, others arrived who had the lancet to apply at last, firstly inserting it into the bone with great care and then extracting it so that this was the form of small Alphabetic letters.
E estiman de aquel loc expiran la vapors del cap.	They estimate the place from which those fumes emanate.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	C may be exposed to the rain for long periods of time, and it must be repaired once it becomes dry again.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	In my opinion, these two species of caution should not be used at all, but only in extreme cases according to the rules of fear; and thus, your proposed solution is better for me than salutation, because he has been enlightened by solace from continuity of affection as we have testified among other members, especially when his head is afflicted with a natural evil.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first species of caution is to save and protect oneself well, and from that house one must safebly conduct the work.
Capitol segon.	Second edition of the Capitol series.
Del cauteri del cap.	The English translation of "Del cauteri del cap" is "Hair cutting". It refers to the process or act of trimming or removing hair, usually from one's head. This term could also be used in a broader sense for cutting hair on different parts of the body. However, without additional context it is hard to determine if there are any specific nuances.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, there are various causes of chronic headache and prolonged dizziness, including the use of glasses, hearing aids, nasal sprays, eye prostheses, otoscopes, dentures, spectacles, and false teeth; however, primarily if it has been cauterized with one caustic substance, none of these causes should be overlooked. At this time, consider that the cause of the headache is due to a strong constriction in its nature; therefore, it is not very effective and does not allepine much, especially if you have previously cauterized with another caustic substance only slightly.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A cautionary note on the subject of ear cauterization within the scope of traditional Chinese medicine is that it should only be performed by a trained and licensed practitioner, as there are risks associated with this procedure if not done correctly. Ear cauterization involves burning specific points or lines on the ear's outer ridge to treat various health issues according to acupuncture meridian theory.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the nail and reveal the bone; we have counted a certain amount that shall be cauterized using an instrument on the part behind the head in the location called 'vas', - and it is this place where the windpipe rests.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	The root of your head hurts and you can't find the bones, because this particular pain occurs due to a severe injury causing very different type of headache compared to all other types of cranial injuries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	In this treatment, place the caustic at its designated location where you have identified the affected area which requires cautery. The hairline of the scalp and occiput should be subjected to a finer cauterization than previously performed using a suitable tool for the job; here is the method:
Capitol ters.	Capital terms in the context of government and politics refer to important concepts, positions or phrases that are fundamental to understanding how a country's political system operamates. Some examples of capital terms include Democracy, Republic, Monarchy, Legislature, Executive, Judiciary, Constitution, Senate, House of Representatives, Prime Minister, President, and more.
De cauterisacio de emigranea no-antiqua.	Ancient non-cauterized wart removal.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of severe headache or when pain spreads to the eye, one should take detoxifying medications and receive other treatment as indicated for diseases; if this does not help, two types of cauterization can be performed later: using a heated acetic acid solution or metal.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May's caustic medicine should be an astringent that you pick up in the form of a sponge bath and apply it there while removing any dead tissue with scissors, and then bandage the area on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	A drop in the middle of the temple on one's forehead between two eyebrows is a sacred spot where wisdom and intuition reside; it should be touched with reverence as if entering a holy place. This practice can promote mental clarity, calmness, and spiritual connection.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	E approaches strong against the dam stopping descent, and leaves that for three hours; he releases the valves and pipes, and lays open the floodgates for two or three days, then rests on his submerged bottom in the boundary within which the area expands.
E aprop cura aquel am enguent entro que sia sanat.	C) In the event of an injury, please follow this procedure to ensure proper healing.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, here are some burning medicines that I have written in the aforementioned treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Mays performs a skin resurfacing procedure using the following technique: lasers for cauterization, according to this method. The shape of the resulting area is determined by the pattern and intensity of the laser application. Laser-based procedures allow for precise control over the treated areas, leading to effective and predictable results in skin resurfacing treatments such as reducing wrinkles or scars.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The tip of the leaf is pointed, just like the shape of a carnation with some curvedness, and in the middle part it's noticeably small.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	A) Approach the location of pain and take off your shoe so that it is not entangled with the arch support - and rotate the small metal rod slowly but quickly to increase speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood that is attached to the lower limb is equal to or greater than the required quantity, and you lift your leg such that the vessel is not clamped anymore, then there will be no flow of blood in which case an artery would not be clamped as it was previously, so there won't be any blood flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Boil the water with salt and let it cool down on the stove, then leave that overnight. Pour it three times into another pot made of clay or lead, and apply an ointment containing antiseptic within which he is cured.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, sterilize the edge of the knife according to aseptic technique, and watch for any signs of artery injury in this moving area properly.
