Ayssi comensan las paraulas de Albucasim .	Aysa learns the words of Albuquerque.
Divisio de la tersa partida.	Division of the third portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter on capital punishment, restoration and relocation, as well as treatment of torture and appearance towards those convicted; ordered by the head of justice department, and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The burn on the foot and acute medical conditions with reference to the surgery are being discussed here.
Am aquel comensa le tractat de tot le libre.	An aquatic journey begins with the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I tell you about the quality of that metal and its alloys as well as in which context it is forbidden to use a torch.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	He said that the language of juvenile and nocturnal voices is long and prolific, subtle by knowledge, and partially hidden; many wise people have spoken about it, but there are disagreements among them, and I am satisfied with a small part of their sermons, due to prolonged discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Well, I'd say that "cautery" typically refers to the process or technique of burning tissue for medical reasons. However, in a broader sense, any substance can be considered as matter since everything is composed of atoms and molecules. The only exceptions are certain conditions where something might not be purely physical matter – such as dark energy or dark matter, which aren't fully understood yet but do not have properties that we associate with typical matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of oily and dry skin condition; some experts argue that hot water is beneficial for this type, while others state that it is not suitable because oiliness and dryness are characteristics of the disease, which contradicts the nature of heat as being drying, therefore it's inappropriate to use hot water to treat oily and dry skin conditions.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The one who contradicts this is that which by cauterization causes great affliction in all the maladies of tail and dryness that are seen in the bodies of men; for when you compare the body of a man to the humidities of his skin, compared to the heat of fire, you find the body of a
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	The statement you've provided appears to be in a mix of Romansh (a Swiss language) and Italian or Latin phrases; however, it doesn't seem coherent as written. Here is an attempt at translating the parts I can identify into modern English:
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, he shall not venture upon that which has been condemned and exercised in the Capitol of Cauterius during the last performance, knowing well the diversity of human complications and the disposition of their illnesses in their bodies, as well as the causes of such illnesseby and the course thereof through time.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In May and other months, it's not about your fear, but mostly due to damp and humid maladies, for all the plagues have already settled on those lands, and they don't reconsider their decision during the thunderstebore of that area.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Oh children, I will tell you about the secret of healing by fire and its benefits. The heat is simple in this case, the action of which reaches only the member that has been cauterized and not to the other members close to it.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's application of the medical ointment brought relief to those suffering in their limbs that he/she treated, and greatly facilitated a difficult recovery process and quick healing.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its sublimity and goodness of substance, does not produce heat but rather excess; it is already known to us by experience and through long tradition of study regarding the truth of causes; therefore I am excused for the lengthiness of this speech. If it were not so, I would be at liberty in this pause to you my secret friend hinting at the fire, as well as the quality of its operation upon bodies and expulsion of waste that removes illnesses, an eloquent philosophical demonstration which would be helpful for your ailments.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Hear ye, children, when the season for performing circumcisions is most appropriate and there's no need to delay any further!
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	The saying goes that circumcision is advisable at all times; for the harm caused by accident is submerged in the pleasure of water with which one cleanses a circumcised part, especially if it's due to severe or chronic pains, which do not tolerate delay so much as they fear those that might bring about malice, which is greater than minor inconvenience during the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Cats with scabies often do not cause concern except among the common folk and lazy caretakers; however, it is a disease that can be treated by caustics but does not always resolve entirely, resulting in persistent consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as they think for this issue; cauldrification is not a substitute for medicine, which alters the condition and dries out the moisture that causes such pain to occur.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary surgeries are often carried out due to the greed of medical professionals and their desire for fame through their operations' size and complexity.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness may return at any time in the future, according to the complexity of the disease and the location of his sickness, as well as what has been prepared in his body through an excessive accumulation of superfluities, and what he has consumed from those causes; however, the illness for which cauterization was administeramo is a subtle inflammation of members with few superfluities and humidity, similarly to a toothache remedy, so it may be possible that in him this pain does not return but something else occurs instead.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common belief is that cauterization is the last resort of medicine and it's a dubious practice; I don't think it provides any true healing benefits from medicine or for any other reason.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause lies in opposition to this; and I understand that cauldrification is the last resort of medicine, not being used except when administering remedies for certain illnesses. And those medicines are not employed elsewhere, but at the end of an ailment's treatment, one applies cauterization there and utilizes it thereafter.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	In this text, which appears to be in Catalan (a Romance language spoken primarily in the Catalonia region of Spain), there is a discussion about the first six hours after surgery and the third remedy for medicine according to what the author belnoses as common among folk doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	For three days they argued that the old coins were better than those made of iron, and not because of their value or the superiority of their substance, but due to the equality of gold and its sublime nature.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the cauldron does not work well if water is not completely boiled because they have tasted and tried it themselves, and found that it doesn't make water but rather steam from other vessels, and cauldrons are better than iron ones in this respect. However, when you use a cauldron with gold plating over fire, I did not tell you about the quantity according to which you want to control the hardness of the gold, because it prepares to receive friction; if you adjust on top of the flame, there is gold through flakes that an artisan can take for their work.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	L'efficiency and cost-effectiveness of lasers made from iron are gradually improving, leading to more affordable surgical procedures.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	In the spirit of a legal document from that era, this could be translated as follows:
De cauteri de dolor de cap per frigiditat e humiditat.	Cold Cap Therapy for Headaches due to Cold and Humidity.
Le capitol primier.	First capital.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization provides moisture and coldness on the affected area due to which there are two causes; one is a hot flux from the head to the nipples and ears flowing out, along with excessive sleepiness, pain in teeth and throat, as well as generally all diseases that occur through cooling, such as paralysis, stiffness, apoplexy, etc., similar conditions found in those illnessamoents.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The shape of this cauterization is as follows, which firstly commands the illness to be expelled through medicinal laxatives that change the world within you for three or four nights, depending on the severity of the ailment and your age and habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	He approaches you with the command that his race is loyal to him and he asks you to place your hands on each other between your legs, over a wooden chair laid out in front of you so that it can observe your movements closely as they carry out their task together.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	With the tip of your finger, gently place it on the edge of your nose between the nostrutes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your mentioned place reached the following morning, I tried that location and approached it. There is an olive grove with these characteristics (as for its shape):...
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	There is a method known as Swedish massage which involves the following steps in order to relieve stress and promote relaxation:
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	A) Gently move your hand and look at the spot, then you'll see if there is any amount of hair to be discovered on that part, just as with the quantity of gold errors, hours later raise your hand again, and if it doesn't return to its original position after touching another metal or object which has been chilled, you will have seen what I told you about earlier.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A prop to prepare a salt solution, take a small amount of salt and dissolve it in water at the location where you want to apply the treatment for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Go around the corner and proceed to place that lamp on the table that has been cleaned in this area, ensurturing it is away from any flammable objects.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proper care at home without using any medication should suffice in ensnaring the angst of your child, provided they are not seriously ill or injured. Keep them calm and comfortable until you can see a healthcare professional if needed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire fell down, people began to rely more on their arms, as it was better and safer.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They should apply hot irons to the leg joints within the bone and keep them in place with a bandage covering any open wound on the skin surface.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Here is the translation in formal English: "Let it be both as much water and soil that you adjust to your needs."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	After several others tried using the lancet method to bring about healing, they first focused on strengthening the bone before attempting it. This is a small-scale version of Alphacati's method.
E estiman de aquel loc expiran la vapors del cap.	It is estimated that the fumes from his head will extingebes this place.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	S is affected by the plague for long times, and therefore should be cured before it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two kinds of cauteries at all, but only in certain homes according to the way of fear; and less than that you must be healthy now, for your hair is weakened by such a solution of continuity as we have testified among other members, especially when the head's affliction comes from natural causes.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first species of caution is to save money and better yet, avoid debt altogether. And from that wealth, invest in valuable works for your well-cuidado.
Capitol segon.	Second chapter of the U.S. Capitol.
Del cauteri del cap.	Head shaving procedure.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, chronic headache and long-lasting water are symptoms of a prolonged illness, along with the use of glasses, pillows, nasal sprays, ice packs, gauze, capsules, gums, and splints; however, if none of these causes apply, then it should be considered that the headache is due to a significant change in its nature. It's not wise or necessary to do this frequently: after being cauterized with one instrument, another may suffice for a while.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A prop of the skin that is to be cauterized lies beneath which the vein has been severed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the nail and let it be discovered of the bone; the quantity we have counted up to is cauterized with a heated iron on the part behind the head in the location called "vas"; that's where the warm compresses are applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Your grandmother has been experiencuing severe ear pain and it seems that you are having difficulty locating the exact problem area within her ears, which is causing an intense level of discomfort different from other types of headaches.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	In this case, the text appears to be a medical prescription or recommendation in Occitan (Occitano-Romance language) for treating corns on the head and occiput using cauterization techniques. Here is an approximate translation into English:
Capitol ters.	Capital terms refer to the most important or significant words in a given context, especially when discussing legal and political matters. In constitutional law, these terms often include fundamental principles such as "separation of powers," "checks and balances," "federalism," "judicial review," and "individual rights." These key concepts are vital to understanding the structure and functioning of a government within its legal framework.
De cauterisacio de emigranea no-antiqua.	Non-ancient exorcism of migration
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	The severe headache has not subsided despite the application of various purgative remed cuisine and other treatments I have mentioned for these illnesses; eventually, it is cauterized at its source in two ways: either with a cauterizing ointment made from strong acids or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayes's medical caustic is an irritant; you should take a bowl of salt water and rinse it thoroughly before applying to the affected area, then gently wipe off any excess from around the edges.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	A prophecy lies at the heart of the temple where an elixir is kept hidden within a secret chamber, concealed for ages by a powerful curse. The one who finds it and breaks the enchantment shall gain divine wisdom and the power to shape destiny itself.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	E approaches the landing area for descent with caution, allowing sufficient space of three hours; he releases the engine and leaves it in place for two or three days, then resumes operation above the submerged portion within the boundary that his location covers.
E aprop cura aquel am enguent entro que sia sanat.	Person A says: "I hope you feel better soon."
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, here are some burning medications that I have mentioned in the previous article on burning remedcuents.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The following is a general guide for performing electrocautery, also known as diathermy or electrosurgery. However, please note that this information does not replace formal medical training and should only be used by certified professionals under appropriate circumstances. Always refer to your local laws, regulations, guidelnaces, and best practices when performing any medical procedures:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The small head of a lily is somewhat like the shape of a flower with some curvedness, and at its top there's a noticeable little point.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Gently place the tip of your hand near the painful spot and rotate the small iron object slowly with increasing speed - so that it does not stick to the bone which you just touched.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of blood that is attached to the edge of the clot is as much as possible and you lift your leg such that the vein is not congested but free-flowing, then there will be no flow of blood from the wound.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Boil water with salt and let it cool slightly; then pour the liquid over the wound and apply a clean cloth or bandage on top. Change the dressing every three days; if there's an infection, use an antiseptic cream inside the bandaged area.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish to perform a surgical cutting of the knife handle according to sterilization procedures, and carefully watch out for an incision into the vessel on this migrant non-native properly.
Capitol quart.	In English, "Capitol Quart" can be translated as "Capitol Quartet." The term typically refers to a group of four musicians or singers who perform together in the style of classical chamber music often associated with the genre known as Baroque or early Classical era. This ensemble would usually consist of two violins, one viola, and one cello, which is also referred to as a string quartet.
De cauterizacio d’emigranea antiqua.	Ancient emigration cauterization technique.
