Ayssi comensan las paraulas de Albucasim .	Aysa started learning the language of Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	They have acted according to their own wishes and whims, leading us astray for many days and weeks by commanding that we abandon our course; thus it came about that the storm arose and the ship was lost.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	Yeou for you to call upon Luke; he will prepare the elixir and help you find peace and relief from your pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the infection had already taken root in his limbs, so he could not restrain it or prevent the contagion from spreadamoining within the body where the evil malady prevailed.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	The same surgeon who cured an abscess caused it to become ulcerated close by days later, as the malignancy of his lord greatly increased.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the melancholamoor is not because he never reaches his full potential, but that he feels completely ignored by everything and everyone around him.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	E for water, children are required to you that the operation be divided into two categories: one is related to health and the other involves potential risks in major hazards.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	The waters of this book are found in many places within its free realm where one may err and fear; therefore it is necessary for you to guard what lies therein lest the fools be provoked to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	So take up your weapons against the sun and under God's protection, may your sick ones find healing and recovery.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"Blessed are those who have found the best way to attain God's grace and blissful succession; for they shall escape from the terrible afflictions of difficult healing, and remove from you all causes of fear like water. May your faith and in your name be unshaken, so that glory remains with you, both here on earth and eventually in the sanctity of Heaven."
Gualia ja diyssec en alcunas sieuas monicios:	Guile is often depicted through various mythological tales and characters across different cultures. Here are some examples of how guile has been showcased in folklore, literature, and historical narratives:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no medication for this illness yet, and you don't have any other symptoms." (Note: The sentence provided seems to be a mix of Catalan and Spanish languages with some errors. It has been translated into English for better understanding.)
E yeu ja he devesit aquest libre segontz tres capitols.	Title: "Three Chapters of Wisdom"
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the free, and first of the primary portion.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first organized capital of the city in the forms of instruments and tools for surgery as well as materials that are necessary for operations.
La divisio de la segonda partida.	Second Partition of Poland
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Second Chapter, of Sickness and Perforation, and of Vacuums, and of Leeches, and of Extraction of Stones, and of Similars, the whole chapter is contained in the forms of instruments.
Divisio de la tersa partida.	Division of the Third Partition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third capital, of restoration and displacement, and treatment of torsion and appearance for those; ordered by the head within the guidelcups, and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The act of caution at the focus on acute medicine and remembering the opera performance.
Am aquel comensa le tractat de tot le libre.	In the beginning of all things, there is a book on the entirety of freedom.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I wrote about the quality of those jewels that belonged to him and their connection with it, which was forbidden for a cauterio (a type of jewel). Here is an English translation of my writing:
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	It is said that the discourse on the nature of childbirth in caesarean section and stillborn births has long been extensive and proluminal, subtle by science, and somewhat secret; many wise men have spoken much about it, but they often disagree with each other. For me, even a small part of their sermons is enough, fearing prolonged discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore, I deduce that the category of composites encompasses all substances universally, with the exception of two types which are exceptions to this rule - those being composite materials derived from non-material sources.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and itchy skin condition; some experts suggest that cupping is beneficial for this, while others argue against it as inappropriate treatment for a disease characterized by its nature and dryness since fire's nature itself is heating and drying, making it unsuitable because such an illness like dry and itchy skin needs moisture to be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The description you provided seems to be discussing symptoms that might align with syphilis or another venereal disease which can cause widespcuation and manifest in various ways in the human body. However, there are a few anachronistic terms and phrases that do not directly translate into modern English medical terminology. Here's a revised version:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Here you are asking for the translation of that sentence into English: "E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscuns vetz a descubert."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, the one who has been exposed and practiced at the Capitol of Caudry through previous exerciseby now knows the diversity of human conflicts and their dispositions towards illnesses in their respective regions, as well as the causes of these ailments and their occurrences, along with the passage of time.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In Mays and other complex conditions, it is not about your fear; mostly in the dirty and damp illnesses, all stomachs agree on those, and they are not distracted by a shout during that time.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Greetings, children, I shall now reveal the secret of curing with fire and the virtue of heat as medicine; let it be known that when using this method, the flame should be simple - its effect is limited only to the member being cauterized and does not extend to any other part adjacent to it without causing harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's herbal medicine brings relief to those affected in the limbs by which it is applied; and greatly aids them towards healing from difficult illnesses, as well as improving their overall health.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The great fire, for its sublimity and goodness of substance, does not produce smoke but rather excess, and it is known to us by experience as well as by the long tradition of study on the truth of causes; therefore I am excused from the lengthiness of this sermon. If it were not so, then it would be irrelevant in my free time to address you indirectly about fire, and the quality of its operation within bodies and the whole expulsion process through which it dispels diseebies - a philosophical demonstration that should acutely resonate with your troubles.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Listen well, my children, who disagree on the appropriate time to perform the baptism and choose the best of early spring for this occasion.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I declare that cauterization is advisable at all times because the damage caused by accidental events is overwhwedged in comparison to the benefits gained from it when applied for pains or necessary discomforts, which are severe and persistent; these do not suffer delays so much as those things that might cause harm if left untreated, since such harm would be more detrimental than a small inconvenience caused by time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Asso No Cats in Your Pockets or Children: The Common Folk and the Foolish Magicians Do Not Believe So, but Rather that This Malady Can Be Healed by Cautioning Doesn't Always Lead to Recovery, and Hence Beware.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as simple as they think it might be there, because cautioning is not a substitute for medicine which changes the condition and dries out the humidities that are the reason why pain occurs.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary burns on the skin due to the excessive desire of its beauty and the greatness of his lordship's ambition in medicine.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness may return at any time of the day depending on the complexity of the disease and the location of his illness, as well as how prepared he has been in terms of superfluous substances within his body, and what has arrived there through acquisition from those sources; however, the illness for which cauterization was administereback may be a subtle inflammation in the limbs caused by a small amount of excess humidity, as well as dental cauterization for pain and similarities to it. However, it is possible that he will not experience such discomfort again, but rather something new appears.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Cauterization is often considered to be the last resort of medicine and I believe that it's not an effective treatment method that brings any real medical benefit or advantage over other options. In my opinion, the traditional view of its effectiveness may need to be reevaluated in light of modern scientific understanding.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	In the case of scars or wounds, caustic agents are not soleebut rather an adjunct to medicine in certain illnesses; those medicines should be applied at the end of treatment by a healer, and then use cautery as prescribed for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here are the six main fields of medicine as I understand them, according to a simple and general understanding by common people and laypersons in healthcare:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	After much debate, the gold that is pure was considered better than iron with copper mixed in, and they did not argue about it due to the equality of the value of gold and the sublimity of its nature.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the place of burns does not heal well if water is not completely absorbed; because I have already tasted and tried that it doesn't work unless there are other means such as warm compresses, and a cautery has that is better than iron so they say. However, when you use a cautery made of gold in the fire, I haven't told you why, depending on the amount you want for the golden color and because it needs to be heated; if you place it over heat, then the gold turns into ash due to the fire, and sometimes there are thin plates so that the craftsman can handle it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	An electric knife is made of steel and weighs slightly less as well as providing more precision in the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The Lord has commanded this chapter to be organized according to the chapters, and He has ordered those within the Psalamoes that whoever asks for it shall obtain what he wants.
De cauteri de dolor de cap per frigiditat e humiditat.	The scalp massage for cold and dampness relief.
Le capitol primier.	The first edition.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This bleeding provides moisture and coldness on the affected area by means of two primary causes, one being solely due to a great outflow of raumatic fluid from the head to the nipples and ears' ducts, and another involving excessive sleepiness, toothache, gum pain, and universally for all illnesses that are caused by coldness, such as paralysis, stroke, and similar ailments.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows, which firstly commands the malady to be expelled with a purgative medicinal draugpressant for three or four nights, according to what your condition requires and your age, and your custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And command that the wolf lie down on his back and place his legs over a fallen tree trunk so that he may rest with his belly exposed.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Gently place the tip of your finger on top of your nose, just above one nostril and hold it there for about ten seconds before releasing. Repeat this with the other nostril as well. This technique is known as a sinus massage, which can help to clear congestion and promote better breathing in individuals suffering from respir
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, upon arriving at the place you mentioned earlier, I tried that location and found nearby an olive grove with this shape of fireplace (or hearth): [describe the specific features or characteristics of the hearth if known].
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	B, while lying on the bed with your head slightly elevated, gradually lower the pillow and turn it so that it supports your neck comfortably as you breathe deeply and relax.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	B gently lift your head and look around the place; if you see any portion of your hair is revealed, as much as the weight of a grain, raise your head further and do not turn to that direction or another in the vicinity, until you have seen with your own eyes what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A. Begin by taking a small amount of salt and dissolving it in water at the location. Allow that solution to sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	The text in Basque, "Ez da eske dago pasaporte eraginkorako lur zer egiten du pilota bat hobeto batean begiratzen dena, eta horrezko entroidoko kotoaina destrusiko duten harriak." translates to English as: "There is no need for a passport with which to play football; rather, I will take those stones from the nearby roadside that have been crushed."
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	B takes care of the small animal named TetraPharm within its habitat to ensure that it remains healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman empire fell, the arm had to be freed so that it would become better and more useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	After a few days (approximamo 4-5), they should be bandaged with clean cloths to keep the wound closed within the bone, and any splinter or shard of the broken bone should remain covered by these dressings inside the wound site. Also, ensure that the fracture is properly set so it can heal correctly.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper care should be taken both with the amount of water and its temperature, to ensure adequate hydration and comfort.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	"Five more that arrived at the last were given an iron rod to use first in the fortified place where they defecate and this is the procedure for a small alchemy."
E estiman de aquel loc expiran la vapors del cap.	They estimate that the scent of that place will eventually dissipate into the air.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let S be exposed to the open air for long times, and let it be properly cured so that it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	In my opinion, I cannot see these two types of cauterization at all, except in cases of extreme fear; and the one you mentioned is less healthy than mine, because his hair has been lightened by a solution for maintaining its continuity as we have testified with other members, especially when the head's malady is natural.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first act of circumcision saves and is better for me, and from that cloth I will receive the salvation and merit.
Capitol segon.	Second chapter of the U.S. Congress, also known as the House of Representatives. It is one of two chambers that make up the bicameral legislature in Washington D.C., along with the Senate (the "First Capital" or upper house). The members of the second capital are elected every two years and represent congressional districts across all 50 states, based on their population size as determined by the U.S. Census conducted every decuple year.
Del cauteri del cap.	The English translation of "Del cauteri del cap" is "Hair transplantation."
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, there are various chronic headaches and long-term water issues that may cause the prolonged illness, and frequent use of glasses or contact lnces, capipulverizes, heating devices, gum trees, eyelashes, nails, and similar items. Moreover, if you have already undergone cauterization using a cautery that does not address any of these causes, it is worth considering that the root cause of this illness may be due to excessive strain in its nature; moreover, it is not a great concern or severe issue, but undergoing another cauterization with a different device than previously used might help.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	The correct translation of "E propio cauterisat aquele sobre l'ollec del sieu cap, am cauteri entrant que la condina es partida" into English is:
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the nail and expose a certain amount of bone that we have measured and cauterize that with an instrument on the back part of the head in the location called "vas", which is where the blood vessel is situated.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Your grandmother's tooth aches and you don't find the bone, because this particular type of pain occurs very intensely, unlike the pain from all other cuts on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	In the place where you have marked this cauldriform burn, cover that mark with a bandage on which to be performed the burning of the corns on the head and occiput. The cautery for those areas should be more subtle than the one you previously used; this is how it'n done.
Capitol ters.	In English, the term "capitol tiers" does not have a clear or standard meaning. If you're referring to the United States, it might be related to the tiers of buildings within the U.S. Capitol complex in Washington D.cuyruqo District. This federal architectural landmark consists of several significant structures such as:
De cauterisacio de emigranea no-antiqua.	Cauterization of non-chronic hemorrhage.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of a severe headache or if pain persists inside the eye and is relieved by medicines that dilate the pupil, as well as receiving other treatment for diseases; and all else fails, cauterization shall be performed in two ways: either with a caustic medicine when burned, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May's cauldration for medicine is an astringent that you should take one teaspohemic dose of aloe and scour it well, then dry the substance off and burn its outer layers at the ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	"The site of the pain is located on the temple area where there is a tender spot that can be felt upon touching with the tip of the finger."
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	The wind strengthens over the lake and prevents descent due to constraining pressure; let that for three hours. Then unfasten the ropes and lower it, leave the boat for two or three days, then pause over its submerged bottom within a boundary where you cast anchor.
E aprop cura aquel am enguent entro que sia sanat.	B) The medicine that cures all illnesses is within you.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you would like, I have some information on burning medications that are mentioned in the following article about burn treatments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Mays should follow this method for cauterization using iron cautery, as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The small pointed tip of the leaf is curved like a form similar to that of a carpel, in which there is some curvature, and at its base it has an eminent prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Aproach the location of pain and gently massage your muscles - so as not to aggrave the strained ligament that you've already injured - and slowly increase the speed of the light pressure.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood that is attached to the surface of the skin is greater than the required amount, and you raise your arm such that the vessel is not clamped at its end, then it will prevent blood flow from continuing.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Pour faire un remède à base d'eau salée et de clous de girofle : prenez une cuillère à soupe du mélange par jour pendant trois jours ; puis poursuivez avec quatre doses par jour jusqu'à guérison.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you are, clean the cutting tool's edge with a solvent according to sterilization guidelines and watch for any signs of artery injury on this migrant, particularly not ancient ones.
