Ayssi comensan las paraulas de Albucasim .	I start learning words from Albuquerque.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	The following is an approximate translation of the Occitan text into English:
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Then take your weapons to the sun and show your devotion, and may your illness find healing, and may it be overcome.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	O Lord our God, bestow upon us Your gracious mercy and guide us to salvation and blessed success, protecting us from the most terrible of plagues and their difficult cures, removing the fears that beset us through water or otherwise, so that we may remain steadfast in faith and in your name, which shall never forsake us. For therein lies our glory; furthermore, grant us to reach the end of our journey with sanctity intact, whether it be upon this earth or ultimately in Your holy presence. Amen.
Gualia ja diyssec en alcunas sieuas monicios:	"Gualia often delves into some of her memories" in Galician.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no good disease or illness without its proper remedy."
E yeu ja he devesit aquest libre segontz tres capitols.	Chapter eins (1)
Comensa la divisio del libre, e primier de la primieyra partida.	Begin with the division of liberum and first from the initial split.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first organized capital of the Papal States was in the forms of instruments and tools for surgery used during operations that were essential at the time, including amputation saws, forceps, scalpels, and other medical equipment necessary for procedures carried out by medieval surge지ons.
La divisio de la segonda partida.	The division of the second half.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The Second Book of Healing covers topics such as logic, perception, and injection (inoculation), leeches, extracting arrowheads, and similar procedures using various instruments in a comprehensive manner.
Divisio de la tersa partida.	Division of the third portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	Third Capital Provision, Restoration and Displacement, Torque Cure and Appearance for Those Affecte: Regulation by the Head Judge within the Framework of Laws and Formation of Instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The significance of the autumn equinox in various cultures revolves around its representation as a time when day and night are approximately equal, symbolizing balance. In many traditions, it is seen as an important transitional period between the harvest season (summer) and the cold months ahead (winter). This often involves celebrations that include feasting, giving thanks for the year's bounty, and preparing for winter.
Am aquel comensa le tractat de tot le libre.	The treatise on the entire book begins with this sentence.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I inform you about the quality of jewels in that store and its pieces, as well as which combinations are not allowed for customization.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	I say that the discourse on the quality of childbirth in cauterization and nocturnal emissions is long and extensive speech, subtle by science, and somewhat secret; and already many wise people have spoken a great deal about it, yet they disagree among themselves. And for me, at least one of their sermons suffices to demonstrate the prolonged nature of this topic.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Thus I say that all entities are in some way or form made of matter, with the exception of two types of particles which do not consist of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of the condition oily and dry, the substance is deficient; some doctors suggest that cupping therapy is suitable for this, while others argue against it, as cupping is not appropriate for diseases characterebly by excessive oiliness and dryness since the nature of fire (often used in cupping) is heat and dryness, thus unsuitable treatment for oily-dry conditions would require moisturizing hydration.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The opposite of that which causes jaundice and dry cauda tail seen in the bodies of men, for when you compare the body of man with its moisture to the complexity of fire, you find the body of man burnt.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Indeed, I have heard discussions about certain methods to reveal secrets. However, it is essential to remember that respecting privacy and confidentiality is of utmost importance. Sharing or disclosing information without consent can be both unethical and illegal in many circumstances. It's always best to focus on fostering open communication channels where sharing is mutual and consensual.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it does not come to pass that he who has been excommunicated and exercised in the capitol of Caeruleum for a second time be aware of this variety of complexity among men, their disposition regarding diseases in their bodies, as well as the causes of these illnessangs, and the duration of them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In Mays and other complexities, it's not about fearing you; mostly in dirty and damp illnesses, as all remedies are effective there, and they do not fail in the fever when applied with caution.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Children, let me tell you about the secrets of healing with fire and how it can be beneficial when used as medicine through cauterization; only the heat is simple, but its effect reaches just to the member that's being cauterized, causing no harm to any other part nearby.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's oil of medicine brings relief to those who have a limp in their gait and greatly helps them achieve healing and easy recovery from the illness that affects their affected limb.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its sublimity and goodness of nature, does not act without cause but only excessively; and we have known it by experiment and long practice through study in the art of truths about causes; therefore I am excused for the length of this discourse. Yet if it were not so legible to my free time amidst your secret hints at fire, and the quality of its operation on bodies and how it expels sickness from them - a demonstrative philosophical speech would be acute in your troubles.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Greetings, children, who disagree on the best time for hair cutting in early spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	Cauterization is appropriate at all times; therefore, the harm caused by delay in cases of emergency that result from lack of cauterization outweighs any small inconvenience during the procedure, especially if it's for severe or urgent pain which does not tolerate delay lest they worsen due to such negligence.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	In the countryside of our homeland, or children, it is only considered by the common people and mad doctors that there's a disease which can be healed by burning with cauterization but doesn't always result in recovery, and they suffer from its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The reason is not as simple as they believe in this regard; burns are not only a matter of medicine, which alters the composition and dries out the moisture that causes pain to occur.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, he also performed unnecessary surgeries due to his ambition in medicine, skill in his operations and the grandeur of his work.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness may not return at any time in the future, depending on the complexity of the ailment and the location of its occurrence, as well as the virtue of him and how he has prepared his body with an abundance of nutrients, and what has arrived there through his acquisition in foods and appearances of such causes; but that the illness for which cautery was administereed is a subtle sickness in the limb involving few superfluitatz and humiditazz, as well as cautery for toothache pain and similar symptoms, so it is possible that this discomfort will not return in him, but rather what has been done with poultices.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	In vulgar speech, it is believed that ear piercing is the last resort of medicine and rightly so; however, I don't understand to what extent people think it actually benefits health or serves as any other justifiable purpose in its favor.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The root cause is opposite to this one; and I believe that caution is the last resort of medicine not only when administering treatments for certain illnesses but also those medicines should not be used, and at the end of the causative factor treats a person with caution, and applies it accordingly.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	The following are fourteen hours from here that Cauterus was the third author of medicine, according to the theory which I understand the common and simple-minded doctors follow.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The old ones claimed that gold wax had a greater value than iron wax and did not say anything about water, due to the equality of gold and its substance'amoeba'.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the place of burning doesn't burn well, unless water has been absolutely boiled, because I have tasted and tested that it doesn't produce water but rather other substances, and a cauldron with this is better than iron so they say; however, when you make a cauldron with gold over fire, you haven't told us how much according to the amount of gold you want for its glowing, and also prepared to receive friction; and if you set it above the flame, then gold flows through that flame, and sometimes there are metal sheets which the craftsman uses in polishing.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	L'ecoulement est légèrement et progressivement favorisé par la chaleur du fer, nous aidant ainsi à faciliter le processus d'opération.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The Lord of Lords decrees this chapter according to the ordinances and orders those within its borders that they should obey it as they desire to do so.
De cauteri de dolor de cap per frigiditat e humiditat.	The haircut for scalp pain due to cold and dampness.
Le capitol primier.	The first capital.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This bleeding cures the moisture and coldness on your body due to which there are two causes, one being excessive raumatic flux from the head to the extremities of the children and ears that flow out, as well as excessive sleepiness, dental pain, jaw ache, universally for all illnesses caused by coldness, such as paralysis, sclerosis, and apoplexy, and similar conditions in those diseablenesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows, which initially commands the illness to be evacuated through medicinal enemas that cleanse and purify for three or four nightps, depending on the severity of the ailment, age, and customs.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	The boy commands that his horse be shaved at the razor's edge, and then he leads him to a fallen tree trunk where he lays down for rest under its branches.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your palm's side against the top of your nose bridge, between your eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, upon reaching the location you mentioned earlier, I attempted to identify that place and approached it. There is an olive grove there with fire pits called "cauterii," which have this shape: [Description or Image of the Cauterii]. Let me know if this matches what you're referring to.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	The horse grazes on that spot near the barn, as you approach it gently and touch its side softly, then slowly rub your hand along its body.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	A) Go to your mother's house and look around the place; if you see there being disclosed any quantity of hair on her head, so too with the quantity of gold as errors, raise your hand then, and should it not turn back at that same spot where another piece of iron is, while she remains cold, enter only when you have seen what I just told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A prop of salt is dissolved in a small amount of water and left at that location for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	A small fireplace is to be constructed along the border and an opening is to be made into the inner wall where the chimney shaft will be located.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proper use of the local health care system can lead to significant cost savings, ensnaring four major pharmaceutical companies along the way.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire fell, both bread and labor became more abundant, making life better and easier.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	For three days they shall apply cooling agents to the gash within the bone, and keep cauterizing any other area of the wound adjacent to the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper amount of water and salt is essential for the body's optimal functioning. Make sure to adjust the intake according to your needs.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Many others have come across the cauterization technique, in which a hot iron or metal rod is used to burn and seal wounds. This method was commonly employed for minor injuries and as a way of preventing infection prior to modern medical practices. The procedure typically involves heating an iron or metal object until it becomes red-hot and then applying it directly to the wound, causing the tissue to char and cauterize, which can stop bleeding by sealing off small blood vessels. Alphabetic symbols, such as 'A' for "Alphecati" (Latin for "small burn"), were often used in ancient medical texts to categorize different sizes of wounds or tools.
E estiman de aquel loc expiran la vapors del cap.	I estimate that those clouds will dissipate before they reach the horizon.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	S has been exposed to the sun for long periods of time and must be cared for until it is healed and regained strength.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	My lords have not seen these two kinds of cauteries in all their lives, except for a few cases where there is great fear; and that one, my lord, has much better health now than before because his head is enlightened by the solution to continuous illness as we've testified in other members, especially when the headache comes from natural causes.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first surgery of the kind is safe and better for you, and that's why I advise it; that's where healing comes from.
Capitol segon.	Second capital (referring to the second city designated as a nation's administrative center).
Del cauteri del cap.	The operation on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, there is chronic and long-lasting headache, and use of glasses and crutches, and nasal sprays, and sunglasses, and gaiters and hats and eyeglasses, especially if it has been previously cauterized by a caustic that does not address any of these causes; in this case, one should consider whether the headache is due to an inherent tendency for increased vascularization; and it's not such a big deal but a small nuisance, so if you have previously cauterized with another caustic, do it again slightly.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A proper cauterization of that wound on his head was performed, through which the vein has been severed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the gland and reveal the amount of bone that we have counted and cauterize one using a cautery in the part where it is located at the back of the head, - and that location where the blood vessel rests.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And your mother's head hurts so much, and you don't discover the bones, because this particular pain causes great suffering different from the pain of all other cuts on her scalp.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	This is a medieval Latin prescription for treating various conditions of the scalp and head using heat (cauterization). The translation to modern English would be as follows:
Capitol ters.	Capital terms refer to specific words, phrases, or expressions that are of significant importance within a language, subject matter, or context. In the field of linguistics and communication studies, capital terms may also be known as "keywords" or "terms of art." These words often have particular meanamoities in their respective fields or subjects and can carry specialized meanings beyond their everyday usage.
De cauterisacio de emigranea no-antiqua.	Cauterization of non-healing ulcer.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of a severe headache or if there is pain within the temple area, one should take purgative remedebies and undergo other treatments as I have indicated in my treatise on diseases; but when this doesn't work, cauterization may be done in two ways: either by using an acrid medicinal substance that causes burning or with a piece of iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May's caustic cream has an irritant effect, so you should take a bowl of cold water and immerse that in it to cool the affected area and wipe off any excess from your hands using paper towels or cotton pads. Apply the cream only on the damaged skin.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	The priest shall proceed to the altar and place his left hand on a small vessel hidden within the fabric of the altar, where it is concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	The strong winds and waves prevent the boat from descending along the coastline; leave that space for three hours and then detach the anchor and ropes, drop the anchor again two or three times, and pause on a submerged spot within your reach in case you need to reset.
E aprop cura aquel am enguent entro que sia sanat.	A proper diet is essential for maintainwarty that has been injured or is sick.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	Certain cu if you would like to receive some information on certain burning medicines that I have mentioned in the previous treatise on burning remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	According to this guideline, the following steps should be followed for chemical cauterization using a substance like silver nitrate stick (Igneyse):
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The head of the lily is similarly shaped to a clove and has some curved characteristics; moreover, at its base it becomes noticeably smaller.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	A brief pause on the pain location and gently move your jaw - so that you don't tighten the archwire which was previously placed - and gradually increase the speed of the small drill.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	The amount of blood that sticks to the walls of the vein is equal to the volume of blood, and lifting your leg up such that the artery is not stuck at the end, so that there will be no flow of clot.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Boil water with salt and leave it to cool slightly; then pour the liquid over the wound and let it sit for three days; afterwards apply mashed leaves of a particular herb as an ointment, which will promote healing.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, the tool's handle can be sterilized according to aseptic procedure, and watch out for an incision of artery on this emigrant properly non-ancient.
Capitol quart.	In the world of music, a "capital quartet" could refer to an ensemble or group that represents excellence in performance and interpretation within a musical genre, often seen as a benchmark for other groups. However, if you are referring specifically to a "Capitol Quartet," it may relate to a specific vocal group known for their gospel music performances, especially within the Capitol Records label framework.
De cauterizacio d’emigranea antiqua.	Ancient practices of bloodletting for emigration prevention.
