Ayssi comensan las paraulas de Albucasim .	Aysa learns words from Albuquerque.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no cure for illnesses like that; otherwise, you wouldn't be without any family."
E yeu ja he devesit aquest libre segontz tres capitols.	Chapter One: The Enigmaturus Chronicle
Comensa la divisio del libre, e primier de la primieyra partida.	Begin with the division of the free and first section of the primary portion.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first organized capital of the ancient Phoenicians, in terms of instruments and tools used for surgery as well as substances needed during operations.
La divisio de la segonda partida.	The second half division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The Second Book, of Sickness and Wound-healing, and of Cupping and Leeching, and Extraction of Thorns and Bones, and Other Remedebles; All Treated According to Their Specific Formulas for Each Instrument.
Divisio de la tersa partida.	Division of the third portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third capital, of restoration and relocation, as well as the treatment for torture and injuries to those affected; established by the order of the head in person, along with the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The caution of the fire and acute medical conditions, as well as remembering the opera performance.
Am aquel comensa le tractat de tot le libre.	Chapter One begins with the entire treatise on freedom.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I inform you about the quality of the jewels found in that cauldron and their relationship to its forbidden contents.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The language you've provided appears to be an old form of Occitan or Catalan from the Middle Ages (12th-15th centuries). This text seems to discuss a complex and lengthy speech on childbirth by cauterization, which is well-regarded for its science but also secretive in nature. Many learned individuals have spoken about it but disagree among themselves; however, I know at least part of their sermons is sufficient for me.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	I would say that "cauterize" refers to the entire process of burning or searing a part of the body using a heated instrument like a metal rod. This is done universally as it pertains to a specific substance, except for two exceptions where caution may be required due to their particular nature.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and itchy skin condition; some people suggest that cupping is helpful in this situation, while others argue against its use, stating that cupping is not appropriate for diseases characterized by dryness and irritation, as fire - which is inherently hot and dry - can exacamoake the healing process more difficult.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	E is the antagonist of that which causes by cauterization sudden joy in all illnesses such as tail and dryness seen in men's bodies; when you compare a man's body to its moisture at the touch of fire, you find it burned.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Oh dear friend, I've heard about an experiment that might interest you, as it seems to reveal some intriguing results. Would you like me to share more details with you?
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it does not occur on the day when that person who has already been reproached and exercised in the Capitol of Caution during their third exercise, is known for the diversity of complexities among men and the condition of illnesses in their bodies, as well as the causes of those diseebs and incidents, and the extent of time they last.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In the other complexities, it's not about your fear; mostly in leaky and damp illnesses, as all joints already get used to them, and don't forget during movement with that cautionary care on those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Listen well, children, I shall reveal the secret of healing through fire and the virtue of it; thus, if you use this method as medicine to burn, be mindful that the heat is simple, its effect reaching only the limb being cauterized and not harming any other part attached to it.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's remedy of medicine was consumed by the person who had an ailment in their limbs and it greatly helped to bring about healing, resulting in difficult illnesses being cured with strength.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its sublimity and of its goodness, does not cause water but overflows, and it is known to us by experiment and through the lengthy service of study in the art regarding the truth of causes; hence I am excused for the length of this speech. And if not so that it were not allowed in my free time during this interlude to you, my secret friend, as well as a demonstrative philosophical discourse on the operation of fire in bodies and the expulsion thereof which dispels illnesses.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Hear ye, children, when you disagree about the best time to shave and rest during the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	The burning is advisable at all times because the damage caused by unforeseen accidents can be overshadowed by the benefits of having a burn performed, especially if it's for severe and urgent pains or aches that do not tolerate delay so as to avoid harm. Such small inconveniences during this time are outweighed by the potential dangers avoided through the healing process.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Yes, indeed! Here's the translation of your text from Catalonian to English:
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as people think it to be; cauldrons are not a medicine, but rather they alter the complexity and dry out the moisture which is what causes the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, Maya's unnecessary surgerangs on the medicine due to his volatility and valor of his operation as well as the greatness of his lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may not return at any time in the future, depending on the severity of the disease and the location of the illness, as well as the individual's overall health, their body's preparation for surplus fluids, and what has been consumed or come into contact with them. However, if they have received a cauterization treatment for pain in the teeth, it is possible that this type of subtle illness involving a small number of excess fluids and humidity may not return to the same person as dental pain; rather, something similar may occur instead.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common belief is that cauterization is the last resort of medicine and it's considered effective, though I don't entirely understand what they mean by this, but I believe it doesn't provide any healing benefit through medicine or other means.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause lies in contrast to this; I understand that cauterization is not the last resort of medicine but rather it applies to certain treatment methods for diseases, and those medicines cannot be administered as such, at the end of the causal line one should apply caustic substances, and proceed accordingly.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	In the sixteenth century, Cauterization was considered one of the most common treatments in medicine, as I understand it, according to what ordinary and crude methods were used by unskilled physicians.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They argued that gold earrings are better than iron ones, and they did not mention silver unless it was for the equality of the value or the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the place of healing does not work properly if water is not completely drunk, because I have already tasted and experienced that such a practice doesn't result in producing pure water, but rather produces other metals like copper from the others; however, cauterization with gold fire is indeed better than iron as they say. But when using gold fire, it depends on how much you apply heat for the malleability of gold, and also to prepare for beating. If you adjust over a flame, the gold melts due to the flame, and sometimes small sheets are prepared by the craftsman for that purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	L'acqua ossigenata è un prodotto comunemente usato nell'ambito della chirurgia per disinfettare con precisione, leggermente ed efficacemente il sito di operazione.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The president has ordered this chapter to be classified according to the current code of chapters and those within the volumes should also follow suit, enspert that the requester may locate it as desired.
De cauteri de dolor de cap per frigiditat e humiditat.	The headache due to cold and dampness is often treated with moxibustion, a form of heat therapy. In traditional Chinese medicine, this condition may be caused by an imbalance in the body's energy or "qi," leading to blockages along specific meridians associated with pain and discomfort.
Le capitol primier.	First Capitals or Primary Capitals refer to the original administrative centers of a country, typically established during its formation and often holding significant historical importance. These may also be known as founding cities or principal towns, depending on their role in national governance and history. Some examples include Washington D.C., Canberra, Brasília, and New Delhi.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This incision provides moisture and coldness over the affected area, which are due to both direct and indirect causes, such as a blocked tear duct from forehead to eyelid edges, excessive tearing, along with increased sleepiness, toothache and ear pain; generally of all illnesses caused by cooling, including paralysis, stroke, and similar conditions in those disecuases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows, which initially commands the evil to be evacuated using a purgative medicine that purifies and cleanses within three or four nights, depending on the virtue of the evil, age, and habits of the person.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	A woman commanded him to have his hair short and to sit between her legs on a fallen tree trunk, and then she pressed her own legs over his.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Gently place the tip of your finger on the base of your nose, between your eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, upon arrive at the place you mentioned last night, I tried that spot and found this olive grove nearby with a peculiar shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	The wind blows softly over that place where the healthful waters flow, with the technique that descends, which your mind gradually restricts, and you turn around it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Go to your mother's house and carefully observe the place, and if you see that any quantity of grain is exposed, raise your hand as much as the weight of errors, then lift up your hand from that iron or another at the place, if it feels cold; wait until you see the water I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A small amount of salt is dissolved in that over there, and left there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	A prop of the pot on the stove, continue to stir until the bottom is browned.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proper use of the local antifungal cream can help treat the infection within the skin fold.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire fell, the land became more fertile and beneficial because it was freed from oppressive rule and exploitation.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	After three days, the calluses should be removed from their bones and kept within a container that has been sterilamo, ensuring no other parts of the bone are attached to them.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	"Provide both the accurate water and adjusted salt quantities, please."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Five days after the burning wax strip has been applied to the last area, the procedure continues with inserting a small metal rod into the burnt site. This is the process for creating smaller Alphabets:
E estiman de aquel loc expiran la vapors del cap.	They estimate that the steam from the head will last until this place disappears.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	S has been flying the flag high for long time, and it must be properly cared for until it becomes well-worn.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two species of cauldrons in any other homes, except for a few chosen ones according to the rule of fear; and let that one who should be mine, bring forth greater salutation than he is; for his head is enlightened by solution of continuity as we have testified in the other members, especially when the head of evil is from natural causes.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first act of circumcision is very safe and best for you; and from that point on, everything will be alright.
Capitol segon.	Second capital.
Del cauteri del cap.	The translation of "Del cauteri del cap." from Romanian to English is "About the haircut on the head." or simply, "Haircut on the head."
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, there is chronic and long-lasting headache, often accompanied by migraine attacks, as well as the use of glasses and hearing aids, nasal sprays, artificial tears, capsules, gadgets, and fake jewelry. Moreover, if it has been previously cauterized with a cautery that does not treat any of these causes, now consider whether the headache is due to significant growth in its nature; and it's not such a great deal to try another cauterization using a different type of cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A corneous lesion is cauterized on the forehead over where the hairline ends, within which the scalp is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the gum and expose the bone; the amount that we have counted is to be cauterized with an instrument in the part of the head following the cap at the location called vas, which is where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	The blisters on your head caused by this illness produce great pain unlike the pain of any other cutaneous sores in that area.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And behold this caustic herb in its place, for the head that bears the caustics with which you shall cauterize the corns on the crown and occiput is a more subtle caustic than that one of which it is to be cauterized; herein lies the manner.
Capitol ters.	The term "Capitol Terror" could refer to a fictional or historical event involving fear, intimeration, or conflict associated with the United States Capitol building in Washington D.C., often regarded as the symbol of American democracy and government. However, without specific context, it is challenging to provide an accurate translation or further details on this term.
De cauterisacio de emigranea no-antiqua.	Non-traditional cauterization of emigrants.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of severe head pain or when a nerve is pressed within the temple, try administering analgesic medicine and other treatments I have mentioned for the diseases; if that doesn't work, cauterize at two points in either way - with acupuncture using burning herbs or with a needle.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayes' caustic ointment is an antiseptic and you should apply a dollop to the wound and cleanse it thoroughly, then dry off any excess with a soft cloth or tissue. Do not attempt to use this as a substitute for proper medical treatment.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	A prophecy lies within the walls of the Temple where once a needle had entered which was hidden in its hollow place and concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	The strong wind stopped the descent constraint, and released those in three-hour spaces; it also released the anchors and laid down sails for two or three days, then rested at a sunken point within the territory that it encompebits.
E aprop cura aquel am enguent entro que sia sanat.	B) The medicine that was taken, resulted in recovery from the illness.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you'd like, here are some inflammatory medications that I have written about in the given article on anti-inflamcuary drugs.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May's use the following method to perform electrosurgery: ignition of electrocautery equipment, which has this form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	e) the tip of it is as if formed like a small bud, and in its middle place there is some slight swelling; f) the sepals are curved claw-like, with somewhat the shape of a rosebud, and at the top they have a little prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	A small pause on the edge of pain, and release your fear - so that the archery bowstring is not stuck - and slowly increase its speed gradually.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood clotted in the leg is greater than that in the arm, and you elevate your legs such that the vein is not congested, therefore preventing a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Boil water with salt and let it stand over the fire for some time, then place it in clay pot to cool; afterwards add olive oil so that if sickness occurs, use it as a remedy.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you want, the tool' cufflink's tip should be cauterized according to cautery, and watch for any incision of an artery on this opposite side properly non-ancient.
Capitol quart.	Capitol Quartet is an American gospel group that was founded in the mid-1amo's. The ensemble comprises four talented vocalists who perform uplifting and inspiring renditions of traditional hymns as well as contemporary Christian music. With their soulful harmonies, powerful messages, and energet
De cauterizacio d’emigranea antiqua.	Ancient emigration cauterization.
