Ayssi comensan las paraulas de Albucasim .	Aysa learns the words of Albuquerque.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the limb, so that it could not contain that and did not stop the spread of corruption within the limb where the illness posed a threat.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain surgeon caused an abscess cancerous and became ulcerated near the ears of his lord, in which he greatly increased the wrath of His Lordship.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason why someone might feel melancholamo (sadness) is not because they have lost all love from everyone, but rather that they are part of those who feel overwhelmed by everything and believe it to be hostile towards them.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	The work to be done consists of two phases: one related to health and safety measures, and the other concerning risks associated with major equipment.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	You have indeed been found guilty of violating the water sources in all parts of this book within which I've operated and made errors; therefore, it is necessary for you to guard that and leave what lies therein so that trees do not obstruct your speech and dishonor.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Hence take up your weapons for the cause and by God's protection, may you achieve success and victory.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"May all of us use the best means given by God's grace to attain salvation and praiseworthy success; let us lose our great illnesses that are difficult to cure, and lay aside our weapons that make you fearful; for we must remain in your faith and in your name so as not to be taken away. Rather may it remain for your glory and furthermore, in the monastery or at last with your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	In some of his famous speecheß, Cicero often emphasized the importance of virtue and moral character. Here are a few excerpts from such addresses:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no specific medicine for mental illness, but there are some medications that can help manage symptoms."
E yeu ja he devesit aquest libre segontz tres capitols.	Title: The Three-Part Guide to Creativity and Innovation
Comensa la divisio del libre, e primier de la primieyra partida.	Beginning with the division of the land and the first partitioning of the primary territory.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first organized capital of the Cap-Haïtien region, in terms of instruments and surgical equipment, as well as essentials required for operations.
La divisio de la segonda partida.	The division of the second half.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second part of the book concerns incisions and punctures, as well as cupping, leeches, lancets, extractions from boils, and simulacra thereof; it comprehensively covers and organizes the forms of these instruments.
Divisio de la tersa partida.	Division of the Third Part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third capital, concerning restoration and relocation, as well as the treatment of torsion and appearance for those affected; established by royal decree within the framework of law, and instruments' forms.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The act of cauterization in the context of acute medical emergencies and memory of the opera.
Am aquel comensa le tractat de tot le libre.	The treatise on the entire book begins here.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I inform you that the quality of the jewels found in this treasure and their origin is unknown, as well as what connection has been forbidden regarding the treasure.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The language spoken in the quality of youth's speech about cautery and mourning is long and prolix, subtle through knowledge, and somewhat mysterious; already many wise people have talked a great deal about it, yet they are at odds with each other. And for me, one small part of their sermons suffices, as I am intimidated by its length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Hence, I declare that every complex system relates universally to matter or its properties, except for two exceptions which are tail-related properties.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and itchy skin condition; some doctors argue that cauterization should be used for such ailments, while others say this is not appropriate because these conditions are characterized by their nature (dryness) and excessive dryness, which means that using fire - being both drying and scorching in nature - would hinder the healing process of a disease marked by its qualities.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The one that says the opposite of what is done by cauterization in laughter during any illness or tail and dryness seen on men'n bodies, because when you compare the body of a man to its moisture in relation to fire contact, you find the body of a man burned.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	The year has already brought me some unexpected discoveries. Let's discuss this matter further.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Nevertheless, he who has already been accused and exercised at the capital court in regards to a previous exercise, let him be known for his diversity of complexities among men, as well as their disposition towards diseases in their bodies, along with causes and incidents related to those afflictions, and the extent of these illnesses.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In various regions, it's not about fear towards you; mostly in damp and wasteful illnesses, as all the physicians are now agreeing on those, and they do not disagree with your treatment involving cauterization for such conditions.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Ah children, I'll tell you the secret of curative burns using fire and the goodness of oil, so be aware that when treating with medical fire, the flame is simple, its effect reaches only the member being cauterized and does not harm any other part adjacent to it.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Mays' medical ointment has proven effective in treating patients experienncing discomfort and pain in their limbs due to various health conditions, providing them with relief from difficulty healing and intense agony.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The warmth of the fire, for its sublimity and goodness in substance, does not produce water but only excess; and we know it to be true by experiment and through long experience of studying the art of truth regarding causes. Therefore, I am excused from the length of this discourse, if not that it is not permitted to my free time in this pause today towards you, secret friend, about how fire expels illnesses from our bodies and demonstrates its effects philosophically, which would be evident in your ailments.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Children, listen well! You all disagree on the best time to undergo a procedure and rest during early spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	E you declare that cauterization is advisable at all times; for the harm caused by accidental events is overshadowed by the benefits gained from the procedure which has been performed, especially when it concerns necessary pain relief or severe pains and inflammaturms that do not endure delay due to fear of potential side effects, which are lesser than minor discomfort incurred during the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	In various places, people believe that warts are caused by foul and unclean creatures; hence they only seek remedeby folk healers or vulgar methods, which is that the disease treated with cauterization does not always get fully healed, leading to reoccurrence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as much the thought that they desire it for this reason, because cauterization is not a substitute for medicine which alters the condition and dries up the humidities, which are the causes why pain occurs.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary surgical procedures are performed due to the physician's greediness for profit and arrogance in their work and excessive fees of their services.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It's not likely that his illness will return at any time in the future, depending on the severity of the illness and its location within him, as well as what he has prepared for with a surplus of fluids in his body, and what has come to him through acquiring food from those sources; but rather, if the cauterization performed is for a subtle pain or swelling in small areas, like cauterization of teeth due to pain and symptoms similar to that, it's possible that he won't experience that pain again, instead it will be alleviated.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	In common parlance, cauterization is considered the last resort of medicine, and yet it seems to be highly effective in certain cases; however, I do not fully comprehend how they achieve this result, for I believe that it does indeed provide healing beyond just being a mere medical procedure.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is against the use; and I believe that caulking serves as the third resort of medicine not only in administering remedies for certain illnesses but also if those medicines are unsuccessful, then at the end of such causes it advises to apply a caustic treatment, and it proceeds accordingly.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here are the three major branches of medicine as I understand them according to the common and primitive views of simple medical practitioner folk:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that ancient coins made of gold were better than those made of iron and did not say anything about their weight but rather for the value of gold and its superior substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the metal of cauldron doesn't work properly when water isn't completely absorbed, because I have already tried and tested that it doesn't produce water unless all other metals are included, and cauldron metal is better than iron in this regard; however, when you make a cauldron from gold, you haven't stated why, as it depends on the quantity you want for the hardness of gold, and also because it needs to be tempered with fire; if you add something onto the fire, the gold forms laminas which craftsmen use in their work.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	E con agua se hace un hierro para nuestro uso ligeramente y más proporcionalmente en dirección a la operación correcta.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The council has decided to organize this chapter in accordance with the previous chapters, and has ordered that those within its scope provide all information requested by the requester.
De cauteri de dolor de cap per frigiditat e humiditat.	The headache from cold and dampness.
Le capitol primier.	The first capital.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This surgical procedure provides moisture and coldness over the affected area due to two main causes, one being excessive heat flow from the head towards the ears and temples, and many other causes such as insomnia, toothache and jaw pain, universally of all illnesses caused by cooling, including paralysis, stroke, and similar conditions in those diseebilities.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	This is the form of this cauterization, which firstly orders the illness to be evacuated through a laxative medicine that purifies and cleanses it for three or four nights, depending on the severity of the illness, its age, and its habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	He commanded that his horse be bridled and led between the trees in the forest onto a fallen log and to have its hoovangs rest upon it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Gently place the tip of your thumb on the edge of the nail between your fingers and hold it there for a moment.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your mentioned place arrived the next day, you tried that spot and just above it was an olive grove with this shape of charcoal pits:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	A prop of the glass on that above your head, guide it to descend slowly and gently, letting its warmth envelop you as you rotate in place.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	A) Approach your hand slightly and look at the location, then if you see any portion of the head missing like the quantity of grains from an error, raise your hand again, and do not turn to that iron or another of it, if it is frozen, enter only when it appears as I have described to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A) Begin by preparing a small amount of salt solution and pour it over the location you wish to cleanse. Leave that on for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Let's start by breaking down the Catalonian text and providing an accurate translation into English, followed by a discussion on safety precautions regarding working near electrical panels.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proprietary remedy that acts as a multifaceted medicine to ensure your well-being is present within this text.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire fell, the armies became more important and beneficial for it to be better and more justified.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	On the third day after surgery, remove any dressings covering the incision on your head and ensure that all sutures within the wound are intact and that there is no sign of infection around the area of the skull.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper seal on the bottle as well as its adjusted lid is crucial.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	On the third day, other than using a lancet or similar instrument, place your index finger on the strongest part of the earlobe and apply firm pressure for about five seconds. This is the method to remove an ingrown hair from that area. Here'amo detailing the process in English:
E estiman de aquel loc expiran la vapors del cap.	They estimate that at that place the fumes of the head are dissipating.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The storm has caused extensive damage for long periods of time, and it must be promptly repaired and stabilized as soon as possible.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	In my opinion, these two kinds of cauterization should not be applied to all houses without exception, but only to certain families as a precautionary measure; moreover, that one which belongs to you is more blessed than the others when it is so; because his head has been enlightened by divine inspiration in matters of continuity and similarly to what we have witnessed among other members, especially when it concerns those affected by natural evil.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of surgery is my salvation and best for me, and from that hospital I have faith in the work being healing.
Capitol segon.	Second chapter of the Capitol.
Del cauteri del cap.	The wound on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total cases of chronic long-term headache and dizziness with water loss, as well as use of gear, crutches, earplugs, eyeglasseinhorns, guards, collars, and glasses, most often it has been cauterized by a caustic which does not address any of those causes. At this point one should consider that the headache's root cause is likely due to excessive strain in its nature; moreover, it would not be such a great loss to try another form of cauterization using different equipment.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A cauterized wound is one in which the skin over the head of the hair has been burned off and closed within that area where the root end is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the nail and let it be exposed of the bone; the amount which we have counted should be cauterized using a cautery on the part following the head in that location called "vas," - and that is the place where the windpipe rests.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	The altar of my mother is here in Aix-en-Provence, and don't find the bones, because the disease that causes so much pain differs from the pain caused by all other cauterizations on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	The translation in English would be as follows:
Capitol ters.	Capital terms. These are words that refer to specific places, organizations, or institutions in a country's government structure. Some common examples include Senate, House of Representatives, Supreme Court, and the White House (in the United States). It is essential to use these terms correctly when discussing political topics, as they represent important aspects of governance and lawmaking processes.
De cauterisacio de emigranea no-antiqua.	Ancient wound cauterization for migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of a severe headache or pain in the upper part of the eye, take evacuating medications that relieve swelling and administer other treatments as I have mentioned earlier for these diseases; but if it does not help, cauterize at length on both sides: either with an acutely burning medicine or with a hot iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayes's medical caustic acts as an antiseptic, so you should take a bowl of salt water and then scrub that area clean, removing any dead skin from both sides using your hands.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	The prophecy seems to suggest that the key event will occur within a hidden location related to an old temple where there is a hidden doorway and something secret lies concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	The bridge is designed to withstand severe storms and heavy traffic loads; it allows for clearances of three hours or more; it unloads the load on the abutments, and removes debraturd for two or three days; it pauses over the submerged section within its border where the structure extends.
E aprop cura aquel am enguent entro que sia sanat.	C is the gas that, when inhaled at low concentrations, can be used for anesthesia purposes.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, I will provide some examples of astringent medicines that are mentioned in the previous article on astringent medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	My advice on cauterization, following this guideline, is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The flower has a distinctive clover shape, as if it's somewhat like the form of a clove with some curvature; in its middle part, it is noticeably small and pointed.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Gently approach the source of pain and slowly move your hand - so that the archery you've left behind is not strained too much - and gradually increase the small iron in speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood that is attached to the shaft of the bone is greater than the quantity in the surrounding area and you remove your hand such that the artery is not clamped but loosened, then there will be no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	In the evening, prepare a soup with salt and water by boiling it over low heat for three hours; then let that mixture sit covered until cooler, and afterwards apply that oil externally to achieve healing.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you want to, use a heated knife blade according to the cauterization method, and be careful of an incision of an artery on this migrating one that is not ancient.
Capitol quart.	In the context of classical music, a "capitol quart" is likely a misspelling or misinterpretation of the term "string quartet." A string quartet typically consists of four musicians playing two violins, one viola, and one cello. These ensembles have been prominent in Western art music since the 18th century, with composers such as Haydn, Mozart, and Beethoven contributing significantly to their repertoire.
De cauterizacio d’emigranea antiqua.	Ancient practices of emigration cauterization.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	You treat emigrants with the same water you have said about previous cauterizations, and divisions of disecuasels, but do not waste the cautery. Also consider times for disease when it does not suffice to use hot medicines or hot cauteries; then hours later after cooling down, pierce (or incise) with a cold knife at a place where you feel the most severe pain along a long line that ends there. Then leave it alone for one week and afterwards cut the scar tissue until reaching the bone.
