Ayssi comensan las paraulas de Albucasim .	Aysa understands the words from Albuquerque.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	You are commanded by the law to abstain from any action which may infringe upon this freedom enshrined within our land; for such acts bear both error and fear, thus it is imperative that you uphold these liberties so as not to undermine speech nor dishonor yourself.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	So take up your arms against the sun's solicitude and by God'n protection, may your sick ones find health and be healed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	We pray to God for the grace of saving those who are lost and leading them to safe success; we take away from you the terrible diseases that cause difficult healing, and remove your fears caused by water, so that through steadfast faith in your name and trust in God, nothing will be able to drive you away. For it is better to remain in glory and ultimately rest with your sanctities at home or elsewhere.
Gualia ja diyssec en alcunas sieuas monicios:	Guillem de Berguedà, also known as "Guala Jocerig", was a Catalan troubadour from the early 13th century. Here are some of his notable compositions in both Catalan and English:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no such disease as bad luck, because if you have good food and drinks, nothing will happen to you."
E yeu ja he devesit aquest libre segontz tres capitols.	Title: The Three Pillars of Wisdom
Comensa la divisio del libre, e primier de la primieyra partida.	Beginning the division of the free and first from the initial partition.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	First chapter concerning surgical instruments and tools, in their forms and materials used for sterilization, as well as what is required for operations.
La divisio de la segonda partida.	Division of the second half.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter of the textbook covers topics such as surgery and perforation, as well as techniques like cupping therapy, acupuncture extraction with needles, and various other methods applied to those conditions. This section comprehensively deals with the forms and procedures of these instruments.
Divisio de la tersa partida.	Third Piece Division
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third capital, regarding restoration, displacement and treatment of torsion as well as appearances to those affected; stipulated within the scope of resources available, along with forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The fire in the hearth of acute medicine brings to mind a recollection of the opera performance.
Am aquel comensa le tractat de tot le libre.	The treatise on the entire book begins with this chapter.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I told you about the quality of that jeweler's items and his merchandise, as well as why it is forbidden for him to perform any kind of surgery or medical procedures.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	It is said that the language of youth'amo(juvenile) and cautery as well as nocciput(the top part of the head), its speech is long, prolix, subtle by science, and somewhat secretive; already many wise ones have spoken much about it, yet they are in disagreement. For me, a small part of their sermons suffices to fear for its protracted nature.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Well then, I'd say that the two cases which are generally considered as matter or their material exceptions consist of complexes where both components share a common characteristic. The exceptions being those complexes with one component not sharing this feature.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of oily and dry skin, applying heat is benefuted; however, some argue that it's not suitable for diseases characterized by its qualities and dryness because the nature of fire is quality and dryness, and it isn't advisable to heal a disease such as oily and dry skin with water that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The one opposite to that which is caused by cauterization and brings relief during any disease with tail and dryness seen in the bodies of men; for when you compare the body of man to the moisture of his system, you find it like a burnt corpse.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	The text you provided is in Friulian language and not Italian or Esperanto. Here's the translation into Esperanto:
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not know of any book that covers the matter that has been criticized and practiced in the Capitoline Hill for a long time through annual exercise, and is aware of the diversity of human conditions, the disposition of diseases in their bodies, the causes of those, and the aspects of that period.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In the other cases, it's not about your fear; mostly in leaky and damp illnesses, as all those areas are prone to such conditions, so they shouldn't ignore that issue but rather be cautious during the heating process.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Ah, my children, I shall reveal to you the secret of curative burning with fire and the virtue of its healing. Only simple heat should be used for medicinal cauterization; its action affects only the limb that is being cauterized, causing no harm to other adjacent parts.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's herbal remedy of medicine provided relief to those suffering from limb pain caused by cold exposure and brought about difficult healing in the affected area, as well as intense listening.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the flame, for its sublimity and substance goodness, does not make water but overflows; and it is known to us by experience and by the length of servitude in study of the art regarding the truth of causes. And that'amo excused for the length of this sermon, and if it were not so, it would be unfit to my free time here amidst your secret thoughts about the flame; and also the quality of its action on bodies and the whole expulsion by which you drive away illnesses—philosophical discourse demonstrative of these things might sharpen your ailments.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Hey kids, those who disagree on the best time for a hair removal and rest - it's better to start in early springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I believe that cauterization is beneficial at all times since the harm caused by accidental events is overshadowed by the benefits of having underg gone cauterization; especially if it's for severe and persistent pains, which do not tolerate delay so as to prevent malicious effects, which are greater than slight discomfort during the process.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	In the old villages, only peasants and fools were believed to suffer from this condition, which is healed by caustic treatment but does not always provide lasting relief or alleviate its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as they think for which they consider heat; caustics are only in the place of medicine, which changes the condition and dries out the moisture that is the cause why pain arises.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary surgical intervents on the medicine due to the surgeon's greed and value of his operation and greatness of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is not always certain that the disease may return at any time in the future, depending on the complexity of the illness and the location of its occurrence within one's body, as well as the virtue of oneself being prepared through a lack of excessive substances in one's body, and what has been consumed to them from those causes; instead, the disease administered by cauterization is a subtle illness involving few superfluous humors, just like teeth cauterized for pain resembling it, so it may not return at all in that area but rather be healed through treatment.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	"The common belief is that cauterization was the last resort of medicine in the past and now it's considered archaic, although I don't fully understand this notion as I believe it to be an ineffective treatment from both medicinal and other perspectives."
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is contrary to the air; I understand that cauldrification only serves as the last resort of medicine and not when administering treatment for certain illnesses, so one should apply cauterization at the end of the course if necessary, but preferably use other medicines.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here are the twelve chapters that make up Book IV of Caelius' Medicine, not according to the version understood by common and slovenly surgeebut rather as follows:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They argued that gold coins are better than iron ones because they have the beauty of gold and its sublimity in substance; there was no discussion about water for equality of gold's worth.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They say that the place of caution does not work well when water is not completely absorbed because I have already tasted and tested that it does not make a difference, rather than others; however, with gold fire you do get better results as they claim; but if you use gold foil, this has not been specified by you, since the amount depends on the quantity of gold you want for its shimmering effect, and also because it is prepared to receive friction. If you apply over a flame, then gold will spread through the heat, and in case there are metal sheets so that the artisan can work with this tool.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	PER AQUO, the iron is made through smelting and refining to achieve both lightness and durability for our surgical operations.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	He divided this chapter into several sections according to chapters, and has ordered those within the Psalebeasts, so that it can be easily found by whoever wants to consult it.
De cauteri de dolor de cap per frigiditat e humiditat.	The headache due to cold and dampness.
Le capitol primier.	First capital.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers moistness and cooling on the affected area of which there are two causes; one is due to soft tissue inflammamo[u]ration around the ears and numerous tearings from the upper chambers, called corisa, from the head down to the temples, and numerous sleepless nights, and pain in teeth and throat, universally of all illnesses that occur through coldness, such as paralysis, stroke and apoplexy, etc., in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The shape of this cauterization is as follows, which initially commands the ailment to be evacuated with medicinal enemas that purify it for three or four nights, according to the potency of the illness and the age of the patient and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	A command to your horse that it may lower its head as close as possible to the razor, and ask him to stand between his legs over a fallen log and then place its hoovebeans on top of the stone underneath it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	A prop of the top part of your palm towards the bottom part over the tip of your nose between your eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, upon hearing what you said about that place yesterday, I tried to approach it and noticed the olive oil burner there, which is in this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	In the quiet space above your head, visualize a sphere gently descending towards you—a representation of your burdens and worries. Imagine these weights as small pebbles that you can gradually release from this sphere with each breath out. As they detach, watch them fall away into nothingness, leaving you lighter and more at ease with each exhalation.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	A little lift your head and look at the place, if you see any part of the cap exposed, just as many grains of error raise your head, then turn away from that iron or another piece of it, if it is cold, until you see with your eyes what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A recipe to make homematur salt solution involves dissolving a small amount of salt in water and leaving it at that location for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Please pass me that tool over there on the bench, and then place it inside to cover the fireplace where the protective screen is missing.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	The Latin phrase "Ea propria loci angusti tetrapraeconis intus, quia sitientibus sanat" translates to English as "This very substance of the narrow place within the four-cornered container heals those who are thirsty."
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire fell, there was more peace in the land, because it was better and more beneficial for people.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	On the seventh day, they would remove any bandages from their neck within the bone and place any cauterizations that were applied to a section of the inner surface of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper amount of water and the adjusted dose are required, along with appropriate care.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	In the event that other individuals arrive after you have reached the last one and before which first in line there is a strong urge to relieve oneself, here's a small guide on how to manage it politely:
E estiman de aquel loc expiran la vapors del cap.	It is estimated that the gases from that place will eventually dissipate into space.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	E be the flood waters still raging for long times, and soon be healed so that it is stabilized.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays I cannot see these two types of cauteries anywhere other than in small homes, according to the way of fear; but let that one, which belongs to me, be more salutary for you when it is, as its cap becomes inflamed due to continuity of use just like we have testified with the other members and especially when the head of illness is of natural origin.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first act of circumcision is my salvation and bestowed upon me, and from that hour until this work I shall be saved.
Capitol segon.	Capital second.
Del cauteri del cap.	The head's burning.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In cases of chronic headache and long-term water issues, as well as the use of glasses, hearing aids, dentures, contact lenses, prostheses, makeup, etc., if it has been previously cauterized with a caustic that does not address any of these causes, then now consider whether the headache stems from an inherent growth in its nature; and this is no trivial matter. The same should be treated using another type of caustic only after some time has passed since the first one was used.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A cautionary note is placed over the wound on his forehead before it is cauterized within which the tendon has been severed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the gland and then expose of the bone the amount which we have counted and cauterize that one with a cautery in the portion behind the head at the location called "vas", and it is that location where the vacuum procedure is performed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	My grandmother had an accident and she fell on her head, but she didn't break any bones; however, the internal injury causes a very different kind of pain than that from all other cuts in the scalp.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	In the above Old Occitan text, it discusses a specific method of performing a cautery or surgical burn to treat corns on the head and occiput (back part) of the skull. The process involves using two different types of cauldrons - one for heating and another for burning.
Capitol ters.	Capitol Hill is a prominent neighborhood in Washington, D.cuh-tle DC, United States. It serves as the home to numerous government buildings and offices of members of Congress, including the iconic U.S. Capitol building itself. As part of the East Central and Downtown areas of the city, Capitol Hill is situated on a sizable hill at the eastern edge of Washington D.C., offering magnificent views of various other landmarks such as the National Mall, the White House, and Lincoln Memorial. The neighborhood's rich history dates back to when it was originally settled by European immigrants in the late 18th century. Today, Capitol Hill remains an essential part of the political landscape of the United States while also offering a vibrant array of restaurants, shops, and cultural attractions for residents and tourists alike.
De cauterisacio de emigranea no-antiqua.	Cold cauterization of a non-healing ulcer.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of a severe headache or if pain persists in the temple, apply remedies to relieve it and administer other treatments as indicated for diseases; if nothing works, cauterize at two points with either hot medicinal substance or iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayes' caustic ointment is an irritant that you should take a bowl of salt and water, soak the affected area in it and dry off the edges with towels.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	A drop of blood is shed on the altar at an unspecified time in a specific location wherein a lancet blade has been used to make an incision. The wound may be hidden or not visible.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	A strong wind prevented the plane from descending due to air traffic constraints, so it made way for three-hour gaps; and then released its grip on the controls, letting go of the tension for two or three hours, pausing over the submerged border within which it passed.
E aprop cura aquel am enguent entro que sia sanat.	A person who has been injured is entitled to compensation within the law.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you would like, here are some burning medications that I have written in the aforementnioned treatise on burning medicines:
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May's follow this guide for cauterization using an iron cautery, which is the form mentioned below:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The tip of the leaf is somewhat like a rose bud, and in its middle part there is an evident smallness; it also has a slight curve.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	As you approach the location of pain, and remove your armor—so that the arrowhead left behind does not hinder you further—and rotate the small wheel gradually at increasing speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of blood that is attached to the skin surface were equal to the amount of blood, and your hand would open up enough for the artery not to be tied off, so that there wouldn't be any bleeding flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Boil water with salt and let it cool until lukewamr; then pour over the wound, leaving it there for three days; afterwards boil goose fat and apply this ointment inside which is healing.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	Indeed, if the blade of a knife gets infected, cleanse it according to sterilization procedures and carefully check for any signs of an incision into an artery on this migrant vessel not long ago.
Capitol quart.	In the context of music, "Capitol Quart" could refer to a string quartet that is affiliated with or sponsored by a record label called Capitol Records. However, if you are referring to something within a capital city'cued for example, Washington D.C., which houses many cultural institutions and venues where a musical group like the "Capitol Quart" could perform, then it might be that there is no direct connection between the term "Capitol Quart" and English language music or culture without more context.
De cauterizacio d’emigranea antiqua.	Ancient emigration cauterization.
