Ayssi comensan las paraulas de Albucasim .	Aysa begins to understand the words of Albuquerque.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The Holy Church shall guide its followers according to their desires and laws, commanding them not to stray from the path of faith on many days; thus they became so entangled in worldly affairs that the people were led astray and fell into ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	When she felt unwell and had to call for help, she began to relax her body, achieving calmness and easing the intensity of her pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Nevertheless, the infection was already confirmed within the limb, so that it could not contain its spreading and the corruption continued to roam around inside the affected area where the dangerous disease persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A healer who cured an abscess of cancer and was bitten by the same disease within days; meanwhile, his master's malignity grew immensely.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason why you feel melancholamo during certain hours is not because I want to take away all your fun but rather that you are experiencing something that makes everything seem overwhelming at the moment.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	EPA standards require that the operation be divided into two separate units: one related to health and another associated with potential risks in major operational activities.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	E tu ja hai ocijado en aquò del libre on venço l'obresa en la qual és erratge i temor; per així necessitàs que guardeix aquest, i deixes-li clar, per que els fills no trobi via a parlar i a vós deshonestar.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Then take hold of your weapons, by the solicitude and protection of God, and may your illness be cured and healed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Through the mercy of God, let us hope to lose ourselves on the path to salvation and blessed success; we relinamo the terrible afflictions that are difficult to heal and remove your weapons of fear caused by water; so that you may remain in faith and in your name, for it is more glorious to stay. And finally, near the monastery and towards your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia gave some of her morning greetments:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no healing from the wrong illness without proper treatment."
E yeu ja he devesit aquest libre segontz tres capitols.	Title: The Enchanted Forest and its Three Mysteries
Comensa la divisio del libre, e primier de la primieyra partida.	Start the division of the free and first primary section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first capital article organized by the head of state involves medical instruments and equipment, as well as other necessary items for surgery.
La divisio de la segonda partida.	The division of the second share.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, regarding cupping, scarification, and leeching, as well as the application of plasters and herbal poultices and the extraction of thorns, covers in full all procedures related to these instruments and their proper use.
Divisio de la tersa partida.	Division of the Third Partition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	Article III - The Third Capital (Restoration, Relocation and Treatment of Distortions and Appearance) and Instruments: This article is established in the main text of the charter, and it establishcuits the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The caution of fire and the acute medicine in memory of an opera performance.
Am aquel comensa le tractat de tot le libre.	The book begins with the discussion of everything free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I inform you about the quality of the jewels from that goldsmith and the necklaces he makes, as well as the type of business in which his work is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	I believe that the language of childbirth and death is long and prolific, subtle through science, and somewhat mysterious; already many wise people have spoken much about it, and there are disagreamoins among them, but for me a little bit of their sermons suffice.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Hence I say that the concept of causality refers universally to all matter or its properties, with two exceptions being concepts related to non-material entities.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of oily and dry skin, certain substances are unsuitable; some argue that cauterization is benefcuolous for this condition while others say that it is not appropriate because such a disease (by its nature) requires moisture, as fire by its very essence is dryness and heat, which makes inappropriate any treatment involving water to treat an oil-and-dry skin disorder.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The one who says the opposite of that which is done by cauterization during severe and dry tailbone pain that occurs in men's bodies; when you compare the body of a man with his moisture to the heat of fire, therein you find the man's body burnt.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	The year is late in the conversation of that one, who has already experienced such things at times to uncover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, let him not forget the lesson that has already been rehearsed in the capitol of Caution on the last exercise day; namely, the diversity of human conflict and the disposition of diseases in their bodies, as well as the causes of these ailments and the nature of the circumstances surrounding them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In these other regions, it is not about your fear, but mostly regarding damp and humid ailments, as all the patients seem to agree on those, and do not disagree in their recovery with proper caution applied therein.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Listen well, my sons, for I will tell you the secret of curative fire and the virtue of wood ash, so that with this knowledge of medicine burnt by cauterization, know that the flame is simple, its effect reaches only to the member which has been cauterized, causing no harm at all to any other part joined to it.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May's application of the medicine caused a burning sensation in his limbs, and intensely he felt it come to the affected area, bringing with it difficult healing and intense listening.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Mays the fire, for its sublimity and goodness of substance, does not produce only heat but also emits a scent that we have known through experience and long practice in studying the art concerning the truth of causes; hence I am excused for the lengthiness of my speech. And if it were not so, this would still be pleasing to me in this idle pause as an allusion to you, secretly cherished friend, and the quality of its operation on bodies, by which it expels ailments, let us speak philosophically demonstrated, which would prove useful in your own sufferings.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Brothers, let us not disagree on the best time for circumcision; rather, we should priorebrously wait till springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	E you assert that circumcision is advisable at all times, for the harm caused by accidental events is overshadowed by the benefits of the procedure which involves water and especially if the circumc#CENSORED%onization is due to severe or chronic pains, very painful, and persistent ones, which are not affected by delay because of fears that may bring about greater harm than minor inconvenience during the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Cats with aids in their litter boxes are not only seen as a concern for the general public and silly mates; it's actually due to a disease that can be treated by cauterization but is not always healed, and they suffer from its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The remedy is not as effective because they want it for that purpose; cauldrification is only in the field of medicine which changes the composition and dries out the humidities, which are the cause why pain occurs.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Nevertheless, he wasted unnecessary funds on medicine due to his vanity and pride in his own work and the greatness of his master's position.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness may not return at any time in the future, depending on the complexity of the disease and its location in his body, as well as how he has prepared himself through dietary supplements and other relevant factors; however, if cauterization was applied to a subtle part of his body with few excesses and humidity, just like for dental pain, it is possible that this discomfort will not return in him but rather be alleviated.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	In common vulgar speech, caulking is considered the last resort of medicine, and it's indeed true, but not to my understanding in what sense they use it because I believe that this method does not bring healing or benefit either as a medical treatment or for any other purpose.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	In this cause I believe that caustic is the last resort of medicine and not just how treatment for certain diseases are administered; therefore, those medicines should not be used, but at the end of the case you treat a person with caustics, and make use of it in accordance to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	In this here manuscript of the year sixteen, I shall explain the third remedy of medicine according to my understanding; a method that is known to the learned physicians and those who are wise in medical matters. This knowledge may not be familiar to common folk or less skilled healers.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They argued that gold earrings are better than iron earrangs, and didn't mention silver unless for the equality of the value and greatness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They say that the place of burning does not heal well, when water is absolutely avoided, because I have already tried it and also tested that it does not create any water but only clouds of smoke with other things they said; however, cauterization with gold makes it better than using iron thus. Nevertheless, when you use cauterization with fire and gold, I haven't declared how much you should prepare according to the value of the gold, as well as preparing for friction; if you place it on ignition, then gold appears through that heat, but sometimes there are small flakes so the craftsman can collect them.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	L'acqua è fatta con il ferro, quindi dobbiamo renderla leggermente più acida ed anche un po' alcalina per garantire la corretta operatività.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	He ordered this chapter to be censored according to the chapters and has ordained those of the head within the peaks, so that the requester may obtain what they wish for it.
De cauteri de dolor de cap per frigiditat e humiditat.	The haircut for cold and damp scalp.
Le capitol primier.	First capital.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This incision provides moisture and coldness over the affected area through which two main causes act, being the cause of great heat flux, called corissa (heatstroke), from head to child's diaper areas and ears, excessive sleepiness, as well as toothache and ear pain, and generally all illnesses that occur due to coldness, such as paralysis, stiffness, and apoplexy, along with similar conditions in those disevalencies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The shape of this cauterization is as follows, which initially commands the illness to be evacuated with a medicinal laxative that will cleanse it for three or four nights, depending on the severity of the illness and age and habits of the patient.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	The lord commands that you raise your head in respect and approach him with confidence; then stand between his men on the fallen bench, keeping your gaze fixed upon the ground before speaking to him.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your hand's flat surface on the top of your nose bridge, between the eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your mentioned place was reached the next day, I attempted to explore that location and found this olive oil cauldron near it, which has this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	In that moment of pause over the place where you feel safe, the movement begins to descend, as your body rotates gently in its constraints, and it turns around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	A) Take your mother's lightly and look at the locks; if you see any part of her hair exposed on top, as much as grains of error in an hour, raise up your hand then, without turning to that lock again or another one like it, provided she is chilled.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A prop to prepare a salt solution, take a small amount of salt and dissolve it in water at that location; let the solution sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	A prop of the pot on the stove, continue to cook over low heat until that portion in the center is no longer raw and fully cooked through.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A proper use of the local antibi cua tre formele antifungal sau antilichide will cure it within that is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire falls, both hands will be freed so that it becomes better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	On days of wound closure, let the cauldrous be placed within the bone and have the cauldron remain inside that any portion is attached to the outer surface of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Both the water and the earth are adjusted by God, both in quantity and quality.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	After several others arrived at the last one, a man with a powerful voice spoke first, saying that this is the form of a small alphabet: A. He then proceeded to explain each letter in detail. This scene remindamo a an ancient gathering where learned individuals convened to discuss and share knowledge about various subjects like philosophy, science, arts, etc. The atmosphere was one of intellectual curiosity, respectful debates, and profound insights shared amongst the attendees from different parts of the world, each bringing their unique perspective on the topic at hand.
E estiman de aquel loc expiran la vapors del cap.	They believe that the essence of a place fades away with its inhabitants' breaths.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	The storm has ravaged the region for long times, and it is only now that it is being cared for until it becomes stable.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays I do not see these two kinds of cautioning in all places, but only among those men according to the way they fear; and you should know that for me, it is better to be saved than sorry, as he is; because his head is inflamed with such a continuity of madness, just as we have testified about other members, especially when the root of the illness lies in natural folly.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first and most important thing is to save my life, then that of the house, and finally that of the workshop.
Capitol segon.	Second Capital.
Del cauteri del cap.	The burn on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, chronic headache pain and prolonged water are in the prolonged illness, and use of gear and crutches and thermometers and bandages and gauze and capsules and ointments, and mainly if it has already been cauterized with a caustic that does not treat any of these causes, now considers that the headache's main cause is due to intense fatigue in its nature; and it is not an easy remedy nor an effective one for a long time. That previous cauterization was done using another caustic only recently.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A cauterized that on the ear of his head where he was cauterized within which the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the sinew and reveal the bone of which we have counted and cauterize that with a hot iron in the part following the head along the location called the vase - and it is this location where the bandages are placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your mother come to me, and I shall show you the bones, for the pain caused by these wounds inflicts great suffering different from that of all other injuries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here is a translation of the Occitan text into English, retaincuousing its medieval medical context and terminology related to cautery or burn therapy:
Capitol ters.	In the United States, capitals are cities that serve as the administrative centers for each state government. They host important buildings and institutions such as the governor's office, the legislative chambers, and sometimes a supreme court or other high-ranking courts. Here is a list of all 50 U.S. state capitals:
De cauterisacio de emigranea no-antiqua.	Non-ancient wound cauterization of emigration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the case of a severe headache or when pain is felt inside the eye, apply medicinal remedeballs that alleviate the pain and administer other healing methods as I have mentioned in the chapters on diseases; if this does not help, cauterization may be performed at length: either using an acetum-based caustic agent or with a piece of iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayes' medical caustic is a substance that you should take some alum dust and rub it on the wound, then trim off the excess edges of both sides until the ends meet.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	In the event of injury at the site of pain near an artery that is within a hidden location in your body, it may be necessary to seek immediate medical attention and apply pressure to control bleeding if possible.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Strong winds and rough seas have prevented the descent of construction equipment; allowances are made for time spans up to three hours; gear is disassemblee d, allowing the platform to pause for two or three days as it remains submerged within the boundaries that define its work area.
E aprop cura aquel am enguent entro que sia sanat.	A prop cure all that is within which can be healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, here are some burning medicines which I have written about in the aforementeed treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	According to this guide, the following steps can be followed for performing a hemorrhoidectomy (surgical removal of hemoramoids):
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The tip of the leaf is pointedly curved, and in its overall form it resembles a small flower with some degree of curvature, and at the end there is an enlarged petiole-like structure.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Approach the scene of pain and slowly move your hand - so as not to tighten the rope that you left earlier - and turn the small wheel gradually at increasing speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of blood that is attached to the surface of the skin were as much as the body requires and it evaporates through your pores in such a way that the artery is not obstructed but allows blood flow, so there would be no risk of bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	In order to prepare the saltwater remedy for healing purposes, you will need the following ingredients and equipment:
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	Yes, if you wish to perform a cautery on the tool user's extremity according to cauterization principles and watch out for possible incision of an artery in this migration properly not ancient.
Capitol quart.	In the United States, a "Capitol quarter" refers to one of five unique coins from the America the Beautiful Quarters Program that features an image related to Washington D.C., specifically depicting iconic images associated with the U.S. Capitol building. The quarters were released between 2007 and 2012 as part of a series honoring national parks, sites, and symbols across America.
De cauterizacio d’emigranea antiqua.	Ancient practices of bloodletting as a form of emigration control.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	You treat with the same medicine and water as mentioned in the previous cure, and not overusing it, check periodically for the disease that does not require more than what was said about the first caustery or the caustery of fire, hours ago check that you heat the caustic knife until it is whitened, then point out on the spot of pain where you make a long line and note how much there is; afterwards let your hand rest for a while and insert into the incision area to reach the bone.
