Ayssi comensan las paraulas de Albucasim .	Aysse learns the words from Albuquerque.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	May He grant us guidance according to our desires, and may we adhere faithfully to His laws, and walk humbebly on the path of righteeousness, that we may avoid any sinful actions leading us towards destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"E tu fugiu do pecado, andaste em direção à luz, descobriste o caminho da libertaamoẽt, consegui a tranquilidade e finda as dôlors."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the infection was already confirmed in his limb, so he could not restrain that and prevent the spread of infection within the body part where the painful ailment persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	A certain doctor infected with cancer performed an operation, and it became inflamed in the vicinity of his scrotum, during which time the illness of his Lordship worsened greatly.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this melancholablack mood is not that I've reached the end of all my affairs, but rather to be part of something where I feel completely disconnected from everything.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	E per aquo, fillos, necessari hai que l'operació sigui divisada en dues vistes: ja és a l'operació que està associada a salut, i al treball amb la qual el risc es majoritatriament relacionat amb les disposicions més importants.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	You are hereby enjoined to refrain from making any errors or causing fear in this free place where you may operate; for which it is necessary that you observe what I have set out, so as not to undermine the right of others to speak and to dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Then take your weapons into the sun and God's protection, and may your sick ones find health and be healed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	We beseech thee, O Lord of heaven and earth, to bestow upon us the better path through divine grace leading to salvation and blessed succession; alleviate our terrularly severe illnesses with difficult healing, and remove your waters that cause fear in you, so that by dwelling in your faith and calling on your name, we shall not be taken away from thee: for it is more fitting that we remain under your glory, both here on earth and ultimately unto your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia jà dissec en alcune sue moniciones:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There are no bad illnesses or diseases; but there may be bad treatments that do not exist." (Note: This translation is a loose interpretation of the Gascon language phrase and might slightly vary based on context).
E yeu ja he devesit aquest libre segontz tres capitols.	Chapter One - The Enigm
Comensa la divisio del libre, e primier de la primieyra partida.	Beginning the division of the free and first from the initial split.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first capital order organized by the head of state regarding tools and instruments used in surgery as well as what is essential for operations.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Second Chapter, of Incision and Perforation, and of Suction Cups, and of Leeches, and of Sagette Extraction, and Imitations Thereof: All Treated in Accordance with the Forms of Instruments Used for Such Purposes
Divisio de la tersa partida.	Division of the Third Part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	Third Capital, of Restoration and Relocation, and Treatment for Twisted Conditions and Appearances Affecting Those: Regulations Concerning the Head Within Its Bounds, and Regarding Forms of Instruments Used Therein.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The surgery on the foot relates to acute medical conditions and memories of the operation.
Am aquel comensa le tractat de tot le libre.	A book starts the treatise on all of literature.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I have reviewed the quality of that goldsmith's work and his pieces, as well as the restriction on their use in certain situations.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	I say that the language of the quality of youth's speech in cauterization and mourning is a long and prolix, subtle by science, and semi-secret; already many wise people have spoken much about it, but they disagree with each other, and for me, even a little bit of their sermons suffice due to prolonged exposition.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Hence, it can be said that the concept of cause and effect is universally applicable to all matter or substances, with the exception of two cases which are exceptions due to their unique properties.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of dry and itchy skin condition; some doctors advise to use a lotion for this, while others say that cream is not advisebecause in illnesses characterized by dryness and dryness, water-based solutions are more suitable as nature of fire (creams) is drying out. It's not recommended to apply it on skin conditions where moisture needs to be restored.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	B is the opposite of A that causes excessive sweating in all illnesses and results in dry tailing seen in men's bodies; when you compare the body of man to the moisture of it against the heat of the fire, you find the man's body burned.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	The essence of this conversation is that we need to experiment with some methods already available in order to discover more. Let's explore and see what works best for us!
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, he does not cover the event that took place in the capital of Caudera during last year's exercise and known for its diversity of difficulties faced by people, their condition with illnesses and their causes, and incidents related to it, as well as the passage of time regarding these matters.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In Mays, and other times, it's not about your fear; mostly in the leaky and damp illnesses, as all stomachs are aware of those, and they do not forget when something burns during that time.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Children, I shall tell you the secret of curing with fire and medicine using heat, so be aware that in cauterization as a medical treatment, it is only simple heat applied to the member being cauterized, not affecting other parts touched by it unless causing slight discomfort.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"May's medicine provides relief to those experiencuing limb discomfort and brings them significant ease in their afflicted body parts with a hard-to-achieve healing process."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	The flame, for its sublimity and the goodness of its essence, does not do water but overflows; and it is well known to us by experiment and by the long tradition of study on the truth of causes; therefore I am excused from the length of this discourse. And if only that was not my free time in this idle pause for you (my secret friend), but also because of the quality of its action upon the bodies, and the entire expulsion of diseases which it removes through your speech, a demonstrative philosophical discourse.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Listen children, when to the best of your knowledge you disagree about the most suitable time for waxing and shaving in the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I must say that a cauterization is generally advisannoble at all times; for the damage caused by accidental events can be overwhelmed in the heat of water when the cauterization has been applied, especially if it is to relieve severe and chronic pains or diseases which do not suffer from delay such that they bring more harm than small benefit during this time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Asso no cats in your pants, or children, only the common folk and simple cooks know that this illness is not always healed by plastering, and so they pause for that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as people think it to be; cauterization isn't a substitute for medicine, which alters the condition and dries out the moistures that are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, he performed unnecessary surgeries on the medicine due to his ambition for fame and glory of his work and grandeur of his master's position.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	E is also possible that his illness does not return at any time in the future, depending on the complexity of the sickness and the location of its occurrence, as well as the virtue of him, and what he has prepared in his body through the aggregation of superfluous humors, and what has been acquired by him through foods and appearances of those causes; but the illness for which cauterization was administerired is a subtle one affecting few excess humors and moisture, as with tooth-cauterization for pain and similarities thereto, it may be that this pain does not return in him, but rather what has been done at petitz.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common belief that cauterization is the last resort in medicine is not entirely accurate. While it may be considered as such in certain situations, its effectiveness varnishes with varying conditions and should not be regarded as an all-encompassing solution for every medical issue or condition. Cauterization involves using heat to burn tissue, often to stop bleeding, but the practice is more nuanced than that and requires professional judgment on a case by case basis.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is in contrast to this fact; I understand that cauterization is the last resort of medicine and not just when administereing treatments for certain illnesses, but rather you apply it at the end of the treatment course if necessary, and you should use it accordingly.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here are the four basic steps commonly followed in medical cataract surgery (according to my understanding):
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	For three days they argued whether gold or iron was better and did not say anything because of the equality of the value of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Three days later they said that the place of burning does not work without water being completely wet, because I have already tasted and tested that it is not water but snow in other cases, and this burner works better than iron so as the others did say; however when you make a burner with gold foil, which has been declared by you, depends on the quantity you wish for the luster of the gold, and prepares to receive friction. And if it is adjusted over fire, then gold flakes are in that fire, and there may be some fragments for which the artisan can use them during handling.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	PER AQUO, the iron is made through careful and proper preparation to achieve better results in surgical operations.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	In the year of our Lord, I have decreed this chapter to be organized according to chapters, and those within sections should be arranged in such a way that it is easy for any seeker to find what they are looking for.
De cauteri de dolor de cap per frigiditat e humiditat.	The head massage for cold and dampness.
Le capitol primier.	First Edition Capitol Building
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This incision provides moisture and coldness on the affected area due to which there are two main causes; one is its cooling effect and multitude of rheumatic flows from the head to the children's ears and temples, causing excessive sleepiness, dental pain and gum disease, as well as universally all illnesses that occur due to coldness, such as paralysis, sclerosis, apoplexy, and similar conditions in these diseasterrs.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows, which initially commands the illness to be expelled through a purgative medicine that cleanses the bowels, for three or four nightps depending on the severity of the illness and age and habitual nature.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And command your dog to lie down on his back and then have him stay between my legs while I pet his belly with my hands.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your palm against the surface of the nose, just below the nostrangs.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, upon reaching the location you mentioned earlier, I attempted to approach that place and carefully ignited the small olive grove nearby which has this particular shape.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	"That peaceful place you try to escape to, the method that descends upon you, and in which your mind is gently guided turn by turn."
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Gently take your hand and look at the lock, and if you see any part of the key exposed, just like the amount of gold in errors, lift up your hand again, and don't turn your hand on that iron or another one from that same metal piece, unless it is cold; enter only when you have seen what I told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	A. Take a small pinch of salt and dissolve it in the water at that location, then leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	In order to properly prepare the pastry crust, you will need to roll out the dough on a lightly floured surface and trim any excess that hangs over the edge of your pie tin or plate.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	A prop cure the location, which is anguished by four harmful substances (tetrapharmacum), shall be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	When the Roman Empire collapsed, agriculture improved and became more beneficial, as it was better organized.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They would perform a surgical procedure to cut off the claw near the bone and put in place some caulking within that area of the bone, sealing it with a substance such as beeswax or pitch from the tree resin.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	A proper seal of both water and earth is appropriate to the situation, as well as being accurate.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Days two others arrived who brought the last cauldrons to arrive, within which first in great praise inside where the bones are contained. This is the form of a small Alphabetic symbol: [☜]
E estiman de aquel loc expiran la vapors del cap.	It is estimated that the gases from that chimney will eventually disperse into the air.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	B) The storm has been raging for long time, and it should be repaired as soon as it is solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not understand these two types of burns on you, but only in wicked men according to the way of fear; and thus said that man, my salvation is better than he; for his mind is enlightened by solution of continuity as we have testified in other members, especially when the head of evil is of natural nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of caustic is salt water and best for me; and from that vessel, with the work at hand, therein lies salvation.
Capitol segon.	Second edition of the Capitol building.
Del cauteri del cap.	Title: Surgical Removal of the Head Louse
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	In total, the cause of chronic and long-lasting headaches with water is a prolonged illness, as well as frequent use of glasses, pillows, thermoses, heaters, goats, hens, guinea fowls, and appearances; however, primarily if it has already been cauterized by an iron tool which does not address any of these causes at all, one should consider that the origin of this headache is a strong increase in its nature. It's not such a big deal to do so again with another caustic device after some time from that first treatment.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	A) The hair on that head was completely shaved off just before the cutting of the cord.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incisa the gnaw and reveal of the bone that we have counted and burn it with a cautery in the part behind the head on the place called vase, - and that is the place where the wound is located.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	The inflammation of your temple area can cause severe throbbing pain that is different from the pain associated with other scalp injuries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here is the translation of this medical procedure in English: "Take this cauldron at its place, as you know that it contains the ointment for which you are going to apply the cautery on the corns of the head and occiput (back part of the skull); then use a more subtle cautery than that mentioned above to treat the middle region of the scalp; this is the method described."
Capitol ters.	Capital terms refer to words or phrases that are of significant importance within a particular context, such as politics, business, geography, and more. These terms usually represent key concepts, entities, or locations that play crucial roles in the subject matter being discussed. Examples include "United States," "Presidential Elections," "Stock Market Indexes" like Dow Jones Industrial Average or S&P 5amoonset, and geographical capitals such as "Washington D.C." (USA), "Paris" (France), or "Tokyo" (Japan). Understanding capital terms is essential for effective communication in various fields of knowledge.
De cauterisacio de emigranea no-antiqua.	The old treatment for hemorrhoids was cauterization.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	In the event of severe headache or pain within the eye being evacuated by medicines that modify the capillaries, and when other treatments have been provided (which I have mentioned in the chapters on diseases; but if nothing works), then cauterization is applied as follows: either with a caustic medicine burnt at high temperature, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	In English: Mayes's cauterizing tool is a medical instrument used for applying heat to tissues. To use it, take an alcohol swab and clean the area you wish to treat. Then, ignite the tip of the cautery using its handle or another appropriate method. Carefully apply the heated end to the desired spot on the skin until the tissue is desiccaturized. Be sure to avoid contact with surrounding areas to prevent unnecessary burns.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	In times of pain at the temple, insert one small needle through which a cotton wad may be placed in its proper location and hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	E strengthens the dam to stop it from descending due to erosion, and leaves space for three hours; then gradually releases water through the outlets and allows the floodwaters to flow downstream or upstream for two or three days, depending on the location of the structure within the river system.
E aprop cura aquel am enguent entro que sia sanat.	C is correct in that it uses the subjunctive mood after "it's essential." The corrected sentence would be, "It's essential that he take his medicine regularly." In English, we typically use the present simple tense for general facts or actions that occur habitually (like taking medicine), and not a past tense as in your original example.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you would like, I can provide some information on certain antibiot surveillance that I have mentioned in the introductory chapter of antibacterial drugs. Antibiotics are a type of medication used to treat bacterial infections by either killing or slowing down the growth of harmful bacteria within the body. Some common types include penicillins, cephalosporins, macrolides and fluoroquinolones. Each class works differently against different strains of bacteria and has its own spectrum of activity, making it crucial to choose an antibiotic that targets your specific infection for optimal effectiveness.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Mays performs the following sterilization process according to this guideline: Instruments should be steam-sterilized using an autoclave, and here is the method for such procedure:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	The head of the cauliflower is like a cluster of small flowers with some curved shape, and in its middle part there is an eminent, tiny projection.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	As you approach the site of pain, gently retract your hand - so as not to tighten the archery that has been abandoned - and slowly rotate the small wheel at increasing speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of blood that is attached to the lower part of the leg is greater than the amount in the upper part, and you raise your hand so that the artery below is not clamped, therefore preventing the flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	In the event of an injury, immerse the affected area in salt water and let it sit for some time; afterward, place the wound on a clean cloth or bandage, and apply healing balm to promote recovery within three days.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you're ready, proceed with the surgical excision of the scalpel tip according to sterilization protocols and be careful not to cause any accidental cuts or punctures in the artery on this side properly labeled as non-ancient.
