Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Baghdadi.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means through God's grace for the sake of health and achievable success, and leave behind your patients' terrible illnesses that are difficult to cure, and keep away from your weapons on what causes fear in you, because stability is found in your faith and your name will not abandon you: so it remains at your glory, more so among people and further among your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia had already spoken in some of his proverbs:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat bad patients with bad medicine, for it's not the doctors who are named."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have completed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and it starts with the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered concerning the feet, in the forms of the tools and in the materials of the cautery instruments, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning dryness and puncture, as well as blisters, and leeches, and the extraction of arrows and their resemblance to those, all detailed and organized by the forms of the tools.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, as well as the treatment of twists and their resemblance to those; chapter ordered concerning operations in the feet, and the forms of the tools.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Regarding the cautery with fire and with acute medicine, and recall of the operation.
Am aquel comensa le tractat de tot le libre.	And this begins the discussion on everything free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Let me tell you about the quality of those parts of the cautery and their natural development, as well as when it is forbidden to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discussion on the nature of the cautery's youth and its natural development is long and exhaustive, subtle in science, and secret hidden; and many great sages have spoken about it before me, differing in their opinions. Enough for me to understand a little from these discussions, as they fear prolonged discourse.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And I say that the cautery is in harmony with all substances universally, whether they be simple matter or compound matter, except for two substances; these are the substances of the tail.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and in dryness there is simple matter that would be dried out; some argue that a cautery should be applied to those parts, while others argue against this claim, stating that it's not appropriate for maladies characterized by their quality and dryness. For fire itself embodies quality and dryness, and it would therefore be inconvenient to apply it to the tail and keep it in a state of being burnt and dried up until it is healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And argues against what you said by stating that when applied to the entire tail and dryness in every bodily malady, fire makes youth appear on all of them. When comparing the body of a person and its humidity to the nature of fire, you find that the body is frayed.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say according to the discussion of this, something that has already been discovered by me after some experiments for many times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not delve into what has already been discussed extensively in the chapter on cautery for recent examination, and have come to understand the variety of bodily conditions among people and the disposition of their maladies in different parts, as well as the causes of these, the incidents related to them, and the time period required for such matters.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	For other conditions, there is no need for concern, especially in cases of oily and wet maladies, which have already been agreed upon by all doctors, they are not divided on the matter of using a cautery for youthfulness in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Know this, children, that the secret of healing through cautery with fire and its goodness lies in the use of burning medicine with it; because fire is simple, its action only affects the member being cauterized and not other members, so its impact on them is limited to minor harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of the burning medicine reaches up to those members that are affected by it, and strongly tends to cause difficulty in healing and strong disturbance in the diseased member.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Fire, due to its simplicity and goodness of substance, does not do anything other than overflow. We have come to know this through experiments and the long duration of service and study in the art of understanding the truth about causes; and that's why I excuse myself for the length of the discourse. If it weren't for the fact that such a secret was not written down freely in my book, concerning fire and its quality, as well as the nature of the operation within bodies and its expulsion through which you expel diseases, this philosophical demonstration would be beneficial to your inquiries.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know this, children, that they disagree about the time when it is convenient to perform cautery and prefer the best springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at any time, because the harm caused by accidental time periods is drowned in the youth of what is attracted to the cautery, and especially if the cautery is for pains or necessary pains, strong and pimples, which do not suffer from delay as those that cause mischief are greater than minor harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And don't worry about this in your inquiries, or children, those who only value the common people and mere doctors do not consider that it is not always beneficial to heal with cautery for every malady, they simply follow a rule based on that.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the reason is not as they fear, for cautery is simply another kind of medicine that alters the condition and dries out the humidity which causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, unnecessary cautery over medicine for the sake of its effectiveness and virtue of its operation, as well as its large lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their malady might return at some point in time, according to the nature of the malady and the location of its occurrence, as well as its virtue, what is prepared within them from the addition of superfluities, and what is received by them through food and similar causes leading up to these issues; unless the malady treated with cautery is a subtle malady in parts with few superfluities and humoral substances, like dental cautery for pain and its resemblance to that, it might not return the same kind of pain within them, although this happens on a smaller scale.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common language is that cautery is the last resort of medicine, and this term is professional, not one I understand in them, they believe it's not a cure that enhances with medicine or any other cause leading to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is against that; and I understand that cautery is the last resort of medicine only when administering the methods of treatment in some illnesses, and those medicines do not provide relief, so at the end of the case one administers cautery, enhancing to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here comes the understanding that cautery is the last resort of medicine, not according to my understanding which I comprehend among common folk and many doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they would say that cautery with gold is better than cautery with iron, and they wouldn't say otherwise simply for the similarity of gold and the inferiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they would say that the place for cautery doesn't hurt like what they simply declare as absolute truth, which I have already proven and found out that it only hurts in some bodily parts not others; cautery with that is good and better than iron similarly as they said. But however when you do cautery with fire using gold, it's not as it was declared, it depends on the quantity you want based on the heat of the gold, and what needs to be received by the flame; and if you place the flame over it the gold melts in the fire, and inside the fire some sheets are formed so that the artisan can adjust for the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, you should do cautery with iron more gently and more precisely in the correct operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery according to chapters, I have arranged those of the section within the feet, for you can ask me what you want from them.
De cauteri de dolor de cap per frigiditat e humiditat.	Regarding cautery for pain in the head due to cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery allows the humidity and coldness to have an unfortunate impact of two causes, which are the cause of pain and multiple traumatic discharges, called gushes, from the head to the parts of the body and ears, and multiple sleeps, and toothache and stomachache, and universally for all illness caused by coldness, as well as paralysis, pain, and stroke, and resembling those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is like this, which we first command the patient to be given an emollient medicine on their head for three or four nights according to what suits the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and place that sponge between your hands on a padded bench, and have him place his head on his own pillow.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the palm of your hand close to that spot on the top of the nose between his ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you have told me about the right place, you mark that area with a test, and then apply olive oil cautery of which this is its form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the spot where the test has indicated, in such a way that it goes down, as your hand is gradually forced, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the spot, and if you see that some amount of hair has been uncovered from the head, as much as the size of a pea, then lift your hand, and if you cannot find any iron in this or another place, if it is cold, within which I have told you to observe what I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the spot, then leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place on him the burned chest in a damp environment, and leave it so that the burnt skin is destroyed by the fire's scabs.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with the fourfold ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they would say that when the wound has been opened like this, it gets better so much more quickly that it is better and more rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they would say that the cautery has been applied inside the jawbone, and it should be kept in place until some part of the bone is hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then take this part that adheres to the bone, and proceed to treat it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they would say that once the cautery reaches to the end, until it penetrates into the bone strongly enough for the bone to break off, and this is how you apply small cautery:
E estiman de aquel loc expiran la vapors del cap.	And they estimate from that area the vapor escaping from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And keep the wound open for a long time, and then proceed to heal it until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Now to me you do not show these two types of cautery for all, but in some cases according to their fear; leave it alone, my friend, much better is with health, when possible; so the head is purified by the solution of continuity like we have testified in other members, and even more so when the patient's head has a cold nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is more saved and better for me; from that one take it up and do that work with health.
Capitol segon.	Second chapter.
Del cauteri del cap.	Regarding head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and long pain occurs throughout the head, and this lasts in the patient's body for an extended period, and they use hot baths, saunas, head compresses, bandages, hats, veils, and similar remedies, especially if it has been treated with one cautery which does not react to those causes, then consider that if the head is robustly created in its nature; and does not endure much heat, then this head is treated with another cautery; leave this one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply a cautery on that above the forehead, inside the head where the wound has split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Saw the wound and revealed the amount of the bone that we have measured, then apply a cautery on it with an instrument behind the head in the place where suction is called - and this is the place where suction takes place.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And hold your hand in this way, do not expose the bone, for the patient may experience a great variety of pain due to different from all other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I shall describe this cautery in its place, that because·l cautery is such that when you apply it to the horns of the head and the occipital bone requires a finer cautery than that which is applied to the mid part of the head; and this is how he should do it.
Capitol ters.	Head treatment.
De cauterisacio de emigranea no-antiqua.	Regarding non-traditional cautery for migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain in the back of the head or an ache inside the skull, it should be treated with medicines that reduce headaches, and then other treatments are administered; those were described in my writings on diseases. If all these measures do not alleviate the condition, then the treatment for this would be by two methods: either by applying a hot medicated cautery or using iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A medicated cautery using a hot substance involves taking one dol of aloes, crushing it and then separating the ends of its two heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then pierce the area of pain on the temple with an awl into that spot where you make the wound, inside which you hide the injury.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it on you with the constraint of descent and allow that to pass through for the space of three hours; and let out the water from it and leave the wound for two or three days, and place a cover under your hand submerged in water until the place feels firm.
E aprop cura aquel am enguent entro que sia sanat.	And then treat that with ointment once it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see this, do as I have written about certain hot medicines in my treatise on hot medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The cautery with iron follows this method: using fire for the cautery, which is in this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	This is called a ring cautery; the head of which resembles a thorn, with some curvature, and in the middle part of it there is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand on the area of pain, hold it back - so that the metal rod you're using doesn't stick to the surface being treated - and move the small iron tool gradually, with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount that sticks due to the resistance of the injury is as much as half its length, lift your hand so that the artery doesn't stick either, so that no blood flow stops.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak your hand in salt water and place it on the area, leave it for three days; and then let it rest with a cloth in water, and treat with ointment once it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see fit, apply the cautery to the end of the blade according to the cautery method, and be careful not to cut into an artery in this non-traditional migraine.
Capitol quart.	Head quarter.
De cauterizacio d’emigranea antiqua.	Regarding the old tradition of treating migraines with cautery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines as described in the previous treatments and according to the descriptions of diseases, if these measures do not alleviate your condition, or due to illness where what we said about the first cautery with medicine or the one using fire is insufficient for it, then consider igniting the blade cautery until it becomes white hot, so that you apply this over the area of pain along a line whose length is most similar to what was discussed, or do as described; and hold your hand up for a moment and force that into contact with the artery before penetrating the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jawbone, which becomes accustomed to chewing, and that the tongue does not stick and the nerve that controls it is not affected, and that there be no spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it's about the care and caution of blood flow from the artery that is cut, which causes fear during its operation, especially in those who do not know what they are doing and are careless; leave the operation as it began.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come back to remind you of the regulation for blood flow in case of an artery accident according to its method, in this manual.
