Praefatio.	Prologue.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining for your glory, and more sublime in this world, and finally for your profit.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said in certain of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat an illness badly, lest you be called bad physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now however, I have divided this Treatise into three chapters:
Capitulum primum.	Chapter one.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Concerning the cautery with fire and the cautery with sharp medicine, arranged and ordered from head to foot, and forms of instruments and implements of the cautery: and all that is necessary for the operation.
Capitulum secundum.	Chapter two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Concerning section and perforation, bloodletting and wounds, and extraction of arrows, and similar things: and all arranged and ordered with forms of instruments.
Capitulum tertium.	Chapter Three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Concerning restoration and reduction, and treatment of dislocations, and similar things: all arranged and ordered from head to foot with forms of instruments.
Soli Deo Gloria.	To God alone the glory.
Liber Chirurgici Albucasis.	The Surgical Book of Albucasis.
Pars I.	Part One.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Concerning the benefit and harm of cautery: and in which constitutions it is suitable, and at what time: and if with iron, or gold.
Caput I.	Chapter One.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I mention the operation concerning it, it is necessary that I should speak of the benefits and harms of it, and in which constitution it should be exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the discourse concerning the benefit and harm of cautery is a long and subtle science, and a hidden secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Many wise men have spoken about it and they disagreed; but for me, a few words will suffice, lest I prolong (the discussion).
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cautery is beneficial for every constitution, whether it has matter or not; except for two constitutions, namely a hot constitution without matter and a dry constitution without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But concerning the hot and dry constitution with matter, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some said that cautery is beneficial for it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite of that, namely that cautery is not suitable for an illness that arises from heat and dryness: because the nature of fire is heat, and it is unsuitable to heal an illness that is hot and dry with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of that said: by cautery there is benefit for every hot and dry illness that occurs in human bodies; because when you compare the body of a man and its moistures to the constitution of fire, you find the body of a man cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	I myself say through his words: for it has been proven true to me many times through experience.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	But nevertheless it is not fitting that anyone should approach this matter except one who has already been proven and trained in the final chapter of Cautery Practice, and has known the diversity of human constitutions, and the disposition of illnesses within themselves, and their causes, accidents, and duration.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But as for other constitutions, there is no fear over them. And especially in cold and moist illnesses.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all doctors have agreed on these matters, and they do not disagree about using cautery to benefit them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, sons, that the secret of healing by cautery with fire and its good quality is such that it burns only the member being cauterized, and does not harm any other connected member unless there is a slight injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But the action of burning medicine reaches that which is distant from members, and perhaps causes difficult-to-heal illnesses to occur in a member, and perhaps even kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	But fire, due to its fineness and good substance, does not do this unless there is an excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	But we have learned this through experience due to the length of our service and study with this art, and our diligence in searching for the truth of things. And therefore I excuse myself for the length of this discourse.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not for the fact that this book of mine does not allow me to reveal to you the secret hidden in fire and the quality of its operation on bodies for driving out illnesses, which demonstrates by philosophical proof that it sharpens your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, my sons, that they disagree at the time when cautery is to be performed, and they set a better time for the truth.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cautery is appropriate at all times: for the harm that occurs because of time is submerged in the benefit that is drawn along with cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cautery is performed because of pains from necessary, strong, and urgent ailments that do not tolerate delay; for it is feared that a greater harm may result from them than the slight harm caused by waiting for the right time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not fall into the error, my sons, which is held only by the common people and foolish physicians, that there is no return to health after an ailment has been cured by cautery; they assert this consequence, but it is not so; for cautery is employed only in place of medicine which alters the complexion and dries up the moistures which are the cause of pains.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Nevertheless, cautery exceeds medicine in the swiftness of its cure, and the strength of its operation, and the vehemence of its power; it is possible that an ailment may return at some later time according to the constitution of the patient, and the location and nature of the ailment, and its strength; and what accumulates in his body from superfluities in him, and what reaches it through food and similar causes, unless he becomes ill with one in which cautery is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle ailment in a member with few superfluities and moistures, such as the pain of a toothache, for example, may not return.
Sed illud fit in paucis.	But this happens rarely.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	However, the common belief that cautery is the last resort of medicine is not entirely accurate. People think that there is no cure after cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	On the contrary, cautery is not really the last resort of medicine; rather, it is used only when other methods of treatment have failed to bring about a cure.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients said that cautery with gold is better than with iron, and they said this because of the fineness of gold and its exalted nature. They also said that it does not cause pus at the site of the cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true. For I have already proven that [cautery with gold] does not cause pus in some bodies without other complications.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And indeed cautery with gold is good and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you use fire cautery with gold, it is not clear how much heat you are applying due to the redness of the gold. Moreover, if you increase the heat, the gold will melt in the fire and become liquefied.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, the craftsman becomes confused by this. And for that reason, we use cautery with iron more quickly and accurately in our operations.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this chapter on cautery according to the chapters, and ordered them from head to foot, so that whoever seeks something may find it easily.
¶ De modo cauterizandi Caput in commissura coronali.	On the method of cauterizing: The head at the coronal suture.
Caput II.	Chapter 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here the cautery is useful for the lordship of humidity and coldness above the brain: which two are causes of madness and multitude of flows of humors from the head to the parts of the eyes and ears, and multitude of sleep, and toothache, and sore throat, and universally all diseases that occur from coldness, such as paralysis, epilepsy, apoplexy, and similar diseases.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is this: you should advise the patient to evacuate first with a cleansing solvent medicine for three nights or four, according to what the strength of the patient requires and their age and habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then instruct him to shave his head with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then have him sit between your hands in a square position, so that he has placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm over the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever therefore your middle finger reaches, mark that spot with a cauter.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then take the olive-oil cautery: of which this is the shape:
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it on the marked spot with descent, as your hand is gradually tightened, and you turn it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly remove your hand, and examine the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	But if you see that now a quantity of alkiel has been released from the bone, or a quantity of zeuherbi, then raise your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the cautery with the same iron or another if it has cooled until you see the bones which I have told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water and sprinkle it on the spot, and let him rest for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Next, place upon it butter into which is soaked the mixture, and leave it there until the burn is destroyed.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then treat it with ointment tetrapharmacon until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	They say that the more a wound remains open, the more pus it emits: therefore it is better and more helpful to keep it open.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them say that the skin should be cauterized up to the bone and held until something of the thickness of the bone is burned.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then shave what has been burned from the bone, and then treat it.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that one must come with the cautery to the final point until it makes an impression on the bone like a brand or instrument for lettering: and they think that from this place vapors of the head escape, and the wound is left open for a long time.
Deinde curetur, donec consolidetur.	Then treat it until it heals.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two methods of cautery seem to me useful only for certain people according to their nature and temperament.
Et dimittere ipsum, apud me est melius cum salute ipsius.	I think it is better to leave it alone with care for its well-being.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by breaking its natural continuity; as we have seen in other members, especially when it has a weak nature. The first method of cautery seems to me safer and better, and I use it; therefore act with caution.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the manner of cauterizing the head for headache.
Caput III.	Chapter Three.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When chronic headache occurs and persists in a patient despite the use of medicines such as hyeres, cochis, caput-purgatives, oils, and emplasters.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with the cautery that I have described, and none of those remedies help: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the patient is robust by nature and not weak, and a violent chill is found: then cauterize with another cautery beneath it slightly.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize the horn of the head itself with the cautery, so that it does not penetrate the skin, and uncover as much bone as I have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize it with the cautery at the back of the head itself, in the place called 'the vessel': which is where the windpipe is placed, and raise your hand slightly there, without uncovering the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the patient finds great pain in this, different from the pain of all other head cauteries.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I say that this cautery should be used in its place; and it is necessary that there should be a cautery for burning the horns of the head, and a finer one for burning the back of the head, which is also used for burning the middle of the head.
Et haec est forma eius.	And this is its shape.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	¶ On the method of cauterizing in headache, both with burning medicine and with iron.
Caput IIII.	Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and stiffness occurs in part of the head, or the pain extends to the eye, and the head is cleansed with medicines that purify it, and the rest of the treatment that I have described for the divisions of illnesses is administered, but nothing helps: then cautery is performed on it in two ways: either cauterization with burning acute medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cautery with burning acute medicine is this: take one clove of garlic, peel it, and cut off its ends on both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then incise the painful area in the temple with a wide lancet until there is made beneath the skin a place to hold the garlic.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then insert it beneath the skin until it is hidden; then bind it with a suitable bandage of lint and leave it for fifteen hours. Then remove the garlic and let the wound remain open for two or three days. Afterwards, apply butter in which a piece of cotton has been immersed until pus forms. Then treat it with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do this with certain medicines that burn, which I have written about in the twelfth book on burning medications.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Cautery of it with iron is done in this manner.
Igni Cauterium, cuius forma haec est.	The form of the cautery used for fire is as follows.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called the 'Claw': because the shape of its head is like that of a nail, with some curvature and a small prominence in the middle.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the spot and hold your hand steady; you turn the iron gradually with speed, and let the amount that is burned be equal to the thickness of the skin.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And raise your hand so that the artery below is not burnt, lest blood flow should occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then bathe the wound with salt water and apply it to the spot; leave it for three days. Then apply butter to the wound. Afterwards treat it with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this half of the head with the second edge of the cautery.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	Beware of cutting the artery in this case, as it is not proper for an old wound.
¶ De modo cauteriezandi in hemicrania antiqua.	Regarding the method of cauterizing in an old head wound.
Caput V.	Chapter 5.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When treating a head wound with what we have said about previous treatments and the divisions of illnesses, but the treatment does not help and you see that the illness is severe and that cautery with medicine or fire alone is insufficient, then take the cautery with the knife-like edge until it turns white. Then mark the spot of pain with a line whose length is half a fingerbreadth or roughly that amount. Then place your hand once and press it down until you cut the artery and reach the bone.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	But you must take care to avoid the continuation of the jawbone that moves during chewing, lest the side or nerve that moves it be burned and cause spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And beware of bleeding from the artery that has been cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For there is fear in its cutting, especially for one who does not know what he is doing and is neither studious nor experienced. He may leave the procedure before it has even begun.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I will come with a reminder about managing blood flow from an artery according to its method and location within this book.
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	But if you see that the illness does not improve with this cautery and observe the patient's body unable to tolerate it in the middle of the head as we have described, then treat the wound until it heals.
