Praefatio.	Prologue.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And indeed I had been summoned to remove it; and upon seeing the size of the stone and the condition of the patient, I deemed that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who was receiving payment from a certain Duke of our land on account of his medical skill; and there happened to be an accident involving a black eunuch who was with him, namely a fracture in his leg near the heel: and the physician, in his ignorance, hurriedly set the fracture upon the wound with bandages and splints tied tightly together, not allowing the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he dismissed him according to his wishes.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he let him go for a few days and commanded him not to untie the bandage; and thus it remained until gangrene set in on his leg and foot, and he met his ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	Therefore I was summoned to him, and I hurriedly untied the bandage; and tranquility followed, and he was delivered from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already become established in the limb, and I could not prevent it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore the corruption spread throughout the limb until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another physician who pierced an ulcerous cancer, and after a few days it became worse until its wickedness was increased with the death of his master.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	Which means that when a cancer is pure and from melancholic humor, then it is not permissible to touch it with iron at all unless it is on a member which can bear amputation so that the whole of it may be removed.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And therefore, O Son [of man], it is necessary for you to know that surgery is divided into two parts: namely, the operation with which recovery is associated; and the operation with which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already pointed out in every place of this book where an operation comes about that has fear and trembling.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to be cautious about this [operation] and to conceal it: so that fools may not find a way to speak and dishonor it.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore, take measurement with care and protection, and your patients with ease and firmness, and use the better path leading to health and commendable success by the grace of God: and leave behind terrifying illnesses difficult to heal, and remove from yourselves that which causes you fear, so that hesitation may not enter into your faith and benefit.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining to your glory, and higher in this world, and ultimately for your reward.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Galen already said in certain of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat bad illnesses lest you be called evil physicians.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	And now I have divided this Treatise into three Chapters.
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	Chapter One contains the cautery with fire and the cautery with sharp medicine, arranged from head to foot, including forms of instruments and tools for the cautery, and everything necessary for the operation.
Capitulum secundum.	Chapter Two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Chapter Two contains incision and puncture, bloodletting and bandaging, wounds, the removal of arrows and similar objects, all arranged with forms of instruments.
Capitulum tertium.	Chapter Three.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	Chapter Three contains restoration and reduction, treatment of dislocations and similar conditions, arranged from head to foot with forms of instruments.
Soli Deo Gloria.	To God alone the glory.
Liber Chirurgici Albucasis.	The Surgery Book of Albucasis.
Pars I.	Book One
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	Chapter One: On the benefit and harm of cautery; and with which complexions it agrees, and at what time: and if with iron or gold.
Caput I.	Chapter One.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I recall the operations with it, it is necessary that I mention the qualities of its benefits and harms, and in which complexion it should be exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the discourse on the quality of cautery's benefit and harm is a lengthy and subtle science, hidden and secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also many wise men have spoken about it and disagreed about it. But for me, a little of their words is sufficient, fearing prolivality.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cautery is beneficial universally to every complexion that has matter and lacks matter, except for two complexions which are the hot complexion without matter and the dry complexion without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But concerning the hot and dry complexion with matter, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some said that cautery is beneficial in it.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite, namely that cautery is not suitable for the ailment which arises from heat and dryness, because the nature of fire is heat and it is unsuitable to heal with heat and dryness.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And the one who said the opposite said: that through cautery there is benefit for every hot and dry ailment which happens in human bodies, because when you compare the body of man and its moistures to the complexion of fire, you find the body of man cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I say through his speech that from experience it has often been revealed to me thus.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	But nevertheless it is not necessary for anyone to come upon it unless he is already proven and trained in the final chapter on cautery practice, and has known the diversity of human complexions and the disposition of ailments within themselves, their causes, accidents, and time duration.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But with regard to other complexions there is no fear for you: especially in cold and moist ailments.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all physicians have agreed upon these [ailments], and they do not disagree about applying cautery to them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And know, my sons, that the cure by cautery with fire is secret, and its goodness is combined with medicine burning on it. For fire is simple; its action does not extend except to the member being cauterized, nor does it harm another connected member, unless slightly.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	But the action of burning medicine extends to that which is remote from the members and perhaps causes difficult-to-heal ailments to occur in another member, and perhaps kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and the goodness of its substance, does not do this unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now we have learned this through experience because of the length of our service and study with this art, and our standing on the truth of things; and for that reason I excuse myself from the length of my discourse.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so, because this book of mine does not permit it, I would bring you the secret hidden in fire and the quality of its operation on bodies from which it expels ailments in a philosophical demonstration that would penetrate your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And know, my sons, that they [physicians] disagree about the time when cautery should be performed, and they place the best time in spring.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	But I say that cautery is appropriate at any time, for the harm occurring because of the time is submerged in the cure that is drawn with the cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cautery is performed because of pains from necessary, strong, urgent pains that do not tolerate delay; for there is feared from them a greater evil than the slight harm that does not occur because of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not fall into the belief, O sons, which only the common people and foolish physicians estimate, namely that there is always a recurrence of that illness which is cured by cautery; and they put forth this consequence, but the matter is not as they think: for cautery is nothing but a kind of medicine which alters the temperament and drives out the moistures which are the cause of pains.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	Nevertheless, cautery surpasses medicine by the speed of its action and the power of its operation, and the vehemence of its dominion; and it is possible for illness to recur at some time according to the temperament of the sick person, and the location of his illness, and the strength of it: and what accumulates in his body from an excess of superfluities therein: and what reaches him through foods, and like causes, unless there arises an illness in which cautery is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	It is possible for a subtle illness in a member of few superfluities and moistures, such as cautery of the tooth because of pain, etc., not to recur in it.
Sed illud fit in paucis.	But this occurs rarely.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But the common saying that cautery is the last resort of medicine is true, not however as they mean it; for they believe that there is no cure that can compare with medicine or anything else after cautery has been performed.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	But the fact is quite otherwise than their meaning. Cautery is the last resort of medicine only in this sense, that when we apply methods of cure to certain illnesses and they do not succeed, then we apply cautery at last and it succeeds.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	Ancients said that cautery with gold is better than cautery with iron. They said this not because of the equality of gold's weight or its noble substance, but because it does not cause pus at the site of cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	But this is not absolutely true. For I have already proved and found that it does not happen so in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cautery with gold itself is good and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you heat the cautery of gold in fire, it is not apparent to you how much heat you want because of the redness of gold. And when it starts cooling down, if you add more heat on top, it melts in the fire and turns into sheets.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore, an artisan falls into trouble with it. And for that reason we use cautery with iron more quickly and appropriately for the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And indeed I have already arranged this chapter on cautery according to sections and ordered them from head to foot so that one may easily find what he wants from it.
¶ De modo cauterizandi Caput in commissura coronali.	Chapter: On the method of cauterizing in the coronal suture.
Caput II.	Chapter 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Cautery here is beneficial for the dominance of moisture and coldness over the brain, which are two causes of madness and abundance of flow of humors from the head to parts of eyes and ears, and abundance of sleep, and toothache, and sore throat, and generally all diseases that happen because of coldness, such as paralysis, epilepsy, apoplexy, and similar diseases.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The manner of cauterization is that you should order the patient to first evacuate with a purgative medicine cleansing the head for three nights or four, according to what the strength of the patient requires, and his age, and his habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Next, command him to shave his head with razors.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands on a square [pillow], so that he has placed his hands upon his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your little finger over the root of his nose, between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Therefore wherever your middle finger reaches, mark that spot with a cauterizing iron.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then kindle the cautery of olive oil, which has this shape:
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it upon the marked spot with a descending motion, while your hand gradually tightens, and you roll it.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift your hand, and examine the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	But if you see that it has already melted away from the bone like wax or the amount of zeuherb, then lift your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat the cautery with the same iron or another one if it cools down until you see the bones that I told you about.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take some salt and dissolve it in water, and moisten the cotton with it, and place it upon the spot, and leave him for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place upon it cotton moistened in butter, and leave it there until the scab of the fire is destroyed.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then dress it with tetrapharmacon ointment until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	It has been said that the more an wound remains open, the more pus it emits. Therefore, it is better and more beneficial to keep it open.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them said that the skin should be cauterized up to the bone and the cautery held until a portion of the bone's thickness is burned.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then the burnt part of the bone is scraped away, then it is dressed.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that the cautery should be applied to the very end until it leaves an impression on the bone like a seal ring or the tool used by women for impressing letters in dough. They believe that vapors from the head are exhaled through this location, and that the wound should remain open for a long time.
Deinde curetur, donec consolidetur.	Then it is dressed until it solidifies.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But these two methods of cautery seem to me not at all necessary except in certain cases where fear is involved.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And it seems better to me to leave him as he is with his own safety.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity, as we have testified regarding other members, especially when the head is naturally weak. Indeed, the first method of cautery seems to me safer and better, and that is what I use; therefore act accordingly for the sake of health.
¶ De modo cauterizandi capitis in dolore totius capitis.	Regarding the manner of cauterizing the head in case of headache.
Caput III.	Chapter 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When a chronic pain occurs in the whole head and persists in an invalid despite use of diaphoretics, cataplasms, purgatives for the head, oils, and plasters.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized once with the cautery we mentioned earlier, but there is no improvement from any of those remedies: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of an invalid is strongly constituted and not weak, but intense cold is present, then cauterize it with another cautery underneath that one a little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Next, cauterize the top of the head itself with a cautery over all its horns, but do not let it penetrate the skin, and uncover as much bone as we have mentioned.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize it with one cautery at the back of the head itself, in the place called 'the vessel': and this is the place where the windpipe is located. And raise your hand in this, but do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the invalid finds intense pain because of it, and differing from the pain caused by other head cauteries altogether.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I shall say that this cautery is to be used in its proper place, and it should be a cautery with which the horns of the head are cauterized, and the back of the head more finely, with which the middle of the head is cauterized.
Et haec est forma eius.	And this is its shape.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the method of cauterizing in hemicrania, both with burning medicine and with iron.
Caput IIII.	Chapter IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and stiffness occur in part of the head, or the pain extends to the eye, and even after purification with medicines for cleaning the head and applying other treatments as mentioned in the divisions of illnesses, no improvement occurs, then cautery should be performed on it in two ways: either cautery with a sharp burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cautery with a sharp burning medicine is as follows: take one tooth of garlic, peel it, and cut off its ends on both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cut the place of pain in the temple with a wide phlebotome until there is made under the skin a place in which the tooth can be inserted.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Then insert it under the skin until it is hidden; then bind it over with a suitable bandage made of lint, and leave it for fifteen hours. Then remove it, take out the garlic, and let the wound alone for two or three days. Afterwards place over it a wad soaked in butter until pus forms at the site. Then treat it with ointment until it heals.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to make this with certain medicines that I have written about in the twelfth treatise on burning medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Cautery of it with iron is done in this manner:
Igni Cauterium, cuius forma haec est.	The form of the cautery is as follows:
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called 'the claw': because the shape of its head is like that of a nail, having some curvature and a small prominence in the middle.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the site and hold your hand steady; you should gradually turn the iron with speed, so that the thickness of what is burned is equal to half its width.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift your hand, lest the artery beneath be burned and bleeding occur.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak a wad in salt water and place it on the site; leave it for three days. Then place a wad soaked in butter over it, afterwards treat with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this half of the head with the second tip of the cautery, like a knife-point.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	But beware of cutting the artery in this half of the head, as it is not the old-fashioned way.
¶ De modo cauteriezandi in hemicrania antiqua.	On the manner of cauterizing in the old-fashioned way for a half-head.
Caput V.	Chapter Five
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you treat a half-head as we have said in the previous treatment and divisions of illnesses, but the treatment does not help, and you see that the illness is not improving with what we have said about the first cautery with medicine or fire cautery, then you must take an iron cautery like a knife-point until it turns white. Then mark the place of pain with a line whose length is half a fingerbreadth or thereabouts; lay your hand on once and press down until you cut the artery and reach the bone.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	Nevertheless, it is necessary for you to beware of the continuity of the jawbone which moves during chewing, lest the side or nerve that moves it be burned and spasm result.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And let this be a caution and care for you regarding the flow of blood from the artery that has been cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For in its cutting there is fear, especially for one who does not know what he does and is neither studious nor experienced. Therefore, let him not undertake the operation first.
